CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,B,1,0,B,0,401,18,4,0,0,9,21,0,0,10,1,0,0,464,0,2,466,584,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,C,1,0,C01,0,393,20,2,2,0,10,24,0,0,7,7,0,0,465,0,1,466,584,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,C,2,0,C02,0,405,21,1,2,0,16,18,0,0,4,0,0,0,467,1,9,477,584,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,C,3,0,C03,0,378,25,1,4,1,10,15,0,0,8,2,0,0,444,1,6,451,584,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,2,B,1,0,B,0,207,18,0,3,3,12,37,0,0,2,1,0,0,283,0,4,287,463,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,2,C,1,0,C01,0,190,15,3,6,2,9,35,0,0,3,1,0,0,264,0,4,268,463,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,3,B,1,0,B,0,277,13,3,2,6,32,68,0,0,5,2,0,0,408,1,10,419,584,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,3,C,1,0,C01,0,293,19,3,4,3,18,67,0,0,9,3,0,0,419,1,7,427,583,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,3,C,2,0,C02,0,265,17,2,10,1,28,72,0,0,8,1,0,0,404,0,12,416,583,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,4,B,1,0,B,0,304,13,5,4,5,35,110,0,0,7,0,0,0,483,0,13,496,700,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,4,C,1,0,C01,0,295,22,7,13,8,39,111,0,0,6,2,0,0,503,0,11,514,699,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,5,B,1,0,B,0,317,17,2,7,1,29,96,0,0,12,4,0,0,485,0,7,492,748,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,6,B,1,0,B,0,310,34,5,9,3,31,87,0,0,3,2,0,0,484,0,11,495,682,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,7,B,1,0,B,0,187,13,1,3,1,18,52,0,0,6,3,0,0,284,0,8,292,385,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,7,C,1,0,C01,0,173,12,5,3,3,25,57,0,0,3,1,0,0,282,0,6,288,384,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,8,B,1,0,B,0,303,17,0,4,4,27,87,0,0,10,3,0,0,455,1,7,463,621,Acta casilla,,,
