ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,505,1266,1268,217990,19049,8022,9669,6293,32245,113040,,,7359,2419,453,65,416604,333,14867,431804,732691,
1,AGUASCALIENTES,2,ASIENTOS,17,60,60,10597,948,2379,,542,761,8116,,,572,158,96,16,24185,1,897,25083,38773,
1,AGUASCALIENTES,3,CALVILLO,31,86,87,13876,896,491,957,596,693,7663,,,253,142,25,7,25599,17,1228,26844,50765,
1,AGUASCALIENTES,4,COSIO,5,20,20,1768,1245,136,,42,1898,503,3321,,52,46,2,0,9013,0,305,9318,12824,
1,AGUASCALIENTES,5,JESUS MARIA,23,148,149,31027,3527,1139,1651,758,3825,12230,,,927,417,46,17,55564,54,1896,57514,98727,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,55,56,5133,1541,1124,4754,559,2921,4768,,,223,59,31,7,21120,7,746,21873,34533,
1,AGUASCALIENTES,7,RINCON DE ROMOS,23,68,69,7572,762,430,444,429,1029,9830,,2386,213,128,20,0,23243,1,800,24044,41568,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,14,15,2326,145,311,31,89,2180,437,,,39,9,7,2,5576,0,187,5763,7779,
1,AGUASCALIENTES,9,TEPEZALA,10,29,29,1278,7505,223,199,163,360,1830,,,108,77,10,12,11765,4,390,12159,17460,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,17,70,71,3318,8521,276,488,377,1150,10767,,,254,153,10,11,25325,14,1037,26376,45237,
1,AGUASCALIENTES,11,EL LLANO,8,26,26,2413,281,157,120,3539,109,4380,,,66,27,6,0,11098,0,412,11510,17010,
