ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,505,1266,1279,197559,21265,10201,13173,6842,32888,124629,6448,2414,381,73,415873,405,16924,433202,732691,
1,AGUASCALIENTES,2,ASIENTOS,17,60,60,9844,1068,1825,454,609,913,8710,450,137,73,7,24090,2,1070,25162,38773,
1,AGUASCALIENTES,3,CALVILLO,31,86,87,11753,933,507,1260,674,1165,8641,240,138,34,6,25351,16,1400,26767,50770,
1,AGUASCALIENTES,4,COSIO,5,20,20,2907,1200,203,,385,1194,2928,63,54,3,3,8940,0,388,9328,12824,
1,AGUASCALIENTES,5,JESUS MARIA,23,148,149,29186,3703,1296,1675,786,4239,13309,897,393,42,8,55534,69,2032,57635,98718,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,55,56,5130,1920,2514,4326,1373,,5332,251,61,43,8,20958,8,909,21875,34534,
1,AGUASCALIENTES,7,RINCON DE ROMOS,23,68,69,8379,945,609,,1582,1801,9394,227,125,21,5,23088,6,933,24027,41568,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,14,14,2275,224,996,328,192,,1273,29,10,12,5,5344,1,402,5747,7778,
1,AGUASCALIENTES,9,TEPEZALA,10,29,29,1573,5782,421,505,302,,2977,58,54,6,10,11688,3,472,12163,17460,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,17,70,71,4975,7361,415,571,444,1808,9608,227,132,7,19,25567,13,1073,26653,45241,
1,AGUASCALIENTES,11,EL LLANO,8,26,26,2577,389,216,180,3185,259,4045,54,31,2,1,10939,2,438,11379,17010,
