CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,B,1,0,B,0,142,104,12,,21,77,165,6,2,0,0,529,0,20,549,688,Acta casilla,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,C,1,0,C01,0,161,84,13,,21,57,150,2,6,0,0,494,0,12,506,688,Acta casilla,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,C,2,0,C02,0,153,102,17,,15,75,157,5,0,0,1,525,0,20,545,688,Grupo de recuento,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,C,3,0,C03,0,125,83,18,,15,61,163,4,2,0,2,473,0,26,499,687,Acta casilla,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,C,4,0,C04,0,140,76,13,,20,46,189,4,0,0,0,488,0,29,517,687,Acta casilla,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,388,B,1,0,B,0,130,52,5,,11,68,138,4,1,0,0,409,0,27,436,579,Grupo de recuento,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,388,C,1,0,C01,0,139,81,12,,17,69,117,2,3,0,0,440,0,23,463,579,Grupo de recuento,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,388,C,2,0,C02,0,135,45,9,,17,69,123,2,2,1,0,403,0,16,419,579,Grupo de recuento,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,388,C,3,0,C03,0,124,57,5,,17,61,153,3,2,0,0,422,0,14,436,579,Acta casilla,,,
2,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,389,B,1,0,B,0,116,64,7,,17,45,125,4,5,0,0,383,0,14,397,629,Grupo de recuento,,,
