ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,1,AGUASCALIENTES,505,1266,1286,197850,21300,10219,13186,6854,32952,124821,6448,2414,381,73,416498,407,16949,433854,732691,
1,AGUASCALIENTES,2,ASIENTOS,17,60,60,9844,1068,1825,454,609,913,8710,450,137,73,7,24090,2,1070,25162,38773,
1,AGUASCALIENTES,3,CALVILLO,31,86,88,11954,948,516,1271,681,1188,8747,240,138,34,6,25723,16,1424,27163,50770,
1,AGUASCALIENTES,4,COSIO,5,20,20,2907,1200,203,,385,1194,2928,63,54,3,3,8940,0,388,9328,12824,
1,AGUASCALIENTES,5,JESUS MARIA,23,148,150,29213,3704,1297,1680,788,4246,13324,897,393,42,8,55592,69,2034,57695,98718,
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,17,55,56,5130,1920,2514,4326,1373,,5332,251,61,43,8,20958,8,909,21875,34534,
1,AGUASCALIENTES,7,RINCON DE ROMOS,23,68,69,8379,945,609,,1582,1801,9394,227,125,21,5,23088,6,933,24027,41568,
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,7,14,14,2275,224,996,328,192,,1273,29,10,12,5,5344,1,402,5747,7778,
1,AGUASCALIENTES,9,TEPEZALA,10,29,29,1573,5782,421,505,302,,2977,58,54,6,10,11688,3,472,12163,17460,
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,17,70,72,5104,7389,421,585,447,1837,9729,227,132,7,19,25897,13,1086,26996,45241,
1,AGUASCALIENTES,11,EL LLANO,8,26,26,2577,389,216,180,3185,259,4045,54,31,2,1,10939,2,438,11379,17010,
