ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,26,69,70,7524,8501,2822,1184,1843,304,22178,29,681,22888,41993,
3,BAJA CALIFORNIA SUR,2,LA PAZ,57,84,85,8044,11666,3437,663,898,,24708,26,1007,25741,43340,
3,BAJA CALIFORNIA SUR,3,LA PAZ,35,65,66,5892,9230,1858,375,394,416,18165,36,548,18749,34267,
3,BAJA CALIFORNIA SUR,4,LA PAZ,23,59,60,5491,9287,1651,505,457,268,17659,29,609,18297,34916,
3,BAJA CALIFORNIA SUR,5,LA PAZ,33,69,70,7924,9138,2273,810,500,,20645,27,663,21335,37613,
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,30,68,69,3976,9643,1263,868,342,189,16281,18,826,17125,35675,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,27,61,61,2094,8399,935,1023,2012,160,14623,26,537,15186,33890,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,18,60,60,4645,9041,1347,970,1001,576,17580,26,778,18384,37959,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,23,61,61,4986,7513,1063,1026,1731,399,16718,12,762,17492,36861,
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,45,83,83,3311,9797,4797,580,865,,19350,26,777,20153,40693,
3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,25,61,62,5795,7643,1282,914,632,995,17261,29,797,18087,36199,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,22,63,64,3590,9895,925,709,2737,208,18064,28,833,18925,35894,
3,BAJA CALIFORNIA SUR,13,LORETO,47,83,83,7977,12282,2011,535,478,,23283,5,1081,24369,40687,
3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,38,70,71,6946,10432,650,902,124,,19054,14,873,19941,35317,
3,BAJA CALIFORNIA SUR,15,LA PAZ,45,81,82,11024,12403,2108,498,553,373,26959,30,774,27763,42695,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,27,77,78,9126,10022,2240,1487,999,,23874,32,993,24899,45622,
