ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,26,69,70,1504,1504,1504,2125,2125,2822,1508,2125,1504,2126,1184,1843,304,22178,29,681,22888,41993,
3,BAJA CALIFORNIA SUR,2,LA PAZ,57,84,85,1608,1608,1608,2916,2916,3437,1612,2916,1608,2918,663,898,,24708,26,1007,25741,43340,
3,BAJA CALIFORNIA SUR,3,LA PAZ,35,65,66,1178,1178,1178,2307,2307,1858,1180,2307,1178,2309,375,394,416,18165,36,548,18749,34267,
3,BAJA CALIFORNIA SUR,4,LA PAZ,23,59,60,1098,1098,1098,2321,2321,1651,1099,2321,1098,2324,505,457,268,17659,29,609,18297,34916,
3,BAJA CALIFORNIA SUR,5,LA PAZ,33,69,70,1584,1584,1584,2284,2284,2273,1588,2284,1584,2286,810,500,,20645,27,663,21335,37613,
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,30,68,69,795,795,795,2410,2410,1263,796,2410,795,2413,868,342,189,16281,18,826,17125,35675,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,27,61,61,418,418,418,2099,2099,935,422,2099,418,2102,1023,2012,160,14623,26,537,15186,33890,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,18,60,60,929,929,929,2260,2260,1347,929,2260,929,2261,970,1001,576,17580,26,778,18384,37959,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,23,61,61,997,997,997,1878,1878,1063,998,1878,997,1879,1026,1731,399,16718,12,762,17492,36861,
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,45,83,83,662,662,662,2449,2449,4797,663,2449,662,2450,580,865,,19350,26,777,20153,40693,
3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,25,61,62,1159,1159,1159,1910,1910,1282,1159,1910,1159,1913,914,632,995,17261,29,797,18087,36199,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,22,63,64,718,718,718,2473,2473,925,718,2473,718,2476,709,2737,208,18064,28,833,18925,35894,
3,BAJA CALIFORNIA SUR,13,LORETO,47,83,83,1595,1595,1595,3070,3070,2011,1597,3070,1595,3072,535,478,,23283,5,1081,24369,40687,
3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,38,70,71,1389,1389,1389,2608,2608,650,1390,2608,1389,2608,902,124,,19054,14,873,19941,35317,
3,BAJA CALIFORNIA SUR,15,LA PAZ,45,81,82,2204,2204,2204,3100,3100,2108,2208,3100,2204,3103,498,553,373,26959,30,774,27763,42695,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,27,77,78,1825,1825,1825,2505,2505,2240,1826,2505,1825,2507,1487,999,,23874,32,993,24899,45622,
