CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,0,0,1,1,2,2,1,0,0,6,0,0,6,6
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,0,0,1,0,3,0,0,0,0,3,0,0,3,3
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,0,0,1,0,1,0,0,0,0,1,0,0,1,1
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,0,0,1,0,2,0,0,0,0,2,0,0,2,2
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,0,0,1,0,1,0,1,0,0,2,0,1,3,3
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,0,0,1,1,2,0,0,0,0,3,0,0,3,3
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,0,0,1,0,1,0,0,0,0,1,0,0,1,1
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,0,0,1,0,1,0,0,0,0,1,0,0,1,1
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,0,0,1,3,0,0,0,0,0,3,0,0,3,3
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,0,0,1,0,2,0,0,0,0,2,0,0,2,2
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,0,0,1,1,0,0,0,0,0,1,0,0,1,1
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,1,2,2,105,184,124,14,17,0,444,1,10,455,789
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,2,1,1,73,126,78,4,18,0,299,0,8,307,583
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,3,3,3,210,388,305,23,32,0,958,1,16,975,1773
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,4,1,1,143,172,81,8,9,0,413,3,11,427,672
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,5,2,2,90,239,154,14,12,0,509,0,16,525,935
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,6,2,2,68,157,95,16,17,0,353,0,10,363,779
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,7,2,2,177,259,228,17,20,0,701,1,12,714,1310
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,2,2,48,148,74,8,18,0,296,0,17,313,456
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,9,1,1,62,82,44,9,10,0,207,0,6,213,403
