ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,26,69,72,3586,3467,379,2902,2726,2835,76,314,76,2637,1190,1847,305,22340,29,698,23067,41993,
3,BAJA CALIFORNIA SUR,2,LA PAZ,57,84,85,3780,3700,402,3966,3733,3437,82,349,80,3618,663,898,0,24708,26,1007,25741,43340,
3,BAJA CALIFORNIA SUR,3,LA PAZ,35,65,66,2769,2710,294,3138,2953,1858,61,276,58,2863,375,394,416,18165,36,548,18749,34267,
3,BAJA CALIFORNIA SUR,4,LA PAZ,23,59,60,2580,2525,274,3157,2971,1651,58,278,54,2881,505,457,268,17659,29,609,18297,34916,
3,BAJA CALIFORNIA SUR,5,LA PAZ,33,69,70,3724,3645,396,3106,2924,2273,80,274,79,2834,810,500,0,20645,27,663,21335,37613,
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,30,68,70,1972,1840,200,3287,3096,1287,43,449,40,2992,873,347,190,16616,18,857,17491,35675,
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,27,61,61,984,963,104,2855,2687,935,23,251,20,2606,1023,2012,160,14623,26,537,15186,33890,
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,18,60,61,2226,2138,232,3077,2899,1352,48,304,47,2805,993,1002,579,17702,26,789,18517,37959,
3,BAJA CALIFORNIA SUR,9,CABO SAN LUCAS,23,61,61,2343,2293,249,2554,2404,1063,52,225,49,2330,1026,1731,399,16718,12,762,17492,36861,
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,45,83,84,1665,1538,168,3354,3154,4855,34,475,34,3041,582,877,1,19778,26,822,20626,40693,
3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,25,61,62,2723,2665,289,2598,2445,1282,61,229,57,2371,914,632,995,17261,29,797,18087,36199,
3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,22,63,64,1687,1651,179,3364,3166,925,38,296,35,3069,709,2737,208,18064,28,833,18925,35894,
3,BAJA CALIFORNIA SUR,13,LORETO,47,83,84,3876,3676,402,4193,3940,2038,82,545,82,3811,536,480,1,23662,5,1104,24771,40687,
3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,38,70,73,3474,3207,351,3559,3349,676,71,566,69,3238,910,127,0,19597,14,904,20515,35317,
3,BAJA CALIFORNIA SUR,15,LA PAZ,45,81,85,5376,5116,560,4235,3984,2159,111,613,116,3850,503,560,377,27560,30,844,28434,42695,
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,27,77,81,4364,4199,457,3418,3213,2268,93,377,91,3109,1490,1007,3,24089,32,1022,25143,45622,
