ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
2,BAJA CALIFORNIA,1,MEXICALI,105,295,295,9934,1996,441,3274,2454,4889,39965,701,1335,64989,75,4579,69643,172891,
2,BAJA CALIFORNIA,2,MEXICALI,76,269,270,26322,3093,556,3888,2110,12572,37201,1080,1598,88420,42,3397,91859,171525,
2,BAJA CALIFORNIA,3,MEXICALI,185,358,360,30338,6939,1501,4488,2887,7218,44371,2192,2023,101957,108,4488,106553,192938,
2,BAJA CALIFORNIA,4,MEXICALI,112,302,303,19896,2239,676,3973,1607,4130,41038,2751,1999,78309,46,3661,82016,182686,
2,BAJA CALIFORNIA,5,MEXICALI,117,276,278,7427,1912,687,5277,2642,6152,40893,883,1327,67200,77,4038,71315,161906,
2,BAJA CALIFORNIA,6,TECATE,96,284,285,4951,9617,596,5867,2606,2468,41708,5080,1610,74503,137,5452,80092,177381,
2,BAJA CALIFORNIA,7,TIJUANA,169,333,334,4243,3763,1197,5032,16275,7735,41070,2630,1376,83321,175,4706,88202,182680,
2,BAJA CALIFORNIA,8,TIJUANA,89,317,318,8569,2058,644,4288,8787,11506,48008,3071,1359,88290,133,4826,93249,207223,
2,BAJA CALIFORNIA,9,TIJUANA,152,359,360,22050,6443,1407,5083,10428,8809,37710,5633,1293,98856,275,4754,103885,207503,
2,BAJA CALIFORNIA,10,TIJUANA,210,409,411,19042,5251,1651,6856,7444,7397,44649,4127,4102,100519,203,6165,106887,222173,
2,BAJA CALIFORNIA,11,TIJUANA,100,302,303,14279,4591,651,4495,6160,6426,42237,3657,1534,84030,170,4804,89004,184414,
2,BAJA CALIFORNIA,12,TIJUANA,125,312,314,6855,1570,1770,7652,5781,6249,46005,4407,947,81236,87,5642,86965,190911,
2,BAJA CALIFORNIA,13,TIJUANA,103,305,306,9540,2731,1552,5276,8156,4536,46161,3976,1283,83211,153,5019,88383,190295,
2,BAJA CALIFORNIA,14,TIJUANA,177,317,319,2821,2444,825,4104,5463,4955,52987,1883,1412,76894,105,3126,80125,178658,
2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,106,348,351,16317,4822,1660,5478,4752,9035,40393,4299,6576,93332,240,5897,99469,210584,
2,BAJA CALIFORNIA,16,ENSENADA,100,307,309,13312,5558,1878,3699,7165,9501,39801,5416,3701,90031,367,5025,95423,188126,
2,BAJA CALIFORNIA,17,ENSENADA,82,281,283,4881,3472,2213,5861,4582,3513,43181,2130,3268,73101,237,5981,79319,175929,
