ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
2,BAJA CALIFORNIA,1,MEXICALI,105,295,297,10061,2021,446,3308,2488,4971,40284,714,1420,65713,75,4623,70411,172891,
2,BAJA CALIFORNIA,2,MEXICALI,76,269,272,26466,3107,557,3357,2127,12627,36775,1087,1245,87348,42,3433,90823,171525,
2,BAJA CALIFORNIA,3,MEXICALI,185,358,366,30745,7043,1536,4060,2985,7437,44527,2253,1802,102388,113,4623,107124,192938,
2,BAJA CALIFORNIA,4,MEXICALI,112,302,304,19991,2259,681,3332,1618,4150,40475,2767,1582,76855,52,3676,80583,182686,
2,BAJA CALIFORNIA,5,MEXICALI,117,276,279,7532,1939,693,5326,2656,6207,41127,890,1334,67704,78,4069,71851,161906,
2,BAJA CALIFORNIA,6,TECATE,96,284,286,5053,9671,602,5897,2634,2488,41984,5120,1618,75067,143,5510,80720,177381,
2,BAJA CALIFORNIA,7,TIJUANA,169,333,336,4283,3817,1205,4483,16384,7793,40804,2646,1028,82443,179,4764,87386,182680,
2,BAJA CALIFORNIA,8,TIJUANA,89,317,319,8613,2070,654,3617,8839,11612,47480,3113,882,86880,133,4874,91887,207223,
2,BAJA CALIFORNIA,9,TIJUANA,152,359,364,22277,6498,1410,4476,10492,8890,37259,5661,871,97834,276,4804,102914,207503,
2,BAJA CALIFORNIA,10,TIJUANA,210,409,415,19176,5286,1659,6902,7496,7450,45062,4159,4123,101313,203,6233,107749,222173,
2,BAJA CALIFORNIA,11,TIJUANA,100,302,305,14481,4661,659,4547,6210,6514,42714,3714,1560,85060,172,4859,90091,184414,
2,BAJA CALIFORNIA,12,TIJUANA,125,312,316,6951,1594,1790,7706,5811,6303,46305,4439,949,81848,89,5692,87629,190911,
2,BAJA CALIFORNIA,13,TIJUANA,103,305,307,9618,2755,1554,5324,8220,4574,46499,4038,1289,83871,153,5045,89069,190295,
2,BAJA CALIFORNIA,14,TIJUANA,177,317,322,2859,2491,833,3442,5519,5084,52780,1923,892,75823,109,3203,79135,178658,
2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,106,348,354,16629,4858,1670,5543,4807,9137,40855,4332,6634,94465,242,5969,100676,210584,
2,BAJA CALIFORNIA,16,ENSENADA,100,307,313,13542,5669,1900,3287,7250,9648,39700,5469,3466,89931,375,5168,95474,188126,
2,BAJA CALIFORNIA,17,ENSENADA,82,281,285,4945,3496,2247,5897,4612,3559,43456,2148,3286,73646,237,6016,79899,175929,
