CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,13,TIJUANA,4,TIJUANA,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,2,2
1,2,BAJA CALIFORNIA,2,MEXICALI,2,MEXICALI,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,2,2
1,2,BAJA CALIFORNIA,17,ENSENADA,6,SAN QUINTIN,0,0,1,0,0,1,0,0,0,2,0,1,4,0,0,4,4
1,2,BAJA CALIFORNIA,10,TIJUANA,4,TIJUANA,0,0,2,3,4,0,1,1,1,4,1,1,16,0,2,18,18
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,0,0,1,2,0,0,0,0,0,5,0,0,7,0,0,7,7
1,2,BAJA CALIFORNIA,9,TIJUANA,4,TIJUANA,0,0,1,1,1,0,1,2,0,4,0,0,9,0,0,9,9
1,2,BAJA CALIFORNIA,8,TIJUANA,4,TIJUANA,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,3,3
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,0,0,1,1,0,0,0,0,0,2,0,0,3,0,0,3,3
1,2,BAJA CALIFORNIA,6,TECATE,3,TECATE,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,2,3
1,2,BAJA CALIFORNIA,5,MEXICALI,7,SAN FELIPE,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,5,PLAYAS DE ROSARITO,0,0,1,1,0,0,0,0,1,1,0,1,4,0,0,4,4
1,2,BAJA CALIFORNIA,5,MEXICALI,2,MEXICALI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,0,0,2,0,1,0,0,1,0,1,0,0,3,0,1,4,5
1,2,BAJA CALIFORNIA,3,MEXICALI,2,MEXICALI,0,0,2,1,0,0,0,1,0,3,0,0,5,0,0,5,6
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,0,0,2,1,1,0,1,1,1,2,0,0,7,0,1,8,8
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,2,3
1,2,BAJA CALIFORNIA,4,MEXICALI,2,MEXICALI,0,0,1,0,1,0,0,0,0,3,0,0,4,0,0,4,4
1,2,BAJA CALIFORNIA,14,TIJUANA,4,TIJUANA,0,0,2,0,0,0,0,1,0,2,0,0,3,0,0,3,3
1,2,BAJA CALIFORNIA,12,TIJUANA,4,TIJUANA,0,0,2,0,0,0,1,0,1,3,0,0,5,0,0,5,5
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,5,6,973,77,47,81,65,161,404,216,119,2143,3,35,2181,2400
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,2,3,3,399,20,13,20,7,29,86,34,22,630,0,13,643,1572
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,3,3,3,87,30,13,38,102,48,444,35,54,851,0,47,898,1979
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,4,3,3,69,21,27,36,78,68,434,43,53,829,0,61,890,1937
