CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
1,2,BAJA CALIFORNIA,1,MEXICALI,,,,,DIP_LOC_MR,MORENA,1,MICHELLE ALEJANDRA TEJEDA MEDINA,2,,,MORENA
1,2,BAJA CALIFORNIA,2,MEXICALI,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,JAIME EDUARDO CANTON ROCHA,1,,,MORENA
1,2,BAJA CALIFORNIA,3,MEXICALI,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,ALEJANDRA MARIA ANG HERNANDEZ,2,,,MORENA
1,2,BAJA CALIFORNIA,4,MEXICALI,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,LILIANA MICHEL SÁNCHEZ ALLENDE,2,,,MORENA
1,2,BAJA CALIFORNIA,5,MEXICALI,,,,,DIP_LOC_MR,MORENA,1,JUAN MANUEL MOLINA GARCIA,1,,,MORENA
1,2,BAJA CALIFORNIA,6,TECATE,,,,,DIP_LOC_MR,MORENA,1,MARIA TERESA MENDEZ VELEZ,2,,,MORENA
1,2,BAJA CALIFORNIA,7,TIJUANA,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,JORGE RAMOS HERNANDEZ,1,,,PVEM
1,2,BAJA CALIFORNIA,8,TIJUANA,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,NORMA ANGELICA PEÑALOZA ESCOBEDO,2,,,MORENA
1,2,BAJA CALIFORNIA,9,TIJUANA,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,ELIGIO VALENCIA LOPEZ,1,,,MORENA
1,2,BAJA CALIFORNIA,10,TIJUANA,,,,,DIP_LOC_MR,MORENA,1,JULIA ANDREA GONZALEZ QUIROZ,2,,,MORENA
1,2,BAJA CALIFORNIA,11,TIJUANA,,,,,DIP_LOC_MR,MORENA,1,EVELYN SANCHEZ SANCHEZ,2,,,MORENA
1,2,BAJA CALIFORNIA,12,TIJUANA,,,,,DIP_LOC_MR,MORENA,1,RAMON VAZQUEZ VALADEZ,1,,,MORENA
1,2,BAJA CALIFORNIA,13,TIJUANA,,,,,DIP_LOC_MR,MORENA,1,GLORIA ARCELIA MIRAMONTES PLANTILLAS,2,,,MORENA
1,2,BAJA CALIFORNIA,14,TIJUANA,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,ARACELI GERALDO NUÑEZ,2,,,MORENA
1,2,BAJA CALIFORNIA,15,POBLADO ROSARITO,,,,,DIP_LOC_MR,MORENA,1,DANNY FIDEL MOGOLLON  PEREZ,1,,,MORENA
1,2,BAJA CALIFORNIA,16,ENSENADA,,,,,DIP_LOC_MR,PVEM_MORENA_FXM_BC,1,DIEGO ALEJANDRO ARREGUI LARA,1,,,FXM_BC
1,2,BAJA CALIFORNIA,17,ENSENADA,,,,,DIP_LOC_MR,MORENA,1,DUNNIA MONTSERRAT MURILLO LOPEZ ,2,,,MORENA
1,2,BAJA CALIFORNIA,2,MEXICALI,,,,,DIP_LOC_RP,PAN,2,MARIA YOLANDA GAONA MEDINA,2,,,PAN
1,2,BAJA CALIFORNIA,4,MEXICALI,,,,,DIP_LOC_RP,PAN,4,JUAN DIEGO ECHEVARRÍA IBARRA,1,,,PAN
1,2,BAJA CALIFORNIA,3,MEXICALI,,,,,DIP_LOC_RP,PAN,3,SANTA ALEJANDRINA CORRAL QUINTERO,2,,,PAN
1,2,BAJA CALIFORNIA,2,MEXICALI,,,,,DIP_LOC_RP,MC,2,DAYLIN GARCIA RUVALCABA,2,,,MC
1,2,BAJA CALIFORNIA,7,TIJUANA,,,,,DIP_LOC_RP,PT,3,YOHANA SARAHI HINOJOSA GILVAJA,2,,,PT
1,2,BAJA CALIFORNIA,12,TIJUANA,,,,,DIP_LOC_RP,PVEM,6,ADRIANA PADILLA MENDOZA,2,,,PVEM
1,2,BAJA CALIFORNIA,6,TECATE,,,,,DIP_LOC_RP,PRI,6,ADRIAN HUMBERTO VALLE BALLESTEROS,1,,,PRI
1,2,BAJA CALIFORNIA,6,TECATE,,,,,DIP_LOC_RP,PES_BC,1,TERESITA DEL NIÑO JESUS RUIZ MENDOZA,2,,,PES_BC
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,PRES_MUN,MORENA,1,CLAUDIA JOSEFINA AGATON MUÑIZ,2,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,SIND_MR,MORENA,1,ELI OVIEDO DIAZ,2,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,1,ANA LARA CARBAJAL,2,Candidaturas afromexicanas,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,2,IVAN SALAS PALMA,1,Candidaturas de personas jóvenes,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,3,RAQUEL ESTHER MANRIQUEZ PEÑA,2,Candidaturas de discapacidad,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,4,GANDOLFO GARCIA GALICIA,1,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,5,OLGA MARCELA VALDEZ MELGOZA,2,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,6,JORGE EDUARDO VEGA ZAMORA,1,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_MR,MORENA,7,MONICA ARACELI PRIMERO ESCOBEDO,2,,,MORENA
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_RP,PAN,1,ADRIAN GARCIA GARCIA,1,,,PAN
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_RP,PES_BC,1,BRENDA MENDOZA KAWANISHI,2,,,PES_BC
1,2,BAJA CALIFORNIA,,,1,ENSENADA,,,REG_RP,MC,1,ARMANDO DIAZ HOEFLICH,1,,,MC
