CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,1,B,1,0,B,0,34,59,1,6,5,202,84,0,8,1,1,,,2,5,0,0,0,408,0,10,418,552,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0001B-AEC.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,2,B,1,0,B,0,24,40,4,8,10,233,100,1,4,4,2,,,1,6,2,1,1,441,0,11,452,633,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0002B-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,B,1,0,B,0,23,51,3,6,8,252,109,0,3,2,0,,,0,5,2,1,0,465,1,9,475,643,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0003B-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,B,1,0,B,0,13,40,2,11,6,219,87,0,4,1,2,,,0,2,3,0,0,390,0,10,400,743,Acta del consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004B-AC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,1,0,C01,0,7,18,2,7,4,240,94,0,8,1,0,,,0,10,2,3,3,399,0,15,414,743,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004C1-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,2,0,C02,0,12,33,1,12,8,244,75,0,6,0,0,,,0,8,1,1,3,404,0,10,414,742,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004C2-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,3,0,C03,0,11,27,0,5,9,238,78,1,7,2,3,,,1,9,4,4,0,399,1,12,412,742,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004C3_CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,4,0,C04,0,16,29,0,4,5,226,81,2,2,2,0,,,0,11,0,1,1,380,0,13,393,742,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004C4_CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,0,E01,0,13,21,2,11,4,197,85,1,2,0,0,,,0,1,0,0,0,337,0,19,356,626,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,0,E02,0,12,32,1,11,4,240,91,1,1,0,2,,,0,9,1,0,1,406,0,22,428,748,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E2-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,1,E01C01,0,22,55,2,8,5,172,84,1,5,2,1,,,1,5,0,1,2,366,0,6,372,626,Acta del consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1C1-AC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,1,E02C01,0,3,24,2,14,6,257,97,1,2,2,2,,,0,5,3,0,1,419,0,13,432,748,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E2C1-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,2,E01C02,0,12,33,1,6,7,207,74,0,0,0,1,,,1,6,0,2,1,351,0,10,361,626,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1C2-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,2,E02C02,0,5,20,0,10,8,210,86,1,5,2,1,,,0,6,3,1,0,358,0,11,369,748,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E2C2-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,3,E01C03,0,7,26,0,6,7,177,74,1,1,0,1,,,0,5,0,1,0,306,0,10,316,625,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1C3-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,3,E02C03,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,747,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E2C3-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,4,E01C04,0,18,29,2,2,4,161,74,0,7,2,0,,,1,6,2,0,1,309,0,7,316,625,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1C4-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,4,E02C04,0,8,17,3,15,7,214,95,4,4,0,2,,,1,6,2,1,1,380,0,12,392,747,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E2C4-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,5,E01C05,0,11,32,1,6,3,185,66,2,3,1,0,,,0,1,2,0,0,313,0,3,316,625,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0004E1C5-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,5,B,1,0,B,0,35,36,2,4,3,178,73,0,5,5,0,,,2,3,1,0,0,347,0,9,356,507,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0005B-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,5,C,1,0,C01,0,19,39,0,3,8,195,91,1,9,1,0,,,0,7,0,2,2,377,0,6,383,507,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0005C1-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,6,B,1,0,B,0,28,45,0,10,10,172,86,1,2,4,4,,,2,6,2,0,1,373,0,4,377,528,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0006B-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,6,C,1,0,C01,0,24,41,2,12,3,174,86,2,4,3,0,,,1,3,1,0,0,356,0,13,369,527,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0006C1-CIPR.pdf
