ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI_PRD,PT_PVEM_MORENA,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,151,376,377,7150,18591,41056,,,63342,,522,1406,839,421,,,133327,46,3589,136962,217499,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CAMPECHE.pdf
4,CAMPECHE,2,CALKINI,30,63,63,593,1532,10354,,,11037,,57,459,78,69,,,24179,5,564,24748,32551,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CALKINI.pdf
4,CAMPECHE,3,CARMEN,142,319,320,2415,2507,70584,,,26500,,661,669,820,300,,,104456,28,2974,107458,188102,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CARMEN.pdf
4,CAMPECHE,4,CHAMPOTON,48,108,109,4557,3324,17095,,,6967,,161,593,126,156,,,32979,33,1449,34461,58658,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CHAMPOTON.pdf
4,CAMPECHE,5,HECELCHAKAN,18,42,42,70,230,7791,,,8509,,161,65,474,45,,,17345,1,330,17676,24253,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_HECELCHAKAN.pdf
4,CAMPECHE,6,HOPELCHEN,32,58,59,164,9801,9189,,,1709,,158,14,26,82,,,21143,4,583,21730,30813,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_HOPELCHEN.pdf
4,CAMPECHE,7,PALIZADA,10,14,14,1641,1366,,1728,21,278,657,4,1,5,9,,,5710,0,116,5826,7401,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_PALIZADA.pdf
4,CAMPECHE,8,TENABO,8,17,17,1329,2183,2840,,,396,,12,5,24,311,,,7100,6,209,7315,8887,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_TENABO.pdf
4,CAMPECHE,9,ESCARCEGA,36,80,81,702,1378,10146,,,5540,,128,3861,103,87,351,,22296,30,1266,23592,44631,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_ESCARCEGA.pdf
4,CAMPECHE,10,CANDELARIA,35,70,70,4190,264,9462,,,6427,,46,15,9,26,,,20439,10,927,21376,36016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CANDELARIA.pdf
4,CAMPECHE,11,CALAKMUL,18,42,42,311,1927,6072,,,969,,93,2745,27,32,,,12176,1,687,12864,20986,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_CALAKMUL.pdf
4,CAMPECHE,12,DZITBALCHE,6,18,18,58,2360,2595,,,4087,,47,8,76,15,,,9246,0,256,9502,12180,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_DZITBALCHE.pdf
4,CAMPECHE,13,SEYBAPLAYA,9,22,22,453,3565,3887,,,354,,20,50,0,5,,357,8691,0,244,8935,12016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMP_SEYBAPLAYA.pdf
