CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,B,1,0,B,0,14,33,1,2,11,254,120,2,7,3,2,0,4,2,2,3,460,1,11,472,643,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0003B-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,B,1,0,B,0,12,25,3,8,6,228,89,2,7,3,3,0,4,1,0,0,391,0,8,399,743,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004B-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,1,0,C01,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4,0,0,4,743,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004C1-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,2,0,C02,0,9,19,2,11,11,246,73,0,7,5,4,1,8,2,1,2,401,0,12,413,742,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004C2-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,3,0,C03,0,7,28,0,4,7,244,83,2,9,4,1,1,9,3,3,0,405,0,8,413,742,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004C3-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,4,0,C04,0,11,22,0,5,6,236,85,2,4,1,0,0,11,0,1,1,385,0,8,393,742,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004C4-CIPR.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,0,E01,0,14,14,1,7,3,198,89,1,4,3,1,0,0,0,0,0,335,0,21,356,626,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004E1-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,1,E01C01,0,3,14,0,4,8,212,75,2,4,6,2,0,5,0,0,1,336,1,16,353,626,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004E1C1-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,2,E01C02,0,14,31,0,9,3,200,72,1,2,4,2,1,7,0,2,2,350,0,11,361,626,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004E1C2-AEC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,3,E01C03,0,11,13,0,6,7,171,82,0,5,1,0,0,4,1,2,1,304,0,13,317,625,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_01_0004E1C3-CIPR.pdf
