ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,20,54,55,543,1468,90,565,574,9929,4449,99,256,153,126,18252,11,557,18820,31703,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D01.pdf
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,20,55,55,904,3609,216,1015,518,7596,4825,92,121,107,61,19064,3,550,19617,32235,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D02.pdf
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,20,56,56,817,2041,133,774,730,9002,5644,123,430,265,100,20059,16,562,20637,33216,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D03.pdf
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,35,70,74,1714,4521,234,718,760,9345,6612,121,416,296,171,24908,25,704,25637,36019,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D04.pdf
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,20,51,52,1291,3345,150,499,560,7510,5059,105,420,156,106,19201,16,519,19736,31383,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D05.pdf
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,22,55,57,1262,2168,142,729,668,8647,5558,81,256,123,71,19705,15,607,20327,31878,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D06.pdf
4,CAMPECHE,7,TENABO,21,51,53,1809,2987,96,583,596,7401,6199,78,523,128,239,20639,6,509,21154,29400,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D07.pdf
4,CAMPECHE,8,CIUDAD DEL CARMEN,20,54,55,598,496,153,731,606,4703,10325,198,458,217,82,18567,13,568,19148,34574,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D08.pdf
4,CAMPECHE,9,CIUDAD DEL CARMEN,24,56,58,2064,784,359,740,648,3943,9602,783,194,83,64,19264,28,529,19821,33810,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D09.pdf
4,CAMPECHE,10,CIUDAD DEL CARMEN,23,50,51,1380,832,91,620,518,4638,8460,133,155,59,77,16963,9,489,17461,29123,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D10.pdf
4,CAMPECHE,11,CIUDAD DEL CARMEN,27,54,54,414,433,80,695,568,3944,9822,121,135,107,96,16415,9,440,16864,31655,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D11.pdf
4,CAMPECHE,12,SABANCUY,24,53,54,567,391,80,715,666,5576,8871,90,251,49,73,17329,4,663,17996,31018,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D12.pdf
4,CAMPECHE,13,ESCARCEGA,29,64,66,627,2937,199,1037,785,3212,6378,129,3144,65,62,18575,5,933,19513,35612,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D13.pdf
4,CAMPECHE,14,CANDELARIA,35,70,70,3070,289,61,1008,786,6019,8216,43,30,25,28,19575,7,916,20498,36016,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D14.pdf
4,CAMPECHE,15,CHAMPOTON,25,61,63,1280,2282,134,918,717,5609,7929,86,310,57,76,19398,48,795,20241,34088,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D15.pdf
4,CAMPECHE,16,SEYBAPLAYA,32,69,69,3188,3895,231,1109,945,3180,9677,112,565,34,64,23000,15,975,23990,36586,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D16.pdf
4,CAMPECHE,17,CALKINI,30,63,64,966,1743,88,953,947,7480,10540,66,502,116,71,23472,4,665,24141,32551,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D17.pdf
4,CAMPECHE,18,HOPELCHEN,32,58,59,172,9111,158,559,903,2393,7757,137,15,40,96,21341,1,533,21875,30813,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D18.pdf
4,CAMPECHE,19,HECELCHAKAN,24,60,60,343,2227,79,835,564,11184,9819,237,64,580,63,25995,1,669,26665,36433,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D19.pdf
4,CAMPECHE,20,PALIZADA,34,66,67,971,1810,170,1774,812,5474,10044,88,91,396,68,21698,3,1294,22995,35323,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D20.pdf
4,CAMPECHE,21,XPUJIL,25,58,59,586,2076,69,776,698,1747,7439,124,2823,62,92,16492,17,906,17415,30005,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/ACOMPRP_D21.pdf
