CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,1,1,14,33,1,2,11,254,120,2,7,3,2,0,4,2,2,3,460,1,11,472,643
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,16,16,147,306,14,124,104,3233,1247,27,76,41,28,5,92,19,23,18,5504,3,163,5670,11203
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,2,2,29,61,3,10,14,388,114,4,18,4,6,0,13,1,2,0,667,0,20,687,947
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,2,20,37,3,22,22,308,188,3,8,7,4,0,10,2,2,4,640,0,21,661,1062
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,2,2,31,65,2,7,4,294,180,5,10,10,1,0,6,2,0,0,617,0,21,638,906
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,2,2,42,72,4,21,27,413,192,3,14,6,4,0,12,6,5,2,823,0,24,847,1291
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,2,2,14,68,5,12,18,363,144,0,11,4,6,1,11,4,2,2,665,0,22,687,1097
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,2,2,16,74,3,11,18,429,143,3,5,5,6,1,11,4,2,1,732,0,20,752,1169
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,2,2,31,49,6,12,15,425,135,3,6,8,2,0,8,2,6,4,712,2,18,732,1200
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,2,2,10,27,5,13,11,363,180,4,3,12,3,0,14,2,4,1,652,0,19,671,1121
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,2,2,19,67,5,10,17,358,164,6,11,5,4,2,12,7,3,3,693,0,28,721,1146
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,3,3,36,116,2,24,25,496,245,4,16,12,3,0,20,4,3,2,1008,0,37,1045,1698
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,2,2,14,66,4,12,6,320,138,3,13,3,9,0,11,1,4,2,606,0,26,632,946
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,2,2,28,78,3,9,12,271,130,12,8,0,9,1,6,3,7,2,579,2,28,609,939
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,2,2,19,75,4,14,14,256,118,1,17,2,5,1,12,2,1,3,544,2,17,563,768
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,2,2,18,70,3,20,14,293,150,3,9,8,13,1,14,5,3,1,625,0,11,636,979
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,2,2,21,51,10,21,21,452,183,4,7,8,4,1,20,2,2,0,807,0,21,828,1347
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,2,2,9,47,1,14,14,314,209,3,5,5,5,1,15,1,1,3,647,1,17,665,1032
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,2,2,12,60,1,13,17,388,172,3,6,6,10,0,13,7,1,4,713,0,21,734,1234
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,2,2,13,38,4,13,18,311,127,6,6,4,2,0,9,4,1,1,557,0,12,569,974
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,123,2,2,16,94,3,23,17,154,168,4,1,0,3,0,10,1,2,3,499,0,23,522,827
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,124,7,7,233,362,15,74,40,1356,640,19,16,16,5,2,51,8,8,5,2850,1,66,2917,4781
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,129,3,3,9,236,4,70,14,193,278,0,1,0,2,1,20,4,8,2,842,0,29,871,1693
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,130,1,1,6,64,3,5,4,168,60,2,4,0,1,0,2,0,0,0,319,0,6,325,524
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,131,1,1,10,82,0,12,7,59,52,0,0,1,0,0,0,0,0,0,223,0,3,226,279
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,132,1,1,11,54,6,5,4,37,37,1,0,1,0,2,1,0,0,1,160,0,2,162,215
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,136,1,1,1,54,0,5,2,54,47,0,0,0,1,0,2,1,0,0,167,0,8,175,217
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,139,5,5,22,451,16,156,40,453,461,9,4,3,7,2,16,14,22,6,1682,0,77,1759,3120
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,140,2,2,13,136,1,25,17,223,173,1,4,3,1,0,6,5,6,2,616,0,8,624,958
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,141,2,2,4,158,1,22,15,244,135,0,1,2,2,4,7,4,2,0,601,0,26,627,942
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,142,4,4,110,405,21,74,32,586,490,5,3,1,1,9,21,11,9,2,1780,0,94,1874,2918
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,144,1,1,2,45,0,31,1,37,44,1,0,0,0,0,2,0,4,1,168,0,3,171,248
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,145,2,2,10,128,9,27,18,78,166,2,0,2,2,4,19,6,13,7,491,0,16,507,873
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,146,1,1,12,122,4,21,7,82,123,4,0,0,0,105,1,4,4,0,489,0,11,500,517
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,548,2,2,17,49,4,16,6,184,108,3,10,3,1,5,1,4,0,0,411,0,11,422,1314
