ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,697,699,70573,18828,5475,,,25876,,,144100,5910,976,206,78,272022,322,5231,277575,384044,
9,CIUDAD DE MEXICO,3,COYOACAN,403,974,977,138036,29860,20926,,,29584,,,176888,10376,1459,638,163,407930,589,8526,417045,572022,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,293,293,48939,9852,2008,,,11914,,,57936,2646,517,108,45,133965,249,3012,137226,188127,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,866,1856,1864,140958,57128,23632,,,67163,,,406435,14875,2269,492,345,713297,985,19460,733742,1056400,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,638,640,62838,18949,6394,,,16225,,10414,125584,6418,900,233,111,248066,597,5152,253815,364050,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1011,2568,2583,140847,61870,45163,,,65868,,,648857,17239,2410,946,531,983731,972,26313,1011016,1526203,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,359,360,28052,28957,3511,,,10016,,,69080,3584,684,92,109,144085,183,3460,147728,212554,
9,CIUDAD DE MEXICO,9,MILPA ALTA,45,183,184,8894,15902,2033,,,10072,,,36676,1771,389,80,97,75914,72,3049,79035,119675,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1056,1063,142108,27782,11121,,,25505,,,208311,11208,1695,521,173,428424,500,9233,438157,621043,
9,CIUDAD DE MEXICO,11,TLAHUAC,152,504,506,32205,17467,6259,11817,8218,16862,96318,,,3925,734,157,138,194100,259,11113,205472,318695,
9,CIUDAD DE MEXICO,12,TLALPAN,359,960,966,111301,24983,10166,,,24278,,,214516,9139,1471,452,151,396457,385,9056,405898,578802,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,177,581,585,62423,19317,7867,,,18073,,,120587,6286,937,316,109,235915,276,6380,242571,368019,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,644,646,175507,14187,4292,,,13954,,,72646,8164,1238,261,54,290303,387,3986,294676,384081,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,858,861,90900,43274,9480,,,26880,,,145293,10472,1621,313,194,328427,698,8712,337837,493555,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,560,562,104185,14845,4064,,,12663,,,93392,6008,978,219,72,236426,277,3767,240470,329179,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,700,702,58744,25189,9066,,,21688,,,152767,6590,1007,291,171,275513,277,6514,282304,404600,
