ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,697,699,73135,21326,7585,38431,28819,25876,76850,,272022,322,5231,277575,384044,
9,CIUDAD DE MEXICO,3,COYOACAN,403,974,977,142545,34129,24784,47175,35377,29584,94336,,407930,589,8526,417045,572022,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,293,293,50134,11015,2966,15451,11587,11914,30898,,133965,249,3012,137226,188127,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,866,1856,1864,147300,63394,29005,108395,81285,67163,216755,,713297,985,19460,733742,1056400,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,638,640,65545,21594,8704,33492,25116,16225,66976,10414,248066,597,5152,253815,364050,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1011,2568,2583,148277,69088,51641,173046,129769,65868,346042,,983731,972,26313,1011016,1526203,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,359,360,29635,30549,4805,18423,13816,10016,36841,,144085,183,3460,147728,212554,
9,CIUDAD DE MEXICO,9,MILPA ALTA,45,183,184,9718,16737,2711,9781,7335,10072,19560,,75914,72,3049,79035,119675,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1056,1063,146955,32451,15202,55554,41661,25505,111096,,428424,500,9233,438157,621043,
9,CIUDAD DE MEXICO,11,TLAHUAC,152,504,506,33960,19212,7713,11817,8218,16862,96318,,194100,259,11113,205472,318695,
9,CIUDAD DE MEXICO,12,TLALPAN,359,960,966,115312,28839,13512,57210,42902,24278,114404,,396457,385,9056,405898,578802,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,177,581,585,65147,21935,10173,32160,24116,18073,64311,,235915,276,6380,242571,368019,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,644,646,178979,17556,7168,19374,14529,13954,38743,,290303,387,3986,294676,384081,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,858,861,95359,47673,13222,38748,29058,26880,77487,,328427,698,8712,337837,493555,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,560,562,106789,17371,6211,24906,18678,12663,49808,,236426,277,3767,240470,329179,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,700,702,61592,27974,11492,40742,30553,21688,81472,,275513,277,6514,282304,404600,
