ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,22461,2160,1532,0,0,2418,0,0,12926,3045,329,97,31,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,14286,7905,3849,0,0,15612,0,0,101974,1712,362,75,86,145861,175,5009,151045,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,53149,16493,4438,0,0,18682,0,0,84183,4496,770,250,48,182509,235,4675,187419,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,40751,15176,4185,0,0,21733,0,0,89020,3710,618,128,63,175384,234,4168,179786,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,28748,17013,5608,0,0,21516,0,0,106258,3405,581,138,88,183355,255,5443,189053,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,50941,14174,4069,0,0,16757,0,0,87718,4185,711,149,67,178771,257,3835,182863,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,44693,21041,6321,0,0,21182,0,0,101676,4953,765,168,78,200877,271,5094,206242,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,14423,16799,3276,9517,10701,14581,61134,0,0,2222,414,77,97,133241,140,9121,142502,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,19955,11441,3987,0,0,17495,0,0,81377,2330,405,100,88,137178,198,4553,141929,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,31948,24662,4107,0,0,16914,0,0,77435,4620,822,206,108,160822,301,4987,166110,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,39180,18354,4968,0,0,17253,0,0,87349,4227,654,121,89,172195,199,4660,177054,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,35314,15174,4624,0,0,20953,0,0,93560,4024,628,335,59,174671,295,4656,179622,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,55011,20213,6496,0,0,15630,0,0,66599,0,0,0,0,163949,357,7676,171982,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,72400,13173,3290,0,0,11160,0,0,48325,0,0,0,0,148348,182,5097,153627,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,46535,13146,4277,7991,6027,15022,71304,0,0,4009,661,163,62,169197,317,9022,178536,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,41937,15206,4202,0,0,18504,0,0,87820,3985,657,140,73,172524,285,4555,177364,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,26373,10288,4359,0,0,15883,0,0,84625,2911,454,115,65,145073,183,4733,149989,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,99093,15078,4616,0,0,14848,0,0,52577,0,0,0,0,186212,384,7192,193788,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,413,80773,13252,4614,0,0,14214,0,0,56152,4881,848,186,60,174980,233,3286,178499,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,390,59070,15060,4307,0,0,14846,0,0,60890,4359,734,146,49,159461,246,3810,163517,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,367,51332,17090,2900,0,0,17253,0,0,73002,0,0,0,0,161577,323,6146,168046,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,384,23406,14552,6789,0,0,12212,0,5406,79346,0,0,0,0,141711,283,5843,147837,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,15706,10498,7117,0,0,14109,0,0,83214,2239,318,107,48,133356,149,4074,137579,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,413,65834,12610,4731,0,0,14426,0,0,66490,3918,693,168,61,168931,171,3780,172882,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,426,40949,13818,7422,0,0,16249,0,0,79726,3965,608,190,69,162996,232,4269,167497,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,382,30102,11443,4255,0,0,16569,0,0,85158,0,0,0,0,147527,180,7724,155431,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,492,52555,18728,11823,0,0,22496,0,0,94935,0,0,0,0,200537,365,8606,209508,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,340,9812,5840,4504,0,0,9937,0,0,91716,1219,422,93,44,123587,115,4206,127908,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,26632,10039,4785,0,0,13970,0,0,84948,2799,407,125,45,143750,158,4117,148025,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,14253,8120,3595,9585,6015,10968,80385,0,0,1597,262,76,39,134895,142,10171,145208,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,485,76736,20045,11505,0,0,17794,0,0,74883,0,0,0,0,200963,218,7994,209175,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,12684,7120,2864,8770,5709,8943,71814,0,0,1484,293,71,49,119801,97,9447,129345,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,33815,11413,5080,0,0,15271,0,0,84740,3406,543,152,71,154491,205,4321,159017,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,29751,21845,3612,0,0,13853,0,0,71839,3076,686,110,80,144852,138,4104,149094,212554,
