ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,,,,,,2418,,,12926,29655,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,,,,,,15612,,,101974,28275,145861,175,5009,151045,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,,,,,,18682,,,84183,79644,182509,235,4675,187419,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,,,,,,21733,,,89020,64631,175384,234,4168,179786,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,,,,,,21516,,,106258,55581,183355,255,5443,189053,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,,,,,,16757,,,87718,74296,178771,257,3835,182863,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,,,,,,21182,,,101676,78019,200877,271,5094,206242,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,,,,9517,10701,14581,61134,,,37308,133241,140,9121,142502,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,,,,,,17495,,,81377,38306,137178,198,4553,141929,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,,,,,,16914,,,77435,66473,160822,301,4987,166110,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,,,,,,17253,,,87349,67593,172195,199,4660,177054,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,,,,,,20953,,,93560,60158,174671,295,4656,179622,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,55011,20213,6496,,,15630,,,66599,,163949,357,7676,171982,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,72400,13173,3290,,,11160,,,48325,,148348,182,5097,153627,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,,,,7991,6027,15022,71304,,,68853,169197,317,9022,178536,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,,,,,,18504,,,87820,66200,172524,285,4555,177364,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,,,,,,15883,,,84625,44565,145073,183,4733,149989,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,99093,15078,4616,,,14848,,,52577,,186212,384,7192,193788,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,413,,,,,,14214,,,56152,104614,174980,233,3286,178499,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,390,,,,,,14846,,,60890,83725,159461,246,3810,163517,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,367,51332,17090,2900,,,17253,,,73002,,161577,323,6146,168046,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,384,23406,14552,6789,,,12212,,5406,79346,,141711,283,5843,147837,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,,,,,,14109,,,83214,36033,133356,149,4074,137579,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,413,,,,,,14426,,,66490,88015,168931,171,3780,172882,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,426,,,,,,16249,,,79726,67021,162996,232,4269,167497,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,382,30102,11443,4255,,,16569,,,85158,,147527,180,7724,155431,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,492,52555,18728,11823,,,22496,,,94935,,200537,365,8606,209508,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,340,,,,,,9937,,,91716,21934,123587,115,4206,127908,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,,,,,,13970,,,84948,44832,143750,158,4117,148025,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,,,,9585,6015,10968,80385,,,27942,134895,142,10171,145208,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,485,76736,20045,11505,,,17794,,,74883,,200963,218,7994,209175,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,,,,8770,5709,8943,71814,,,24565,119801,97,9447,129345,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,,,,,,15271,,,84740,54480,154491,205,4321,159017,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,,,,,,13853,,,71839,59160,144852,138,4104,149094,212554,
