ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,23690,3355,2610,3447,2585,2418,6894,,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,15076,8700,4499,27196,20394,15612,54384,,145861,175,5009,151045,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,55158,18401,6085,22451,16836,18682,44896,,182509,235,4675,187419,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,42361,16754,5516,23741,17804,21733,47475,,175384,234,4168,179786,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,30243,18482,6856,28339,21251,21516,56668,,183355,255,5443,189053,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,52767,15958,5571,23394,17543,16757,46781,,178771,257,3835,182863,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,46811,23113,8095,27116,20335,21182,54225,,200877,271,5094,206242,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,15410,17796,4102,9517,10701,14581,61134,,133241,140,9121,142502,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,20985,12464,4857,21703,16275,17495,43399,,137178,198,4553,141929,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,34002,26667,5804,20651,15487,16914,41297,,160822,301,4987,166110,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,40977,20135,6481,23295,17469,17253,46585,,172195,199,4660,177054,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,37138,16859,6161,24952,18712,20953,49896,,174671,295,4656,179622,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,55011,20213,6496,17761,13319,15630,35519,,163949,357,7676,171982,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,72400,13173,3290,12888,9665,11160,25772,,148348,182,5097,153627,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,48285,14843,5725,7991,6027,15022,71304,,169197,317,9022,178536,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,43665,16899,5636,23421,17564,18504,46835,,172524,285,4555,177364,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,27629,11518,5418,22569,16925,15883,45131,,145073,183,4733,149989,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,99093,15078,4616,14022,10515,14848,28040,,186212,384,7192,193788,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,413,82917,15333,6364,14975,11230,14214,29947,,174980,233,3286,178499,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,390,60963,16905,5857,16239,12178,14846,32473,,159461,246,3810,163517,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,367,51332,17090,2900,19469,14600,17253,38933,,161577,323,6146,168046,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,384,23406,14552,6789,21161,15869,12212,42316,5406,141711,283,5843,147837,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,16666,11427,7940,22193,16642,14109,44379,,133356,149,4074,137579,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,413,67571,14293,6151,17732,13298,14426,35460,,168931,171,3780,172882,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,426,42670,15479,8872,21262,15945,16249,42519,,162996,232,4269,167497,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,382,30102,11443,4255,22711,17031,16569,45416,,147527,180,7724,155431,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,492,52555,18728,11823,25319,18987,22496,50629,,200537,365,8606,209508,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,340,10477,6479,4978,24460,18343,9937,48913,,123587,115,4206,127908,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,27832,11198,5802,22655,16989,13970,45304,,143750,158,4117,148025,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,14955,8803,4184,9585,6015,10968,80385,,134895,142,10171,145208,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,485,76736,20045,11505,19971,14976,17794,39936,,200963,218,7994,209175,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,13362,7786,3417,8770,5709,8943,71814,,119801,97,9447,129345,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,35299,12855,6326,22600,16948,15271,45192,,154491,205,4321,159017,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,31175,23253,4732,19159,14367,13853,38313,,144852,138,4104,149094,212554,
