ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,23690,3355,2610,3447,2585,2418,6894,,44999,121,622,45742,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,381,15138,8741,4503,27211,20408,15659,54615,,146275,175,5020,151470,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,55158,18401,6085,22451,16836,18682,44896,,182509,235,4675,187419,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,42361,16754,5516,23741,17804,21733,47475,,175384,234,4168,179786,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,492,30275,18500,6864,28351,21255,21529,56727,,183501,256,5451,189208,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,458,52813,15975,5574,23403,17550,16787,46885,,178987,257,3843,183087,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,512,46870,23136,8104,27128,20339,21208,54324,,201109,271,5100,206480,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,350,15554,17878,4119,9564,10731,14657,61619,,134122,140,9145,143407,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,344,21106,12524,4877,21739,16296,17563,43736,,137841,198,4572,142611,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,34002,26667,5804,20651,15487,16914,41297,,160822,301,4987,166110,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,438,41002,20151,6483,23299,17472,17264,46622,,172293,199,4662,177154,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,457,37174,16868,6164,24955,18714,20971,49947,,174793,295,4658,179746,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,437,55043,20222,6502,17766,13323,15638,35575,,164069,357,7679,172105,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,72400,13173,3290,12888,9665,11160,25772,,148348,182,5097,153627,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,423,48311,14852,5727,7994,6034,15040,71349,,169307,319,9025,178651,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,452,43721,16932,5642,23429,17572,18537,46963,,172796,286,4563,177645,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,358,27647,11525,5419,22571,16929,15896,45167,,145154,184,4734,150072,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,99093,15078,4616,14022,10515,14848,28040,,186212,384,7192,193788,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,416,82952,15352,6365,14978,11236,14221,29991,,175095,234,3290,178619,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,391,60997,16910,5860,16240,12178,14849,32511,,159545,246,3810,163601,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,369,51370,17101,2904,19482,14601,17269,38969,,161696,323,6152,168171,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,388,23529,14597,6807,21198,15901,12286,42642,5406,142366,284,5860,148510,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,16666,11427,7940,22193,16642,14109,44379,,133356,149,4074,137579,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,415,67596,14310,6153,17738,13299,14434,35487,,169017,171,3780,172968,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,428,42744,15505,8888,21281,15961,16285,42804,,163468,232,4284,167984,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,385,30271,11513,4272,22744,17064,16642,45761,,148267,181,7753,156201,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,493,52564,18733,11823,25321,18987,22504,50643,,200575,365,8609,209549,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,341,10508,6497,4983,24472,18356,9973,49095,,123884,115,4216,128215,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,27832,11198,5802,22655,16989,13970,45304,,143750,158,4117,148025,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,14955,8803,4184,9585,6015,10968,80385,,134895,142,10171,145208,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,488,76802,20057,11509,19979,14980,17811,40008,,201146,218,7995,209359,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,13362,7786,3417,8770,5709,8943,71814,,119801,97,9447,129345,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,35299,12855,6326,22600,16948,15271,45192,,154491,205,4321,159017,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,31175,23253,4732,19159,14367,13853,38313,,144852,138,4104,149094,212554,
