ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,22606,1840,1230,392,673,2223,10257,3152,290,103,15,2102,31,76,414,45404,82,387,45873,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,18568,6605,2797,6599,4847,11716,83788,2176,403,82,72,6951,531,1287,1149,147571,114,3519,151204,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,57649,13377,3176,5868,4625,15212,70353,4930,735,155,58,5497,333,910,1034,183912,213,3520,187645,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,45280,12124,2975,6460,4421,16069,74840,4290,650,164,90,6392,360,940,868,175923,161,2921,179005,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,34861,13947,4422,7259,5317,16527,87462,4113,546,176,121,7309,449,1087,1125,184721,180,3999,188900,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,56273,11986,2867,6111,4380,16222,70809,4948,734,148,74,5678,360,835,955,182380,181,2860,185421,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,51868,17634,4832,6791,5217,17878,81192,5777,793,208,132,7132,444,966,1121,201985,181,3574,205740,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,20886,14177,3038,5542,4910,11144,69847,2632,467,120,94,5297,297,852,838,140141,85,3413,143639,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,23833,8953,2828,5436,4556,11175,71038,2771,389,102,86,6003,280,893,1016,139359,102,2765,142226,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,37525,19603,2799,5666,4174,14163,63119,5097,807,146,100,6361,351,888,926,161725,203,3524,165452,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,45859,15393,3592,5755,4457,14875,69917,5002,682,169,96,5594,338,933,1038,173700,125,3196,177021,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,41105,12465,3344,6771,5386,15649,76495,4715,602,173,86,6817,398,1004,1061,176071,168,3164,179403,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,58747,14183,3355,4832,3881,13715,56570,5526,806,197,69,5320,249,710,879,169039,228,2835,172102,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,74487,9324,2268,3302,2537,10156,39988,4040,693,138,49,3410,218,503,574,151687,139,1825,153651,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,51897,10887,3498,5558,4497,13543,71900,4282,636,177,44,5729,340,982,882,174852,194,3228,178274,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,48868,11746,2956,6630,4768,13620,71395,4601,634,165,88,6238,445,903,1019,174076,147,3018,177241,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,31160,8038,3494,6315,4886,11847,68059,3470,507,155,59,6506,426,1066,963,146951,109,3305,150365,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,107186,8071,2387,3150,3079,9822,45244,6247,857,224,46,3692,170,425,779,191379,224,2247,193850,252266,
