ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,0,VOTO EN EL EXTRANJERO,0,0,13,23854,3044,2338,1145,1597,2223,11203,45404,82,387,45873,50277,
9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,140,377,379,19537,7567,3599,9825,8003,11716,87324,147571,114,3519,151204,233078,
9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,255,483,485,59739,15416,4925,8322,7140,15212,73158,183912,213,3520,187645,259360,
9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,218,443,444,47117,13924,4532,9241,7165,16069,77875,175923,161,2921,179005,249645,
9,CIUDAD DE MEXICO,4,GUSTAVO A. MADERO,227,489,491,36593,15652,5941,10463,8539,16527,91006,184721,180,3999,188900,277604,
9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,207,453,455,58364,14039,4627,8601,6929,16222,73598,182380,181,2860,185421,255515,
9,CIUDAD DE MEXICO,6,GUSTAVO A. MADERO,244,507,509,54295,20022,6927,9873,8376,17878,84614,201985,181,3574,205740,286358,
9,CIUDAD DE MEXICO,7,MILPA ALTA,96,346,348,22058,15334,4022,7883,7242,11144,72458,140141,85,3413,143639,219739,
9,CIUDAD DE MEXICO,8,TLAHUAC,101,341,342,25003,10114,3845,8023,7205,11175,73994,139359,102,2765,142226,218631,
9,CIUDAD DE MEXICO,9,CUAUHTEMOC,187,424,426,39701,21755,4621,8406,6932,14163,66147,161725,203,3524,165452,245607,
9,CIUDAD DE MEXICO,10,VENUSTIANO CARRANZA,208,436,437,47953,17449,5391,8255,7009,14875,72768,173700,125,3196,177021,253453,
9,CIUDAD DE MEXICO,11,IZTACALCO,212,453,455,43065,14381,5044,9744,8387,15649,79801,176071,168,3164,179403,260813,
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,202,434,435,61091,16463,5329,7085,6217,13715,59139,169039,228,2835,172102,247948,
9,CIUDAD DE MEXICO,13,MIGUEL HIDALGO,179,361,362,76250,11042,3707,4799,4069,10156,41664,151687,139,1825,153651,208063,
9,CIUDAD DE MEXICO,14,TLALPAN,169,420,422,53732,12654,5035,8129,7017,13543,74742,174852,194,3228,178274,247560,
9,CIUDAD DE MEXICO,15,IZTACALCO,215,449,450,50802,13641,4615,9383,7578,13620,74437,174076,147,3018,177241,254384,
9,CIUDAD DE MEXICO,16,TLALPAN,99,355,357,32649,9478,4756,9230,7748,11847,71243,146951,109,3305,150365,230442,
9,CIUDAD DE MEXICO,17,BENITO JUAREZ,166,420,421,109810,10604,4604,4678,4783,9822,47078,191379,224,2247,193850,252266,
9,CIUDAD DE MEXICO,18,ALVARO OBREGON,170,411,413,88790,11464,4854,5769,4792,10775,49776,176220,145,2308,178673,239000,
9,CIUDAD DE MEXICO,19,XOCHIMILCO,166,387,390,65192,13512,4479,6725,6422,11713,52707,160750,155,2565,163470,222368,
9,CIUDAD DE MEXICO,20,CUAJIMALPA DE MORELOS,101,366,367,55425,12398,3277,19477,6403,14194,54537,165711,126,2894,168731,233509,
9,CIUDAD DE MEXICO,21,IZTAPALAPA,165,381,384,28379,11324,5878,9858,8297,8686,72574,144996,128,2997,148121,218042,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,149,354,355,19139,8948,6490,8944,8509,8426,74814,135270,102,2744,138116,210644,
9,CIUDAD DE MEXICO,23,ALVARO OBREGON,190,410,413,71137,11548,4707,7401,5805,11795,56526,168919,139,2714,171772,233358,
9,CIUDAD DE MEXICO,24,IZTAPALAPA,197,424,426,47766,11772,6363,9774,7711,11013,70504,164903,162,2768,167833,236763,
9,CIUDAD DE MEXICO,25,XOCHIMILCO,102,379,382,33969,10673,4165,9838,10024,12955,71372,152996,111,3412,156519,246451,
9,CIUDAD DE MEXICO,26,COYOACAN,195,491,492,61508,14903,9485,9008,8688,17026,84800,205418,212,3871,209501,292053,
9,CIUDAD DE MEXICO,27,IZTAPALAPA,113,339,340,11006,4610,3303,9516,9168,5442,82333,125378,71,2646,128095,206910,
9,CIUDAD DE MEXICO,28,IZTAPALAPA,145,366,368,30492,8678,4752,8940,8737,9437,75001,146037,115,2694,148846,220719,
9,CIUDAD DE MEXICO,29,IZTAPALAPA,132,372,375,17315,7025,4042,9961,8927,7338,87994,142602,114,2811,145527,227374,
9,CIUDAD DE MEXICO,30,COYOACAN,208,483,485,85125,16632,8418,7371,7087,14099,67948,206680,184,2943,209807,279969,
9,CIUDAD DE MEXICO,31,IZTAPALAPA,110,332,335,15475,6120,3173,9269,8247,6690,77722,126696,71,2685,129452,205751,
9,CIUDAD DE MEXICO,32,ALVARO OBREGON,151,386,388,39045,11027,4517,9333,7188,12353,72317,155780,123,3118,159021,235118,
9,CIUDAD DE MEXICO,33,LA MAGDALENA CONTRERAS,149,359,360,36114,19804,3699,7884,6454,11170,62416,147541,128,2873,150542,212554,
