ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,24,1120,569,203,,2529,656,626,60,9,139,51,5,2,,,,,,5969,2,338,6309,10165,
8,CHIHUAHUA,2,ALDAMA,21,42,42,2989,944,337,603,353,530,3702,1835,117,202,75,15,6,114,,,,,11822,2,682,12506,23317,
8,CHIHUAHUA,3,ALLENDE,15,18,18,295,1540,154,,367,107,2101,29,28,56,37,4,5,,,,,,4723,0,188,4911,7344,
8,CHIHUAHUA,4,AQUILES SERDAN,9,26,26,590,3298,84,805,89,240,1444,111,,91,58,5,4,15,,,,,6834,24,364,7222,15706,
8,CHIHUAHUA,5,ASCENSION,20,37,37,1210,815,1175,1156,324,1937,2172,17,57,164,35,23,9,121,,,,,9215,6,627,9848,20759,
8,CHIHUAHUA,6,BACHINIVA,17,18,18,1895,132,19,,,53,1177,,21,,,,,,76,56,9,0,3438,1,154,3593,5894,
8,CHIHUAHUA,7,BALLEZA,14,25,26,165,3535,27,408,67,1141,333,,,,,,,,106,128,4,15,5929,0,910,6839,13760,
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,17,330,1438,132,,,162,1965,,,39,66,35,6,,,,,,4173,0,690,4863,8045,
8,CHIHUAHUA,9,BOCOYNA,22,43,43,3333,804,100,,152,3665,3154,78,56,146,170,9,2,,,,,,11669,1,862,12532,21579,
8,CHIHUAHUA,10,BUENAVENTURA,26,40,40,1502,3347,249,190,630,161,2907,176,,98,96,12,9,144,,,,,9521,5,658,10184,20296,
8,CHIHUAHUA,11,CAMARGO,40,76,76,7683,1364,218,271,219,9397,2844,122,,382,192,11,11,58,,,,,22772,4,813,23589,41165,
8,CHIHUAHUA,12,CARICHI,15,21,21,164,1736,35,1977,26,11,246,,,146,37,5,7,,,,,,4390,2,398,4790,8013,
8,CHIHUAHUA,13,CASAS GRANDES,12,23,23,953,2223,305,117,184,151,1673,16,32,193,74,10,10,52,,,,,5993,3,369,6365,12176,
8,CHIHUAHUA,14,CORONADO,6,7,7,892,50,8,45,10,405,100,,,,,,,1,,,,,1511,1,95,1607,1984,
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,4,17,256,664,,,3,607,,,,,,,,,,,,1547,0,40,1587,2290,
8,CHIHUAHUA,16,LA CRUZ,5,8,8,711,276,23,20,,1113,101,4,,46,27,0,1,,,,,,2322,0,76,2398,3713,
8,CHIHUAHUA,17,CUAUHTEMOC,115,257,258,27142,4729,846,1486,1889,4454,21122,636,,,,,,547,1104,487,51,12,64505,27,3241,67773,144998,
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,14,413,988,35,446,26,60,243,489,,78,29,0,7,5,,,,,2819,1,176,2996,5557,
8,CHIHUAHUA,19,CHIHUAHUA,693,1346,1348,195296,31684,7528,10215,6887,20220,118348,2984,3476,7837,2482,270,70,2175,,,,,409472,289,16383,426144,755331,
8,CHIHUAHUA,20,CHINIPAS,8,16,16,79,631,24,,,25,1971,,747,28,66,2,1,,,,,,3574,0,159,3733,5070,
8,CHIHUAHUA,21,DELICIAS,111,217,218,27411,4124,663,1549,1527,3389,22515,301,651,1128,392,34,29,375,,,,,64088,20,2831,66939,123667,
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,8,92,269,41,44,562,266,235,143,20,16,9,0,0,,,,,,1697,0,117,1814,3270,
8,CHIHUAHUA,23,GALEANA,3,10,10,1622,41,20,,50,1051,,18,20,,,,,,,,,0,2822,2,126,2950,5561,
8,CHIHUAHUA,24,SANTA ISABEL,7,9,9,1600,75,11,,,760,196,13,,,,,,,,,13,,2668,1,112,2781,4665,
8,CHIHUAHUA,25,GOMEZ FARIAS,15,17,17,170,1271,56,,274,51,1066,,48,70,33,3,7,109,,,,,3158,5,239,3402,6854,
8,CHIHUAHUA,26,GRAN MORELOS,13,13,13,158,375,38,,35,1097,202,,5,20,10,2,6,5,,,,,1953,0,109,2062,3381,
8,CHIHUAHUA,27,GUACHOCHI,43,74,74,932,7234,113,275,547,1166,7175,70,144,321,362,33,31,115,,,,,18518,2,1808,20328,37596,
8,CHIHUAHUA,28,GUADALUPE,8,11,11,350,293,40,,53,33,908,,1181,34,28,1,2,80,,,,,3003,2,139,3144,4872,
8,CHIHUAHUA,29,GUADALUPE Y CALVO,29,63,63,,6247,,,666,212,6810,92,214,,,,,206,,,,,14447,11,1392,15850,33189,
8,CHIHUAHUA,30,GUAZAPARES,13,17,17,224,108,17,1242,47,805,1386,,91,13,10,1,1,,,,,,3945,2,269,4216,6954,
8,CHIHUAHUA,31,GUERRERO,66,82,83,2868,3248,244,344,640,589,5776,98,,361,214,14,14,181,,,,,14591,5,1042,15638,30791,
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,89,168,169,10675,6201,765,,2681,13555,10910,168,192,894,352,31,19,678,,,,,47121,4,1581,48706,91243,
8,CHIHUAHUA,33,HUEJOTITAN,2,3,3,4,22,5,,223,90,815,,,1,0,0,0,,,,,,1160,0,21,1181,1558,
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,12,14,14,331,56,32,,353,1253,730,51,,26,11,5,0,201,,,,,3049,0,109,3158,5385,
8,CHIHUAHUA,35,JANOS,11,17,17,1427,306,34,45,56,613,1326,28,186,57,34,2,0,,,,,,4114,0,224,4338,8854,
8,CHIHUAHUA,36,JIMENEZ,36,58,59,1904,1899,1654,536,516,3282,5859,173,81,279,73,25,10,114,,,,,16405,1,822,17228,31074,
8,CHIHUAHUA,37,JUAREZ,1197,2244,2248,72611,28739,3904,22193,18902,34121,326209,4078,36286,3803,1405,135,134,7251,,,,,559771,502,32074,592347,1249310,
8,CHIHUAHUA,38,JULIMES,6,9,9,339,747,17,396,,991,197,,11,34,47,0,1,,,,,,2780,0,117,2897,4997,
8,CHIHUAHUA,39,LOPEZ,6,8,8,141,749,11,,769,791,127,40,,21,31,2,1,,,,,,2683,0,80,2763,3676,
8,CHIHUAHUA,40,MADERA,45,59,59,2825,462,154,,,464,3756,3440,,,,,,,149,88,10,5,11353,0,503,11856,20514,
8,CHIHUAHUA,41,MAGUARICHI,4,4,4,38,641,19,,,6,106,6,,,,,,,,,,1,817,0,45,862,1201,
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,7,7,3,22,4,506,196,475,31,,,1,0,0,0,6,,,,,1244,0,71,1315,2271,
8,CHIHUAHUA,43,MATACHI,7,8,8,80,499,24,,24,213,684,31,,25,18,1,2,22,,,,,1623,0,62,1685,2630,
8,CHIHUAHUA,44,MATAMOROS,8,11,11,1167,351,20,,44,62,873,,,49,69,2,1,40,,,,,2678,0,75,2753,4126,
8,CHIHUAHUA,45,MEOQUI,35,69,70,7614,972,144,618,290,1890,3694,155,238,,,,,80,379,166,19,4,16263,12,854,17129,37883,
8,CHIHUAHUA,46,MORELOS,8,12,12,,,,,,109,2018,,,,,,,,,,,,2127,1,853,2981,5350,
8,CHIHUAHUA,47,MORIS,8,11,11,80,154,17,,,50,1366,,24,9,9,2,3,,,,,,1714,0,126,1840,3681,
8,CHIHUAHUA,48,NAMIQUIPA,41,55,55,1277,2176,238,,946,1098,2964,,39,243,75,4,11,367,,,,,9438,0,419,9857,20665,
8,CHIHUAHUA,49,NONOAVA,4,7,7,650,72,4,1296,,3,14,,,40,15,2,0,,,,,,2096,5,124,2225,2918,
8,CHIHUAHUA,50,NUEVO CASAS GRANDES,64,100,100,4413,1710,426,1749,1740,6647,6413,471,260,295,87,15,9,288,,,,,24523,8,1382,25913,53863,
8,CHIHUAHUA,51,OCAMPO,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,6496,
8,CHIHUAHUA,52,OJINAGA,27,52,53,4687,4383,137,304,151,58,2851,21,19,,,,,44,,,39,,12694,0,525,13219,27155,
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,11,11,323,836,302,233,65,36,1175,,77,69,33,3,2,24,,,,,3178,1,236,3415,5690,
8,CHIHUAHUA,54,RIVA PALACIO,9,16,16,2409,200,31,,,48,682,,22,34,27,1,1,,,,,,3455,0,61,3516,7847,
8,CHIHUAHUA,55,ROSALES,16,27,27,2406,634,88,1091,1110,456,1642,40,332,111,67,6,1,227,,,,,8211,0,362,8573,14477,
8,CHIHUAHUA,56,ROSARIO,4,5,5,83,971,33,,63,7,77,,,30,3,0,4,3,,,,,1274,0,60,1334,2143,
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,6,7,7,63,459,12,65,16,788,107,,11,13,16,0,0,1,,,,,1551,0,82,1633,2370,
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,6,7,7,148,538,18,,,475,583,,,23,14,1,0,,,,,,1800,1,45,1846,2742,
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,12,182,65,13,932,409,387,116,628,,5,7,1,0,18,,,,,2763,0,114,2877,4181,
8,CHIHUAHUA,60,SANTA BARBARA,20,22,22,491,2098,77,,,1634,904,59,457,,,,,,,,,18,5738,1,191,5930,8976,
8,CHIHUAHUA,61,SATEVO,13,13,13,1361,71,7,,81,36,767,6,6,29,23,6,0,33,,,,,2426,0,96,2522,4269,
8,CHIHUAHUA,62,SAUCILLO,32,46,46,4241,1077,159,211,241,1030,5086,778,75,169,77,8,1,62,,,,,13215,0,546,13761,25680,
8,CHIHUAHUA,63,TEMOSACHIC,12,15,15,241,296,244,,,39,2088,35,,,,,,,68,11,3,5,3030,0,148,3178,5223,
8,CHIHUAHUA,64,EL TULE,6,7,7,893,19,7,,,5,974,,4,,,,,,28,11,1,4,1946,0,26,1972,2648,
8,CHIHUAHUA,65,URIQUE,16,29,29,2868,411,141,,190,94,4222,,81,95,80,25,1,,,,,,8208,18,551,8777,14047,
8,CHIHUAHUA,66,URUACHI,11,15,15,121,1507,18,,62,50,1243,,,40,24,0,7,46,,,,,3118,2,188,3308,5021,
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,12,14,14,144,254,76,,162,710,143,,772,31,11,0,2,,,,,,2305,0,125,2430,4298,
