ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,24,,,,,2529,656,626,60,9,2089,,,,,5969,2,338,6309,10165,
8,CHIHUAHUA,2,ALDAMA,21,42,42,,,,603,,530,,1835,117,4568,4169,,,,11822,2,682,12506,23317,
8,CHIHUAHUA,3,ALLENDE,15,18,18,,,,,367,107,2101,29,28,2091,,,,,4723,0,188,4911,7344,
8,CHIHUAHUA,4,AQUILES SERDAN,9,26,26,,,,805,,240,,111,,4130,1548,,,,6834,24,364,7222,15706,
8,CHIHUAHUA,5,ASCENSION,20,37,37,,,,1156,,1937,,17,57,3431,2617,,,,9215,6,627,9848,20759,
8,CHIHUAHUA,6,BACHINIVA,17,18,18,,,,,,53,1177,,21,,,2187,,,3438,1,154,3593,5894,
8,CHIHUAHUA,7,BALLEZA,14,25,26,,,,408,67,1141,333,,,,,3980,,,5929,0,910,6839,13760,
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,17,,,,,,162,1965,,,2046,,,,,4173,0,690,4863,8045,
8,CHIHUAHUA,9,BOCOYNA,22,43,43,,,,,152,3665,3154,78,56,4564,,,,,11669,1,862,12532,21579,
8,CHIHUAHUA,10,BUENAVENTURA,26,40,40,,,,190,,161,,176,,5313,3681,,,,9521,5,658,10184,20296,
8,CHIHUAHUA,11,CAMARGO,40,76,76,,,,271,,9397,,122,,9861,3121,,,,22772,4,813,23589,41165,
8,CHIHUAHUA,12,CARICHI,15,21,21,,,,1977,26,11,246,,,2130,,,,,4390,2,398,4790,8013,
8,CHIHUAHUA,13,CASAS GRANDES,12,23,23,,,,117,,151,,16,32,3768,1909,,,,5993,3,369,6365,12176,
8,CHIHUAHUA,14,CORONADO,6,7,7,892,50,8,45,,405,,,,,111,,,,1511,1,95,1607,1984,
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,4,17,256,664,,,3,607,,,,,,,,1547,0,40,1587,2290,
8,CHIHUAHUA,16,LA CRUZ,5,8,8,,,,20,,1113,101,4,,1084,,,,,2322,0,76,2398,3713,
8,CHIHUAHUA,17,CUAUHTEMOC,115,257,258,,,,1486,,4454,,636,,,23558,34371,,,64505,27,3241,67773,144998,
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,14,,,,446,,60,,489,,1550,274,,,,2819,1,176,2996,5557,
8,CHIHUAHUA,19,CHIHUAHUA,693,1346,1348,,,,10215,,20220,,2984,3476,245167,127410,,,,409472,289,16383,426144,755331,
8,CHIHUAHUA,20,CHINIPAS,8,16,16,,,,,,25,1971,,747,831,,,,,3574,0,159,3733,5070,
