ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,24,1196,641,252,,2529,656,626,60,9,5969,2,338,6309,10165,
8,CHIHUAHUA,2,ALDAMA,21,42,42,3103,1051,414,603,410,530,3759,1835,117,11822,2,682,12506,23317,
8,CHIHUAHUA,3,ALLENDE,15,18,18,334,1581,176,,367,107,2101,29,28,4723,0,188,4911,7344,
8,CHIHUAHUA,4,AQUILES SERDAN,9,26,26,652,3360,118,805,96,240,1452,111,,6834,24,364,7222,15706,
8,CHIHUAHUA,5,ASCENSION,20,37,37,1295,890,1246,1156,384,1937,2233,17,57,9215,6,627,9848,20759,
8,CHIHUAHUA,6,BACHINIVA,17,18,18,1954,185,48,,,53,1177,,21,3438,1,154,3593,5894,
8,CHIHUAHUA,7,BALLEZA,14,25,26,266,3643,71,408,67,1141,333,,,5929,0,910,6839,13760,
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,17,394,1487,165,,,162,1965,,,4173,0,690,4863,8045,
8,CHIHUAHUA,9,BOCOYNA,22,43,43,3472,939,153,,152,3665,3154,78,56,11669,1,862,12532,21579,
8,CHIHUAHUA,10,BUENAVENTURA,26,40,40,1589,3433,291,190,702,161,2979,176,,9521,5,658,10184,20296,
8,CHIHUAHUA,11,CAMARGO,40,76,76,7913,1593,355,271,248,9397,2873,122,,22772,4,813,23589,41165,
8,CHIHUAHUA,12,CARICHI,15,21,21,234,1808,88,1977,26,11,246,,,4390,2,398,4790,8013,
8,CHIHUAHUA,13,CASAS GRANDES,12,23,23,1059,2330,379,117,210,151,1699,16,32,5993,3,369,6365,12176,
8,CHIHUAHUA,14,CORONADO,6,7,7,892,50,8,45,10,405,101,,,1511,1,95,1607,1984,
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,4,17,256,664,,,3,607,,,1547,0,40,1587,2290,
8,CHIHUAHUA,16,LA CRUZ,5,8,8,741,305,38,20,,1113,101,4,,2322,0,76,2398,3713,
8,CHIHUAHUA,17,CUAUHTEMOC,115,257,258,27780,5346,1245,1486,2162,4454,21396,636,,64505,27,3241,67773,144998,
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,14,453,1033,64,446,28,60,246,489,,2819,1,176,2996,5557,
8,CHIHUAHUA,19,CHIHUAHUA,693,1346,1348,199285,35572,10310,10215,7974,20220,119436,2984,3476,409472,289,16383,426144,755331,
8,CHIHUAHUA,20,CHINIPAS,8,16,16,122,675,34,,,25,1971,,747,3574,0,159,3733,5070,
8,CHIHUAHUA,21,DELICIAS,111,217,218,28000,4711,1070,1549,1714,3389,22703,301,651,64088,20,2831,66939,123667,
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,8,101,280,46,44,562,266,235,143,20,1697,0,117,1814,3270,
8,CHIHUAHUA,23,GALEANA,3,10,10,1622,41,20,,50,1051,,18,20,2822,2,126,2950,5561,
8,CHIHUAHUA,24,SANTA ISABEL,7,9,9,1607,75,17,,,760,196,13,,2668,1,112,2781,4665,
8,CHIHUAHUA,25,GOMEZ FARIAS,15,17,17,211,1316,83,,328,51,1121,,48,3158,5,239,3402,6854,
8,CHIHUAHUA,26,GRAN MORELOS,13,13,13,171,390,48,,37,1097,205,,5,1953,0,109,2062,3381,
8,CHIHUAHUA,27,GUACHOCHI,43,74,74,1237,7538,251,275,604,1166,7233,70,144,18518,2,1808,20328,37596,
8,CHIHUAHUA,28,GUADALUPE,8,11,11,377,319,52,,93,33,948,,1181,3003,2,139,3144,4872,
8,CHIHUAHUA,29,GUADALUPE Y CALVO,29,63,63,,6247,,,769,212,6913,92,214,14447,11,1392,15850,33189,
8,CHIHUAHUA,30,GUAZAPARES,13,17,17,235,118,21,1242,47,805,1386,,91,3945,2,269,4216,6954,
8,CHIHUAHUA,31,GUERRERO,66,82,83,3102,3483,378,344,730,589,5867,98,,14591,5,1042,15638,30791,
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,89,168,169,11165,6685,1087,,3020,13555,11249,168,192,47121,4,1581,48706,91243,
8,CHIHUAHUA,33,HUEJOTITAN,2,3,3,4,23,5,,223,90,815,,,1160,0,21,1181,1558,
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,12,14,14,349,70,42,,453,1253,831,51,,3049,0,109,3158,5385,
8,CHIHUAHUA,35,JANOS,11,17,17,1464,342,54,45,56,613,1326,28,186,4114,0,224,4338,8854,
8,CHIHUAHUA,36,JIMENEZ,36,58,59,2047,2033,1764,536,573,3282,5916,173,81,16405,1,822,17228,31074,
