ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,148,241,241,12755,7572,1752,2389,3071,8779,18966,974,785,848,362,58,33,778,,,,,59122,29,3774,62925,126894,
8,CHIHUAHUA,2,JUAREZ,72,201,203,2180,1931,249,2017,1671,2669,32010,300,2213,173,61,2,14,868,,,,,46358,37,3006,49401,121905,
8,CHIHUAHUA,3,JUAREZ,213,305,306,4559,3296,359,3306,1819,3430,38398,379,3100,334,192,28,21,954,,,,,60175,52,5060,65287,158622,
8,CHIHUAHUA,4,JUAREZ,218,314,315,21235,7014,708,3365,2326,5284,34874,747,2220,1400,345,37,16,1127,,,,,80698,92,4664,85454,163128,
8,CHIHUAHUA,5,JUAREZ,92,237,238,27350,6840,623,2918,1564,5664,30684,870,2595,1394,331,33,5,637,,,,,81508,57,3116,84681,141772,
8,CHIHUAHUA,6,JUAREZ,143,255,258,5011,3538,416,3014,2908,3948,38502,593,2551,,,,,1044,327,122,11,6,61991,23,5058,67072,145215,
8,CHIHUAHUA,7,JUAREZ,119,254,255,6594,3299,477,3354,1918,5326,40353,592,2756,,,,,794,389,119,9,9,65989,55,3792,69836,140971,
8,CHIHUAHUA,8,JUAREZ,160,250,251,2249,1585,328,2123,1305,3194,36734,372,2309,151,93,6,4,651,,,,,51104,29,3023,54156,126652,
8,CHIHUAHUA,9,JUAREZ,91,223,224,4972,2433,344,2703,1717,5114,40755,513,3686,293,113,4,16,854,,,,,63517,60,3212,66789,133801,
8,CHIHUAHUA,10,JUAREZ,89,205,205,1354,1164,498,1794,1237,1986,30769,223,1532,100,37,4,7,751,,,,,41456,23,2258,43737,117244,
8,CHIHUAHUA,11,MEOQUI,148,273,275,19713,11319,1795,4252,4094,5971,20696,1631,1749,1062,471,66,31,,,,,,72850,34,4599,77483,143826,
8,CHIHUAHUA,12,CHIHUAHUA,124,259,260,33362,6128,1408,2504,1365,5873,26462,884,993,1523,383,33,9,,,,,,80927,61,3259,84247,142128,
8,CHIHUAHUA,13,GUERRERO,278,375,376,15918,12466,1047,2157,2831,5654,26086,2925,1028,1164,752,38,49,,,,,,72115,23,5833,77971,143466,
8,CHIHUAHUA,14,CUAUHTEMOC,115,257,258,25125,5419,966,2313,1883,5483,21372,582,395,1146,492,51,14,566,,,,,65807,27,3642,69476,144998,
8,CHIHUAHUA,15,CHIHUAHUA,224,332,334,49539,9574,1785,2934,1745,5730,29272,1011,971,2269,683,76,17,,,,,,105606,67,4469,110142,173786,
8,CHIHUAHUA,16,CHIHUAHUA,136,280,281,26723,6623,1447,3033,1693,4953,26931,1140,1186,1266,512,36,13,,,,,,75556,87,4480,80123,157947,
8,CHIHUAHUA,17,CHIHUAHUA,109,229,231,23308,4957,1192,1888,1672,4085,25080,707,938,,,,,670,1065,353,32,19,65966,59,3062,69087,135281,
8,CHIHUAHUA,18,CHIHUAHUA,100,246,248,45753,7497,1418,1631,978,3821,19547,656,702,1710,513,52,10,,,,,,84288,48,2699,87035,146189,
8,CHIHUAHUA,19,DELICIAS,111,217,218,23879,4506,710,1912,1665,4687,24891,545,,1079,358,38,9,,,,,,64279,17,3161,67457,123667,
8,CHIHUAHUA,20,CAMARGO,160,248,249,21961,9179,1580,,2038,14388,19500,938,380,1278,645,67,31,,,,,,71985,4,3055,75044,126501,
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,204,295,296,15913,14049,964,2220,3549,18325,18840,1027,1140,,,,,,1169,474,24,23,77717,11,4404,82132,138559,
8,CHIHUAHUA,22,GUACHOCHI,153,265,266,6244,19684,505,5878,1688,3136,22873,229,576,914,736,57,60,,,,,,62580,28,6782,69390,129872,
