ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,148,241,241,13248,8053,2079,2389,3460,8779,19355,974,785,59122,29,3774,62925,126894,
8,CHIHUAHUA,2,JUAREZ,72,201,203,2270,2026,314,2017,2105,2669,32444,300,2213,46358,37,3006,49401,121905,
8,CHIHUAHUA,3,JUAREZ,213,305,306,4781,3514,494,3306,2296,3430,38875,379,3100,60175,52,5060,65287,158622,
8,CHIHUAHUA,4,JUAREZ,218,314,315,21894,7661,1200,3365,2889,5284,35438,747,2220,80698,92,4664,85454,163128,
8,CHIHUAHUA,5,JUAREZ,92,237,238,27998,7473,1105,2918,1882,5664,31003,870,2595,81508,57,3116,84681,141772,
8,CHIHUAHUA,6,JUAREZ,143,255,258,5187,3711,533,3014,3430,3948,39024,593,2551,61991,23,5058,67072,145215,
8,CHIHUAHUA,7,JUAREZ,119,254,255,6789,3493,614,3354,2315,5326,40750,592,2756,65989,55,3792,69836,140971,
8,CHIHUAHUA,8,JUAREZ,160,250,251,2350,1683,383,2123,1630,3194,37060,372,2309,51104,29,3023,54156,126652,
8,CHIHUAHUA,9,JUAREZ,91,223,224,5129,2595,451,2703,2144,5114,41182,513,3686,63517,60,3212,66789,133801,
8,CHIHUAHUA,10,JUAREZ,89,205,205,1409,1219,536,1794,1612,1986,31145,223,1532,41456,23,2258,43737,117244,
8,CHIHUAHUA,11,MEOQUI,148,273,275,20336,11924,2197,4252,4094,5971,20696,1631,1749,72850,34,4599,77483,143826,
8,CHIHUAHUA,12,CHIHUAHUA,124,259,260,34079,6832,1935,2504,1365,5873,26462,884,993,80927,61,3259,84247,142128,
8,CHIHUAHUA,13,GUERRERO,278,375,376,16701,13255,1478,2157,2831,5654,26086,2925,1028,72115,23,5833,77971,143466,
8,CHIHUAHUA,14,CUAUHTEMOC,115,257,258,25779,6054,1380,2313,2166,5483,21655,582,395,65807,27,3642,69476,144998,
8,CHIHUAHUA,15,CHIHUAHUA,224,332,334,50676,10680,2587,2934,1745,5730,29272,1011,971,105606,67,4469,110142,173786,
8,CHIHUAHUA,16,CHIHUAHUA,136,280,281,27419,7308,1893,3033,1693,4953,26931,1140,1186,75556,87,4480,80123,157947,
8,CHIHUAHUA,17,CHIHUAHUA,109,229,231,23856,5498,1572,1888,2007,4085,25415,707,938,65966,59,3062,69087,135281,
8,CHIHUAHUA,18,CHIHUAHUA,100,246,248,46606,8328,2019,1631,978,3821,19547,656,702,84288,48,2699,87035,146189,
8,CHIHUAHUA,19,DELICIAS,111,217,218,24437,5050,1092,1912,1665,4687,24891,545,,64279,17,3161,67457,123667,
8,CHIHUAHUA,20,CAMARGO,160,248,249,22744,9943,2054,,2038,14388,19500,938,380,71985,4,3055,75044,126501,
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,204,295,296,16552,14688,1376,2220,3549,18325,18840,1027,1140,77717,11,4404,82132,138559,
8,CHIHUAHUA,22,GUACHOCHI,153,265,266,6946,20387,867,5878,1688,3136,22873,229,576,62580,28,6782,69390,129872,
