ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,25,1393,630,163,143,1998,696,1357,63,19,119,41,3,7,,,,,,6632,2,454,7088,10165,
8,CHIHUAHUA,2,ALDAMA,21,42,42,2881,1099,301,598,335,736,4167,1127,150,188,75,13,5,,,,,,11675,16,833,12524,23317,
8,CHIHUAHUA,3,ALLENDE,15,18,18,562,1485,99,,212,236,1950,29,32,61,33,1,2,,,,,,4702,1,210,4913,7344,
8,CHIHUAHUA,4,AQUILES SERDAN,9,26,26,623,2245,63,756,111,354,2363,123,56,80,28,1,2,,,,,,6805,3,420,7228,15706,
8,CHIHUAHUA,5,ASCENSION,20,37,38,1467,990,794,852,334,1537,3065,33,72,139,37,15,7,135,,,,,9477,21,708,10206,20759,
8,CHIHUAHUA,6,BACHINIVA,17,18,18,1266,118,17,672,32,57,1024,12,20,38,41,4,0,,,,,,3301,0,295,3596,5894,
8,CHIHUAHUA,7,BALLEZA,14,25,26,197,3706,28,445,85,973,560,9,5,162,121,8,15,,,,,,6314,0,1061,7375,13760,
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,17,318,1168,62,147,170,77,1980,24,74,30,48,8,5,,,,,,4111,0,735,4846,8045,
8,CHIHUAHUA,9,BOCOYNA,22,43,44,3435,1106,100,208,140,3292,3591,94,94,142,164,8,2,,,,,,12376,2,1007,13385,21579,
8,CHIHUAHUA,10,BUENAVENTURA,26,40,40,1603,2713,126,204,399,301,3180,360,63,81,94,4,6,107,,,,,9241,0,696,9937,20296,
8,CHIHUAHUA,11,CAMARGO,40,76,77,10757,1946,333,0,280,5454,4082,139,71,558,249,31,8,,,,,,23908,7,836,24751,41165,
8,CHIHUAHUA,12,CARICHI,15,21,21,248,1743,37,1943,37,39,385,8,7,132,28,3,11,,,,,,4621,1,479,5101,8013,
8,CHIHUAHUA,13,CASAS GRANDES,12,23,23,1191,1242,196,182,233,431,1821,35,41,156,72,10,9,49,,,,,5668,2,347,6017,12176,
8,CHIHUAHUA,14,CORONADO,6,7,7,817,94,8,,35,383,167,3,1,3,26,1,0,,,,,,1538,1,59,1598,1984,
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,4,61,279,566,8,8,4,575,5,1,5,0,6,0,,,,,,1518,0,68,1586,2290,
8,CHIHUAHUA,16,LA CRUZ,5,8,8,890,363,28,,19,732,186,6,7,58,25,1,1,,,,,,2316,0,79,2395,3713,
8,CHIHUAHUA,17,CUAUHTEMOC,115,257,260,25599,5607,975,2356,1914,5560,21808,594,407,1146,492,51,14,566,,,,,67089,53,3736,70878,144998,
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,14,587,880,34,259,43,135,412,299,9,,,,,,52,30,0,0,2740,0,265,3005,5557,
8,CHIHUAHUA,19,CHIHUAHUA,693,1346,1360,179590,35039,7274,12036,7477,24619,127703,4414,4811,6768,2091,197,49,670,1065,353,32,19,414207,323,18067,432597,755331,
8,CHIHUAHUA,20,CHINIPAS,8,16,16,160,589,10,42,77,45,1983,6,498,28,55,1,1,,,,,,3495,0,242,3737,5070,
8,CHIHUAHUA,21,DELICIAS,111,217,220,24130,4558,716,1933,1681,4741,25130,554,0,1079,358,38,9,,,,,,64927,17,3224,68168,123667,
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,8,137,269,28,52,374,343,375,61,15,,,,,,11,6,0,0,1671,0,145,1816,3270,
8,CHIHUAHUA,23,GALEANA,3,10,10,1274,138,34,30,39,824,362,37,25,12,14,3,0,7,,,,,2799,0,154,2953,5561,
8,CHIHUAHUA,24,SANTA ISABEL,7,9,9,1535,141,17,34,26,487,332,8,9,,,,,,18,9,4,1,2621,1,160,2782,4665,
8,CHIHUAHUA,25,GOMEZ FARIAS,15,17,17,241,948,52,112,194,102,1161,46,44,56,28,2,6,,,,,,2992,4,408,3404,6854,
8,CHIHUAHUA,26,GRAN MORELOS,13,13,13,221,381,32,46,28,891,275,9,5,,,,,,21,4,1,3,1917,0,146,2063,3381,
8,CHIHUAHUA,27,GUACHOCHI,43,74,75,1185,7289,124,325,645,1152,7051,86,190,325,336,17,21,,,,,,18746,3,1987,20736,37596,
8,CHIHUAHUA,28,GUADALUPE,8,11,11,342,317,28,75,56,70,1041,9,883,27,22,2,1,,,,,,2873,2,261,3136,4872,
8,CHIHUAHUA,29,GUADALUPE Y CALVO,29,63,63,368,4933,98,348,348,252,5632,49,141,95,70,4,6,,,,,,12344,3,1119,13466,33189,
8,CHIHUAHUA,30,GUAZAPARES,13,17,17,355,177,18,1357,64,502,1359,13,70,12,13,2,1,,,,,,3943,0,305,4248,6954,
8,CHIHUAHUA,31,GUERRERO,66,82,84,3083,3311,238,448,753,601,5518,110,110,373,216,8,12,,,,,,14781,8,1279,16068,30791,
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,89,168,171,10381,8754,655,1087,2311,13074,12658,304,316,,,,,,921,357,18,12,50848,10,2632,53490,91243,
8,CHIHUAHUA,33,HUEJOTITAN,2,3,3,55,66,8,5,162,134,688,5,7,,,,,,4,0,0,0,1134,0,49,1183,1558,
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,12,14,14,295,62,24,35,303,1262,768,44,13,19,8,9,0,125,,,,,2967,0,195,3162,5385,
8,CHIHUAHUA,35,JANOS,11,17,18,1404,354,43,64,65,544,1505,36,140,50,51,2,1,19,,,,,4278,2,251,4531,8854,
8,CHIHUAHUA,36,JIMENEZ,36,58,60,2241,1669,802,0,593,5079,5974,124,135,259,81,19,13,,,,,,16989,1,892,17882,31074,
