CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,YESENIA GUADALUPE REYES CALZADIAS,2,,,PAN
1,8,CHIHUAHUA,2,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,LETICIA ORTEGA MAYNEZ,2,,,MORENA
1,8,CHIHUAHUA,3,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,OSCAR DANIEL AVITIA ARELLANES,1,,,MORENA
1,8,CHIHUAHUA,4,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,ROSANA DIAZ REYES,2,,,MORENA
1,8,CHIHUAHUA,5,JUAREZ,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,EDNA XOCHITL CONTRERAS HERRERA,2,,,PAN
1,8,CHIHUAHUA,6,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,IRLANDA DOMINIQUE MARQUEZ NOLASCO,2,,,PT
1,8,CHIHUAHUA,7,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,ELIZABETH GUZMAN ARGUETA,2,,,MORENA
1,8,CHIHUAHUA,8,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,EDIN CUAUHTEMOC ESTRADA SOTELO,1,,,MORENA
1,8,CHIHUAHUA,9,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,MAGDALENA RENTERIA PEREZ,2,,,MORENA
1,8,CHIHUAHUA,10,JUAREZ,,,,,DIP_LOC_MR,PT_MORENA,1,MARIA ANTONIETA PEREZ REYES,2,,,MORENA
