ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,ACACOYAGUA,7,21,21,35,65,16,768,81,,1979,1923,602,,1856,637,25,,,,7987,1,347,8335,13180,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_1_ACTA_COMPUTO.pdf
7,CHIAPAS,2,ACALA,10,27,28,41,29,12,4405,52,62,28,5257,57,11,19,128,33,,,,10134,2,381,10517,15921,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_2_ACTA_COMPUTO.pdf
7,CHIAPAS,3,ACAPETAHUA,14,38,38,51,41,7,5572,85,70,34,6982,419,,,52,,,,,13313,0,417,13730,21480,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_3_ACTA_COMPUTO.pdf
7,CHIAPAS,4,ALTAMIRANO,15,40,40,131,100,,320,6985,,3044,430,,,,,,,,,11010,1,1104,12115,23034,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_4_ACTA_COMPUTO.pdf
7,CHIAPAS,5,AMATAN,10,30,30,32,60,17,57,65,44,39,1957,4333,,,4711,,,,,11315,0,689,12004,16479,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_5_ACTA_COMPUTO.pdf
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,39,39,72,197,52,7177,2607,88,23,873,,,378,,32,,,,11499,4,780,12283,21189,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_6_ACTA_COMPUTO.pdf
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,12,12,45,231,28,211,0,,177,4618,,,,,,,,,5310,1,278,5589,7457,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_7_ACTA_COMPUTO.pdf
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,36,36,367,955,215,3781,164,158,58,2011,,,,1735,,,,,9444,3,995,10442,21815,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_8_ACTA_COMPUTO.pdf
7,CHIAPAS,9,ARRIAGA,26,60,61,516,145,64,8555,178,1625,1091,4862,,,,623,,,,,17659,10,756,18425,32045,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_9_ACTA_COMPUTO.pdf
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,11,11,,1074,,21,15,4,20,1157,26,0,15,8,14,,,,2354,0,34,2388,6108,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_10_ACTA_COMPUTO.pdf
7,CHIAPAS,11,BELLA VISTA,13,25,25,21,81,,2975,48,,3524,35,,,89,462,,,,,7235,0,522,7757,13634,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_11_ACTA_COMPUTO.pdf
7,CHIAPAS,12,BERRIOZABAL,19,67,67,328,279,,8334,136,378,55,9786,250,,91,82,104,,,,19823,10,812,20645,42278,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_12_ACTA_COMPUTO.pdf
7,CHIAPAS,13,BOCHIL,11,45,45,92,2181,94,149,4010,,351,10198,,,154,,,,,,17229,1,756,17986,26048,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_13_ACTA_COMPUTO.pdf
7,CHIAPAS,14,EL BOSQUE,9,33,34,,5513,,89,78,,24,147,6222,,,,,,,,12073,30,610,12713,19169,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_14_ACTA_COMPUTO.pdf
7,CHIAPAS,15,CACAHOATAN,23,64,64,97,199,70,8280,6418,,681,5527,229,,,2169,,,,,23670,4,1221,24895,35965,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_15_ACTA_COMPUTO.pdf
7,CHIAPAS,16,CATAZAJA,11,25,25,,38,,5473,1155,54,7,3550,66,,19,16,23,,,,10401,1,236,10638,13552,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_16_ACTA_COMPUTO.pdf
7,CHIAPAS,17,CINTALAPA,38,112,113,294,356,161,6531,9325,415,1072,11198,1502,515,341,4876,427,,,,37013,37,2595,39645,66211,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_17_ACTA_COMPUTO.pdf
7,CHIAPAS,18,COAPILLA,5,14,14,,3,2319,5,,13,8,2762,,,,6,,,,,5116,0,167,5283,6866,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_18_ACTA_COMPUTO.pdf
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,63,192,193,1089,1516,383,19658,35548,1251,1553,3143,791,443,789,425,130,,,,66719,56,4322,71097,118064,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_19_ACTA_COMPUTO.pdf
7,CHIAPAS,20,LA CONCORDIA,25,68,69,192,395,79,290,2682,143,84,964,117,3561,109,3719,42,,,,12377,2,1485,13864,37011,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_20_ACTA_COMPUTO.pdf
7,CHIAPAS,21,COPAINALA,14,33,34,69,1957,52,2966,470,88,28,5478,,,111,43,,,,,11262,3,686,11951,16988,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_21_ACTA_COMPUTO.pdf
7,CHIAPAS,22,CHALCHIHUITAN,9,26,26,400,586,103,43,5138,114,32,3745,147,,,74,,,,,10382,2,428,10812,13678,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_22_ACTA_COMPUTO.pdf
7,CHIAPAS,23,CHAMULA,41,140,140,,11729,,2056,13294,,341,11657,,,776,,,,,,39853,9,2651,42513,74170,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_23_ACTA_COMPUTO.pdf
7,CHIAPAS,24,CHANAL,6,19,19,,50,,784,2059,14,93,34,223,,,2548,,,,,5805,0,392,6197,8793,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_24_ACTA_COMPUTO.pdf
