ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,TUXTLA GUTIERREZ,126,295,296,10295,6171,1455,4758,3846,14618,907,39092,532,537,466,614,550,83841,160,4716,88717,179730,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_1_ACTA_COMPUTO.pdf
7,CHIAPAS,2,TUXTLA GUTIERREZ,72,282,285,11425,5136,1236,14026,4326,8720,2747,36245,1370,564,1445,3275,680,91195,163,5990,97348,175137,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_2_ACTA_COMPUTO.pdf
7,CHIAPAS,3,CHIAPA DE CORZO,74,266,269,2452,2564,829,28228,16595,4459,1638,37121,1459,320,595,3056,423,99739,105,5921,105765,161471,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_3_ACTA_COMPUTO.pdf
7,CHIAPAS,4,YAJALON,56,214,215,2760,4264,1520,40493,7655,4852,1040,14638,765,130,3771,2318,344,84550,44,7583,92177,123671,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_4_ACTA_COMPUTO.pdf
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,59,241,242,5864,7998,3072,6495,9356,12273,1209,25616,744,355,613,1464,580,75639,124,7841,83604,148321,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_5_ACTA_COMPUTO.pdf
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,89,275,276,3737,6204,1289,22902,23017,4511,3185,22369,1146,632,899,4253,531,94675,82,6976,101733,165595,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_6_ACTA_COMPUTO.pdf
7,CHIAPAS,7,OCOSINGO,86,288,289,1205,2280,1198,30450,5826,2695,4557,36043,644,246,650,822,925,87541,67,4520,92128,162668,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_7_ACTA_COMPUTO.pdf
7,CHIAPAS,8,SIMOJOVEL,79,280,281,1364,21819,976,15141,13400,1324,1173,31627,5689,266,654,6627,557,100617,42,5714,106373,153155,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_8_ACTA_COMPUTO.pdf
7,CHIAPAS,9,PALENQUE,79,273,274,1104,1674,797,37069,10829,2654,1013,40333,1175,190,595,531,469,98433,18,4062,102513,160510,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_9_ACTA_COMPUTO.pdf
7,CHIAPAS,10,LA TRINITARIA,80,215,216,2314,5729,,23830,2597,3976,897,45454,1077,168,450,207,209,86908,20,3936,90864,128574,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_10_ACTA_COMPUTO.pdf
7,CHIAPAS,11,BOCHIL,75,260,264,2963,9776,4878,8448,10626,2257,4079,33779,9433,202,892,7812,543,95688,13,9450,105151,147971,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_11_ACTA_COMPUTO.pdf
7,CHIAPAS,12,PICHUCALCO,124,318,327,2389,7663,2514,10047,8298,7795,4004,48101,2445,780,3845,7049,1110,106040,12,7610,113662,169096,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_12_ACTA_COMPUTO.pdf
7,CHIAPAS,13,TUXTLA GUTIERREZ,96,313,314,15780,7985,1903,4639,4040,11498,877,39103,565,678,596,704,758,89126,174,4951,94251,192352,https://computos2024.iepc-chiapas.org/docs/actas_computo/DIP/DIP_13_ACTA_COMPUTO.pdf
