CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
,7,CHIAPAS,,,1,ACACOYAGUA,,,PRES_MUN,PCHU,1,JOSE ANTONIO MEZA,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,SIND_MR,PCHU,2,LUCIA  DE LA CRUZ MARTINEZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_MR,PCHU,3,OBED GARCIA PAZ,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_MR,PCHU,4,SEBASTIANA ORTIZ GAN,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_MR,PCHU,5,FONFILIO PEREZ GARCIA,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_MR,PCHU,6,MARIA CONCEPCION PEREZ MUNOZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_MR,PCHU,7,HUGO RENZI TSUZUKI ANTONIO,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/001 ACACOYAGUA.pdf,PCHU
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_RP,MORENA,11,ERICA ANTONIO OVANDO ,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/MORENA_AYTO_RP_69.pdf,MORENA
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_RP,PES,12,CIELO  ESPINOZA AMORES,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PES_AYTO_RP_2.pdf,PES
,7,CHIAPAS,,,1,ACACOYAGUA,,,REG_RP,PVEM,13,CLAUDIAN KAORI KOMUKAI RAMOS,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_2.pdf,PVEM
,7,CHIAPAS,,,2,ACALA,,,PRES_MUN,MORENA,1,MARIA PATRICIA COELLO ZAPATA,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,SIND_MR,MORENA,2,JOSE RANULFO ROSALES HERNANDEZ,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_MR,MORENA,3,ELSA GOMEZ  VAZQUEZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_MR,MORENA,4,GUILLERMO  CRUZ MATAMBU,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_MR,MORENA,5,INES  TORRES GOMEZ,2,Candidaturas de discapacidad,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_MR,MORENA,6,BRAYANT ALEXIS RUIZ COUTINO,1,Candidaturas de la diversidad sexual,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_MR,MORENA,7,DANIELA DE JESUS GUILLEN DIAZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/002 ACALA.pdf,MORENA
,7,CHIAPAS,,,2,ACALA,,,REG_RP,PVEM,11,EDITH RUIZ DOMINGUEZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_3.pdf,PVEM
,7,CHIAPAS,,,2,ACALA,,,REG_RP,PVEM,12,CONCEPCION TORREZ HERNANDEZ,1,Candidaturas de la diversidad sexual,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_4.pdf,PVEM
,7,CHIAPAS,,,2,ACALA,,,REG_RP,PVEM,13,ATANACIA CRUZ RODRIGUEZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_5.pdf,PVEM
,7,CHIAPAS,,,3,ACAPETAHUA,,,PRES_MUN,MORENA,1,CESAR MARTINEZ ANTONIO,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,SIND_MR,MORENA,2,OLGA MARIA OCHOA PERERA,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_MR,MORENA,3,CARLOS REINERIO ESPINOZA ARANA,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_MR,MORENA,4,JUANA NINO HERNANDEZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_MR,MORENA,5,YONI YUDIEL PASCACIO DE AQUINO,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_MR,MORENA,6,JEFZY  DE JESUS CRUZ,2,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_MR,MORENA,7,MOISES LOPEZ RODRIGUEZ,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/003 ACAPETAHUA.pdf,MORENA
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_RP,PVEM,11,ALMA YESENIA GOMEZ ORANTES,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_6.pdf,PVEM
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_RP,PVEM,12,ROGELIO DE LOS SANTOS URBINA,1,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_7.pdf,PVEM
,7,CHIAPAS,,,3,ACAPETAHUA,,,REG_RP,PVEM,13,NADIA JANET CASTILLO SALAS,2,,https://computos2024.iepc-chiapas.org/docs/constancias_rp/REG_RP/PVEM_AYTO_RP_8.pdf,PVEM
,7,CHIAPAS,,,4,ALTAMIRANO,,,PRES_MUN,PT,1,GASPAR SANTIZ JIMENEZ,2,Candidaturas indigenas,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/004 ALTAMIRANO.pdf,PT
,7,CHIAPAS,,,4,ALTAMIRANO,,,SIND_MR,PT,2,DELINA  ENCINO SANTIZ,1,,https://computos2024.iepc-chiapas.org/docs/constancias/AYUN/004 ALTAMIRANO.pdf,PT
