CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,CAND_IND1,CAND_IND2,PRI_PRD_UDC,PRI_PRD,PRI_UDC,PRD_UDC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,5,COAHUILA,0,VOTO ANTICIPADO,2,ACUÑA,0,A,1,0,VA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No instalada,,LA PERSONA INSCRITA EN LA LNEVA FALLECIO PREVIO A LA VOTACION POR LO QUE NO SE INSTALO LA MEC VA,
2,5,COAHUILA,0,VOTO ANTICIPADO,9,FRANCISCO I. MADERO,0,A,3,0,VA03,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,4,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,10,FRONTERA,0,A,4,0,VA04,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,17,MATAMOROS,0,A,13,0,VA13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,18,MONCLOVA,0,A,7,0,VA07,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,1,8,8,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,20,MUZQUIZ,0,A,5,0,VA05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,25,PIEDRAS NEGRAS,0,A,2,0,VA02,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,7,0,0,7,7,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,30,SALTILLO,0,A,9,0,VA09,0,5,6,1,0,1,0,0,4,0,0,0,0,0,0,0,17,0,0,17,21,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,30,SALTILLO,0,A,12,0,VA12,0,5,6,1,0,1,0,0,4,0,0,0,0,0,0,0,17,0,0,17,60,Grupo de recuento,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,32,SAN JUAN DE SABINAS,0,A,8,0,VA08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,33,SAN PEDRO,0,A,6,0,VA06,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,7,8,Acta casilla,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,35,TORREON,0,A,10,0,VA10,0,3,5,0,0,2,0,0,1,0,0,0,0,0,0,0,11,0,0,11,14,Acta levantada en consejo,,,
2,5,COAHUILA,0,VOTO ANTICIPADO,35,TORREON,0,A,11,0,VA11,0,2,2,0,0,0,1,0,7,0,0,0,0,0,0,0,12,0,0,12,12,Acta levantada en consejo,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,B,1,0,B,0,3,143,10,22,8,90,6,92,0,0,2,0,5,1,3,385,0,17,402,663,Grupo de recuento,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C,1,0,C01,0,4,144,11,14,6,109,4,80,0,0,18,0,0,0,2,392,0,20,412,663,Acta casilla,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C,2,0,C02,0,2,132,6,20,6,109,2,81,0,0,5,2,0,1,3,369,0,17,386,663,Grupo de recuento,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C,3,0,C03,0,3,142,8,17,10,112,5,69,0,0,4,0,7,0,4,381,0,7,388,663,Grupo de recuento,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,B,1,0,B,0,7,149,13,23,11,103,6,68,0,0,13,1,9,1,7,411,0,14,425,710,Grupo de recuento,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,C,5,0,C05,0,10,137,4,37,9,120,2,70,0,0,3,2,4,1,7,406,0,14,420,710,Grupo de recuento,,,
