ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,CAND_IND1,CAND_IND2,PRI_PRD_UDC,PRI_PRD,PRI_UDC,PRD_UDC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ABASOLO,2,3,3,,499,27,1,31,0,,457,,,14,13,2,0,39,1083,1,15,1099,1336,
5,COAHUILA,2,ACUÑA,76,212,213,426,24518,2089,4005,1505,18123,1134,14544,,,744,203,1157,189,696,69333,15,2288,71636,130101,
5,COAHUILA,3,ALLENDE,15,34,34,209,4635,167,,1524,63,252,4479,,,134,36,20,6,728,12253,3,258,12514,19721,
5,COAHUILA,4,ARTEAGA,21,41,41,559,6960,199,820,1152,85,162,4558,,,90,38,34,8,429,15094,2,506,15602,21306,
5,COAHUILA,5,CANDELA,3,4,4,16,723,13,,35,2,545,38,,,10,4,2,0,0,1388,0,43,1431,1631,
5,COAHUILA,6,CASTAÑOS,22,44,44,1636,7459,209,2529,263,78,318,1916,,,91,51,17,2,98,14667,153,490,15310,22662,
5,COAHUILA,7,CUATRO CIENEGAS,14,22,22,3879,2073,131,,63,19,65,223,,,50,21,5,0,23,6552,3,227,6782,9668,
5,COAHUILA,8,ESCOBEDO,4,6,6,2,757,29,39,55,1,473,459,,,16,12,3,0,49,1895,0,27,1922,2571,
5,COAHUILA,9,FRANCISCO I. MADERO,42,82,83,273,11081,2117,615,1794,466,760,12662,,,208,175,67,60,1154,31432,9,1206,32647,45860,
5,COAHUILA,10,FRONTERA,41,109,110,1207,13376,376,676,12552,114,683,10466,,,122,35,23,2,,39632,4,972,40608,63587,
5,COAHUILA,11,GENERAL CEPEDA,16,20,20,2656,3925,69,,142,22,,362,,,92,30,9,2,54,7363,7,328,7698,9817,
5,COAHUILA,12,GUERRERO,5,5,5,261,714,12,,50,4,,272,,,18,3,1,0,58,1393,0,22,1415,1890,
5,COAHUILA,13,HIDALGO,2,3,3,,309,24,207,,6,500,,,,39,12,2,0,,1099,0,7,1106,1416,
