ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ABASOLO,2,3,3,,512,38,1,50,5,,477,,,1083,1,15,1099,1336,
5,COAHUILA,2,ACUÑA,76,212,213,426,25447,2532,4005,1853,19044,1134,14892,,,69333,15,2288,71636,130101,
5,COAHUILA,3,ALLENDE,15,34,34,209,4708,233,,1888,120,252,4843,,,12253,3,258,12514,19721,
5,COAHUILA,4,ARTEAGA,21,41,41,559,7026,252,820,1366,136,162,4773,,,15094,2,506,15602,21306,
5,COAHUILA,5,CANDELA,3,4,4,16,730,18,,35,6,545,38,,,1388,0,43,1431,1631,
5,COAHUILA,6,CASTAÑOS,22,44,44,1636,7525,265,2529,312,117,318,1965,,,14667,153,490,15310,22662,
5,COAHUILA,7,CUATRO CIENEGAS,14,22,22,3879,2104,158,,74,37,65,235,,,6552,3,227,6782,9668,
5,COAHUILA,8,ESCOBEDO,4,6,6,2,771,40,39,79,7,473,484,,,1895,0,27,1922,2571,
5,COAHUILA,9,FRANCISCO I. MADERO,42,82,83,273,11273,2303,615,2371,598,760,13239,,,31432,9,1206,32647,45860,
5,COAHUILA,10,FRONTERA,41,109,110,1207,13447,435,676,12552,166,683,10466,,,39632,4,972,40608,63587,
5,COAHUILA,11,GENERAL CEPEDA,16,20,20,2656,3976,116,,169,57,,389,,,7363,7,328,7698,9817,
5,COAHUILA,12,GUERRERO,5,5,5,261,723,19,,79,10,,301,,,1393,0,22,1415,1890,
5,COAHUILA,13,HIDALGO,2,3,3,,329,43,207,,20,500,,,,1099,0,7,1106,1416,
5,COAHUILA,14,JIMENEZ,10,19,19,,2019,150,,402,390,639,1517,,,5117,2,193,5312,8917,
5,COAHUILA,15,JUAREZ,4,4,4,446,494,20,,48,4,,30,,,1042,0,25,1067,1398,
5,COAHUILA,16,LAMADRID,2,4,4,458,657,9,98,35,5,7,41,,,1310,0,31,1341,1647,
5,COAHUILA,17,MATAMOROS,62,150,151,710,27468,2582,1331,2448,670,735,24715,,,60659,1,2420,63080,87728,
5,COAHUILA,18,MONCLOVA,124,302,303,13951,57913,4347,5577,3110,684,1457,26590,,,113629,9,3185,116823,180877,
5,COAHUILA,19,MORELOS,6,13,13,131,2748,98,183,402,69,46,935,,,4612,1,135,4748,7467,
5,COAHUILA,20,MUZQUIZ,48,99,100,248,19566,1049,218,4167,384,1025,9009,,,35666,21,1665,37352,56547,
5,COAHUILA,21,NADADORES,8,12,12,601,1690,72,402,138,20,55,672,,,3650,0,111,3761,5124,
5,COAHUILA,22,NAVA,16,42,42,162,4172,453,121,2607,151,160,7639,,,15465,4,486,15955,25730,
5,COAHUILA,23,OCAMPO,13,19,19,692,1840,74,,466,78,16,856,,,4022,0,102,4124,7137,
5,COAHUILA,24,PARRAS,32,67,67,257,9261,201,605,2019,157,1128,7618,,,21246,17,970,22233,34828,
5,COAHUILA,25,PIEDRAS NEGRAS,87,241,242,745,34503,1832,1005,10018,687,3176,32285,,,84251,8,2865,87124,145075,
5,COAHUILA,26,PROGRESO,6,6,6,66,1666,38,,115,38,29,189,,,2141,0,40,2181,2998,
5,COAHUILA,27,RAMOS ARIZPE,50,142,142,1782,21080,829,5490,2497,518,1008,13653,,,46857,18,1508,48383,84328,
5,COAHUILA,28,SABINAS,40,95,95,232,8872,1407,12440,935,2057,1752,4071,540,,32306,5,1110,33421,52742,
5,COAHUILA,29,SACRAMENTO,2,4,4,6,992,8,,67,5,527,153,,,1758,0,36,1794,2077,
5,COAHUILA,30,SALTILLO,420,1084,1086,14723,172158,4990,8419,7707,2772,37265,148529,,,396563,151,14905,411619,657397,
5,COAHUILA,31,SAN BUENAVENTURA,17,36,36,659,7241,192,,654,118,112,3817,,,12793,8,224,13025,19603,
5,COAHUILA,32,SAN JUAN DE SABINAS,34,63,64,124,8128,1055,90,7013,96,269,5407,,,22182,1,466,22649,34990,
5,COAHUILA,33,SAN PEDRO,74,140,141,481,15604,2839,10551,1160,1621,283,11819,,7000,51358,5,2339,53702,75934,
5,COAHUILA,34,SIERRA MOJADA,5,8,8,431,979,21,,416,7,77,169,,,2100,0,53,2153,3624,
5,COAHUILA,35,TORREON,411,940,942,19473,166412,6466,9974,21663,2260,7723,127176,,,361147,111,14000,375258,550441,
5,COAHUILA,36,VIESCA,22,33,33,50,4907,76,111,922,46,91,4673,,,10876,1,377,11254,15470,
5,COAHUILA,37,VILLA UNION,8,12,12,67,1794,85,,243,132,,1207,,,3528,2,77,3607,5694,
5,COAHUILA,38,ZARAGOZA,13,23,23,234,1938,468,,3192,259,478,,,,6569,1,173,6743,11467,
