CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,1,COLIMA,1,COLIMA,0,A,2,0,VA02,0,0,5,1,0,0,3,0,2,1,0,0,1,0,0,0,0,13,1,3,17,19,ACTA DEL CONSEJO,,,
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,0,A,5,0,VA05,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA DEL CONSEJO,,,
5,6,COLIMA,6,CUAUHTEMOC,4,CUAUHTEMOC,0,A,7,0,VA07,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4,ACTA DEL CONSEJO,,,
5,6,COLIMA,7,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,A,9,0,VA09,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA DEL CONSEJO,,,
5,6,COLIMA,8,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,A,10,0,VA10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
5,6,COLIMA,9,ARMERIA,6,ARMERIA,0,A,11,0,VA11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,0,A,13,0,VA13,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,4,ACTA DEL CONSEJO,,,
5,6,COLIMA,16,TECOMAN,10,TECOMAN,0,A,17,0,VA17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,2,B,1,0,B,0,142,47,2,3,3,68,37,2,4,0,0,10,1,1,0,0,320,0,6,326,467,ACTA CASILLA,,,
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,2,C,1,0,C01,0,136,55,4,5,3,69,37,4,1,0,0,8,1,1,0,1,325,0,6,331,466,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,3,B,1,0,B,0,71,48,1,5,8,55,90,10,4,0,0,12,7,3,1,0,315,1,9,325,501,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,3,C,1,0,C01,0,60,29,6,10,7,57,81,11,6,0,0,10,4,1,0,3,285,0,23,308,501,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,3,C,2,0,C02,0,73,48,1,7,15,63,77,9,4,0,0,4,8,2,0,0,311,0,16,327,501,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,4,B,1,0,B,0,136,76,6,4,9,118,73,6,7,0,0,9,9,2,0,0,455,1,8,464,665,ACTA CASILLA,,,
