ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,97,246,247,17167,10020,794,2024,1569,17955,20834,1510,1263,,,1463,1631,420,181,248,77079,46,2464,79589,134161,
6,COLIMA,2,COMALA,13,35,35,1469,2463,,970,337,732,2830,115,615,107,1155,297,258,95,81,41,11565,5,398,11968,18087,
6,COLIMA,3,COQUIMATLAN,13,30,31,1896,1543,1346,249,336,1012,2137,156,51,81,,199,143,33,36,32,9250,1,333,9584,16361,
6,COLIMA,4,CUAUHTEMOC,18,45,46,1397,4203,340,337,433,339,5580,349,800,,,276,318,88,63,68,14591,7,387,14985,24955,
6,COLIMA,5,VILLA DE ALVAREZ,71,193,195,11869,16170,2295,1646,1491,8206,17621,1879,1324,571,,1639,1243,324,151,197,66626,54,2057,68737,114437,
6,COLIMA,6,ARMERIA,21,41,42,478,470,1636,2884,269,257,2840,2312,147,64,,40,243,180,79,29,11928,4,418,12350,22279,
6,COLIMA,7,IXTLAHUACAN,8,12,12,12,25,1,29,13,402,364,2477,528,,,3,8,3,2,2,3869,0,118,3987,5369,
6,COLIMA,8,MANZANILLO,79,255,256,8505,7557,1074,4797,1567,14362,33939,890,850,2499,,831,1894,637,169,307,79878,55,2182,82115,151567,
6,COLIMA,9,MINATITLAN,7,19,19,360,2012,,102,39,67,231,3088,14,,,90,11,0,10,1,6025,0,317,6342,8460,
6,COLIMA,10,TECOMAN,61,153,154,3584,7000,1377,,,4808,21510,974,1756,435,,553,,,,,41997,33,1936,43966,88611,
