ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PRD,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,97,246,247,794,17955,,1510,1263,,,28650,26907,77079,46,2464,79589,134161,
6,COLIMA,2,COMALA,13,35,35,,732,,115,615,107,1155,4229,4612,11565,5,398,11968,18087,
6,COLIMA,3,COQUIMATLAN,13,30,31,1346,1012,,156,51,81,,3638,2966,9250,1,333,9584,16361,
6,COLIMA,4,CUAUHTEMOC,18,45,46,340,339,,349,800,,,5876,6887,14591,7,387,14985,24955,
6,COLIMA,5,VILLA DE ALVAREZ,71,193,195,2295,8206,,1879,1324,571,,29678,22673,66626,54,2057,68737,114437,
6,COLIMA,6,ARMERIA,21,41,42,1636,257,,2312,147,64,,988,6524,11928,4,418,12350,22279,
6,COLIMA,7,IXTLAHUACAN,8,12,12,1,402,,2477,528,0,,40,421,3869,0,118,3987,5369,
6,COLIMA,8,MANZANILLO,79,255,256,1074,14362,,890,850,2499,,16893,43310,79878,55,2182,82115,151567,
6,COLIMA,9,MINATITLAN,7,19,19,,67,,3088,14,0,,2462,394,6025,0,317,6342,8460,
6,COLIMA,10,TECOMAN,61,153,154,1377,4808,21510,974,1756,435,,11137,,41997,33,1936,43966,88611,
