CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,COLIMA,1,COLIMA,0,0,1,0,5,1,0,0,3,0,2,1,0,0,1,0,0,0,0,13,1,3,17,19
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
5,6,COLIMA,6,CUAUHTEMOC,4,CUAUHTEMOC,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,4
5,6,COLIMA,7,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3
5,6,COLIMA,8,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,9,ARMERIA,6,ARMERIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,4
5,6,COLIMA,16,TECOMAN,10,TECOMAN,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,2,2,2,278,102,6,8,6,137,74,6,5,0,0,18,2,2,0,1,645,0,12,657,933
5,6,COLIMA,2,COLIMA,1,COLIMA,3,3,3,204,125,8,22,30,175,248,30,14,0,0,26,19,6,1,3,911,1,48,960,1503
5,6,COLIMA,2,COLIMA,1,COLIMA,4,1,1,136,76,6,4,9,118,73,6,7,0,0,9,9,2,0,0,455,1,8,464,665
5,6,COLIMA,2,COLIMA,1,COLIMA,5,1,1,107,45,4,9,2,47,60,5,4,0,0,8,4,1,1,0,297,0,10,307,500
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,6,3,3,555,223,13,13,7,351,168,18,14,0,0,46,14,0,0,1,1423,1,25,1449,2038
5,6,COLIMA,2,COLIMA,1,COLIMA,7,1,1,104,100,8,15,9,92,116,22,5,0,0,10,10,5,0,2,498,0,9,507,734
5,6,COLIMA,2,COLIMA,1,COLIMA,8,2,2,161,107,10,5,7,163,140,16,7,0,0,13,5,4,0,1,639,0,18,657,938
5,6,COLIMA,2,COLIMA,1,COLIMA,9,2,2,177,91,8,6,2,159,105,6,6,0,0,10,10,0,0,0,580,0,17,597,840
