CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,1,COLIMA,1,COLIMA,0,A,1,0,VA01,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,7,0,0,7,7,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,0,A,3,0,VA03,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,0,0,7,7,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,0,A,4,0,VA04,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA DEL CONSEJO,,,
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,0,A,5,0,VA05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,3,ACTA DEL CONSEJO,,,
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,0,A,6,0,VA06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,ACTA CASILLA,,,
5,6,COLIMA,6,CUAUHTEMOC,4,CUAUHTEMOC,0,A,7,0,VA07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4,ACTA CASILLA,,,
5,6,COLIMA,7,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,A,9,0,VA09,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,3,3,ACTA DEL CONSEJO,,,
5,6,COLIMA,8,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,A,10,0,VA10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
5,6,COLIMA,9,ARMERIA,6,ARMERIA,0,A,11,0,VA11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
5,6,COLIMA,9,ARMERIA,8,MANZANILLO,0,A,12,0,VA12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA DEL CONSEJO,,,
