ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,28,73,74,5061,3142,326,1494,585,3510,6579,531,481,269,,424,590,71,152,70,23285,23,873,24181,40283,
6,COLIMA,2,COLIMA,39,79,80,4161,3649,441,813,695,4977,7428,880,810,276,,401,501,48,120,91,25291,31,954,26276,40698,
6,COLIMA,3,COLIMA,22,70,71,2115,2141,243,871,681,3631,7477,336,361,182,,229,558,64,168,87,19144,17,813,19974,38390,
6,COLIMA,4,COMALA,21,65,65,3527,4506,323,1369,985,1700,7174,486,874,227,1002,443,548,105,156,92,23517,15,818,24350,37843,
6,COLIMA,5,COQUIMATLAN,25,64,65,2730,2934,683,797,804,3341,6352,443,238,240,,297,423,79,108,76,19545,27,709,20281,35821,
6,COLIMA,6,CUAUHTEMOC,26,69,71,4975,6411,477,664,659,1529,7339,754,524,205,,545,399,78,108,89,24756,14,730,25500,39745,
6,COLIMA,7,VILLA DE ALVAREZ,20,66,67,4350,4403,546,906,704,2017,6803,962,1176,299,,527,488,65,108,91,23445,19,796,24260,39415,
6,COLIMA,8,VILLA DE ALVAREZ,31,63,64,2626,3773,617,640,731,3074,6083,1504,377,361,,420,399,39,98,52,20794,22,646,21462,35806,
6,COLIMA,9,ARMERIA,33,72,74,877,961,1849,2616,551,2019,8253,2211,241,190,,85,453,90,264,68,20728,7,808,21543,39704,
6,COLIMA,10,TECOMAN,21,52,52,1167,2203,347,656,393,1651,6442,878,347,145,,187,326,58,113,60,14973,12,647,15632,31095,
6,COLIMA,11,MANZANILLO,18,54,55,1851,1272,1506,991,554,2856,7516,317,242,334,,118,375,27,118,76,18153,9,543,18705,34705,
6,COLIMA,12,MANZANILLO,9,51,52,2906,1717,429,1085,334,3694,6802,328,751,323,,230,368,25,107,80,19179,14,490,19683,33134,
6,COLIMA,13,MANZANILLO,27,65,66,2120,2088,153,1152,407,2587,8271,283,410,475,,215,513,68,163,79,18984,9,647,19640,36193,
6,COLIMA,14,MINATITLAN,20,73,73,1331,2519,257,1742,639,2161,9353,1320,223,190,,128,432,60,147,76,20578,16,854,21448,38570,
6,COLIMA,15,TECOMAN,19,53,53,1118,2276,636,,713,1491,7517,385,221,203,,186,,,,,14746,7,931,15684,30963,
6,COLIMA,16,TECOMAN,29,60,61,855,1365,322,,657,1397,6599,2198,2166,,,99,,,,,15658,6,926,16590,31922,
