ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,28,73,75,5319,3382,330,1817,852,3570,6979,532,484,271,,23536,23,901,24460,40283,
6,COLIMA,2,COLIMA,39,79,83,4470,3942,446,1101,957,5157,7998,910,827,287,,26095,31,972,27098,40698,
6,COLIMA,3,COLIMA,22,70,72,2261,2286,248,1182,947,3670,7855,340,364,186,,19339,17,825,20181,38390,
6,COLIMA,4,COMALA,21,65,65,3748,4728,323,1682,1265,1700,7482,486,874,227,1002,23517,15,818,24350,37843,
6,COLIMA,5,COQUIMATLAN,25,64,65,2878,3083,683,1031,1023,3341,6585,443,238,240,,19545,27,709,20281,35821,
6,COLIMA,6,CUAUHTEMOC,26,69,71,5247,6684,477,890,875,1529,7571,754,524,205,,24756,14,730,25500,39745,
6,COLIMA,7,VILLA DE ALVAREZ,20,66,68,4657,4704,551,1165,952,2050,7159,964,1183,300,,23685,19,820,24524,39415,
6,COLIMA,8,VILLA DE ALVAREZ,31,63,64,2836,3983,617,842,909,3074,6291,1504,377,361,,20794,22,646,21462,35806,
6,COLIMA,9,ARMERIA,33,72,74,919,1004,1849,2944,781,2019,8570,2211,241,190,,20728,7,808,21543,39704,
6,COLIMA,10,TECOMAN,21,52,53,1293,2319,352,866,568,1691,6738,886,351,146,,15210,12,679,15901,31095,
6,COLIMA,11,MANZANILLO,18,54,56,1921,1354,1512,1192,735,2886,7796,318,243,334,,18291,9,562,18862,34705,
6,COLIMA,12,MANZANILLO,9,51,54,3059,1873,431,1287,514,3749,7121,334,758,324,,19450,14,508,19972,33134,
6,COLIMA,13,MANZANILLO,27,65,67,2246,2211,154,1442,655,2619,8628,287,412,482,,19136,9,657,19802,36193,
6,COLIMA,14,MINATITLAN,20,73,73,1395,2583,257,1989,851,2161,9609,1320,223,190,,20578,16,854,21448,38570,
6,COLIMA,15,TECOMAN,19,53,54,1247,2401,642,,721,1530,7643,395,223,205,,15007,7,955,15969,30963,
6,COLIMA,16,TECOMAN,29,60,61,904,1415,322,,657,1397,6599,2198,2166,,,15658,6,926,16590,31922,
