ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,97,246,255,15180,11438,1275,3441,2171,13358,23689,1997,1769,861,,1342,1738,189,459,266,79173,80,2953,82206,134161,
6,COLIMA,2,COMALA,13,35,35,1336,2471,51,924,507,568,3588,105,347,82,784,256,297,81,109,47,11553,3,411,11967,18087,
6,COLIMA,3,COQUIMATLAN,13,30,31,1291,1448,510,336,472,1764,2663,147,66,82,,155,170,50,39,35,9228,7,356,9591,16361,
6,COLIMA,4,CUAUHTEMOC,18,45,46,1318,4056,226,462,481,568,5586,539,430,88,,257,310,72,89,71,14553,5,475,15033,24955,
6,COLIMA,5,VILLA DE ALVAREZ,71,193,196,10650,11734,1613,2462,2254,7833,20253,3145,2259,964,218,1276,1391,157,322,229,66760,73,2226,69059,114437,
6,COLIMA,6,ARMERIA,21,41,42,393,403,1593,1895,338,800,3575,2115,132,103,,41,231,68,162,38,11887,2,471,12360,22279,
6,COLIMA,7,IXTLAHUACAN,8,12,12,41,77,20,,80,371,518,1800,949,0,,2,,,,,3858,1,127,3986,5369,
6,COLIMA,8,MANZANILLO,79,255,263,8443,6697,2590,5331,2003,12418,34760,1250,1699,1392,,687,1876,193,633,329,80301,52,2563,82916,151567,
6,COLIMA,9,MINATITLAN,7,19,19,316,1537,20,381,159,216,2083,1105,46,25,,48,34,9,4,12,5995,1,355,6351,8460,
6,COLIMA,10,TECOMAN,61,153,156,3168,5821,1296,673,1699,4247,20265,1679,1791,351,,470,326,58,113,60,42017,24,2433,44474,88611,
