CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
5,6,COLIMA,,,1,COLIMA,,,PRES_MUN,PAN_PRI,1,RIULT RIVERA GUTIERREZ,1,,,PAN
5,6,COLIMA,,,1,COLIMA,,,SIND_MR,PAN_PRI,2,ITZEL SARAHÍ RÍOS DE LA MORA,2,,,PRI
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,3,EDGAR OSIRIS ALCARAZ SAUCEDO,1,,,PRI
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,4,ALONDRA ISABEL LÓPEZALONSO,2,CANDIDATURAS DE PERSONAS JÓVENES,,PAN
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,5,FRANCISCO JAVIER BRAVO GALLARDO,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,6,CLAUDIA JANETH FARÍAS LÓPEZ,2,CANDIDATURAS DE PERSONAS JÓVENES,,PRI
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,7,EMILIO ROSARIO ALDORICA PULIDO,1,CANDIDATURAS DE PERSONAS JÓVENES,,PRI
5,6,COLIMA,,,1,COLIMA,,,REG_MR,PAN_PRI,8,ANA ISABEL FLORES VIERA,2,,,PAN
5,6,COLIMA,,,1,COLIMA,,,REG_RP,PVEM_PT_MORENA,9,AZUCENA LÓPEZ LEGORRETA,2,,,MORENA
5,6,COLIMA,,,1,COLIMA,,,REG_RP,PVEM_PT_MORENA,10,JUAN CARLOS GOMEZ DIAZ,1,,,MORENA
5,6,COLIMA,,,1,COLIMA,,,REG_RP,PVEM_PT_MORENA,11,DIANA GABRIELA VIZCAINO AGUIRRE,2,CANDIDATURAS DE PERSONAS JÓVENES,,MORENA
5,6,COLIMA,,,1,COLIMA,,,REG_RP,MC,12,ELIA MARGARITA MORENO GONZÁLEZ,2,,,MC
5,6,COLIMA,,,1,COLIMA,,,REG_RP,MC,13,FEDERICO RANGEL LOZANO,1,,,MC
5,6,COLIMA,,,2,COMALA,,,PRES_MUN,PVEM_PT_MORENA,1,DANIELA OROZCO PINEDA,2,,,PVEM
5,6,COLIMA,,,2,COMALA,,,SIND_MR,PVEM_PT_MORENA,2,NOE HERNANDEZ RODRIGUEZ,1,,,MORENA
5,6,COLIMA,,,2,COMALA,,,REG_MR,PVEM_PT_MORENA,3,ELSA LIZETHA GUIRRE ZAMORA,2,,,MORENA
5,6,COLIMA,,,2,COMALA,,,REG_MR,PVEM_PT_MORENA,4,YAIR AMED MONTES VALENCIA ,1,CANDIDATURAS DE PERSONAS JÓVENES,,MORENA
5,6,COLIMA,,,2,COMALA,,,REG_MR,PVEM_PT_MORENA,5,MARIA DEL ROSARIO RAMIREZ TIBURCIO,2,CANDIDATURAS DE PERSONAS JÓVENES,,MORENA
5,6,COLIMA,,,2,COMALA,,,REG_MR,PVEM_PT_MORENA,6,LIZETH GUADALUPE BARREDA AGUILAR,2,,,MORENA
5,6,COLIMA,,,2,COMALA,,,REG_RP,PAN_PRI,1,VERONICA FERMIN SANTANA,2,,,PAN
5,6,COLIMA,,,2,COMALA,,,REG_RP,PAN_PRI,2,MARIA ADRIANA JIMENEZ RAMOS,2,,,PAN
5,6,COLIMA,,,2,COMALA,,,REG_RP,PAN_PRI,3,ELVIA FUENTES CONTRERAS,2,,,PAN
5,6,COLIMA,,,2,COMALA,,,REG_RP,CAND_IND1,1,BRAULIO ARREGUIN ACEVEDO,1,,,CAND_IND1
5,6,COLIMA,,,3,COQUIMATLAN,,,PRES_MUN,PAN_PRI,1,CARLOS ANTONIO CHAVIRA GEORGE,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN
5,6,COLIMA,,,3,COQUIMATLAN,,,SIND_MR,PAN_PRI,2,EVELYN LIZETH ROSALES OCHOA,2,,,PRI
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_MR,PAN_PRI,3,WILVERT ANTONIO MAGALLÓN GARCÍA,1,,,PRI
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_MR,PAN_PRI,4,ADRIANA MARISELA JUAREZ RODRIGUEZ,2,CANDIDATURAS DE PERSONAS JÓVENES,,PAN
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_MR,PAN_PRI,5,ENRIQUE ALEJANDRO GONZALEZ CONTRERAS,1,,,PAN
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_MR,PAN_PRI,6,NOEMÍ GALLEGOS VENEGAS,2,CANDIDATURAS DE PERSONAS JÓVENES,,PRI
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_RP,PVEM_PT_MORENA,1,LEONOR ALCARAZ MANZO,2,,,MORENA
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_RP,PVEM_PT_MORENA,2,ELMER OMAR PINEDA DELGADO,1,,,MORENA
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_RP,PRD,1,MANUEL PIZANO RAMOS,1,,,PRD
5,6,COLIMA,,,3,COQUIMATLAN,,,REG_RP,MC,1,MARGARITO PEREDIA  MEDINA,1,CANDIDATURAS DE PERSONAS JÓVENES,,MC
5,6,COLIMA,,,4,CUAUHTEMOC,,,PRES_MUN,PVEM_PT_MORENA,1,MA. GUADALUPE SOLIS RAMIREZ,2,,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,SIND_MR,PVEM_PT_MORENA,2,ADOLFO ALEJANDRO NÚÑEZ GALINDO,1,,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_MR,PVEM_PT_MORENA,3,IRMA VALDOVINOS LÓPEZ,2,,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_MR,PVEM_PT_MORENA,4,JOSÉ OMAR MERCADO AGUIRRE,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_MR,PVEM_PT_MORENA,5,CELESTE VERDUZCO RODRÍGUEZ,2,CANDIDATURAS DE PERSONAS JÓVENES,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_MR,PVEM_PT_MORENA,6,VICTOR MANUEL ALCARAZ MEDRANO,1,,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_MR,PVEM_PT_MORENA,7,FÁTIMA CRISTINA FLORES CÁRDENAS,2,CANDIDATURAS DE PERSONAS JÓVENES,,MORENA
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_RP,PAN_PRI,1,GABRIELA MEJÍA MARTÍNEZ,2,,,PRI
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_RP,PAN_PRI,2,ALDO RAÚL MARTÍNEZ LIZARDI,1,,,PAN
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_RP,PAN_PRI,3,BEATRIZ RODRÍGUEZ CAPISTRÁN,2,CANDIDATURAS DE PERSONAS JÓVENES,,PAN
5,6,COLIMA,,,4,CUAUHTEMOC,,,REG_RP,PAN_PRI,4,FRASCISCO OSVALDO ÁVILA ESPINOSA,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PRI
5,6,COLIMA,,,5,VILLA DE ALVAREZ,,,PRES_MUN,PAN_PRI,1,ESTHER GUTIERREZ ANDRADE,2,,,PRI
5,6,COLIMA,,,5,VILLA DE ALVAREZ,,,SIND_MR,PAN_PRI,2,J. SANTOS DOLORES VILLALVAZO,1,,,PAN
5,6,COLIMA,,,5,VILLA DE ALVAREZ,,,REG_MR,PAN_PRI,3,ALEXANDRA DE JESUS NEGRETE GARCIA,2,CANDIDATURAS DE PERSONAS JÓVENES,,PAN
5,6,COLIMA,,,5,VILLA DE ALVAREZ,,,REG_MR,PAN_PRI,4,KEVIN ANDRES VAZQUEZ MONTES,1,,,PAN
