ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,43,134,135,10496,9761,645,2244,2797,4000,11948,994,363,30,12,,43290,19,2470,45779,84253,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/1//Acta_de_computo_distrital_MR.pdf
10,DURANGO,2,DURANGO,52,140,141,7537,9618,639,2518,2756,5615,13787,981,272,16,23,375,44137,23,2171,46331,83616,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_II//02_Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,3,DURANGO,37,121,122,5129,8149,557,1792,2460,3401,11331,637,264,12,11,,33743,18,2194,35955,76956,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_III/03_Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,4,DURANGO,69,151,152,6659,11493,615,1857,2947,3570,14165,927,395,22,31,,42681,34,2716,45431,86817,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_IV//04_Acta_de_computo_distrital_MR.pdf
10,DURANGO,5,DURANGO,93,173,174,11823,11166,588,1949,2334,13640,14805,1229,405,28,16,,57983,43,2788,60814,100397,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_V//Acta_de_computo_MR.pdf
10,DURANGO,6,DURANGO,43,142,143,9076,9359,508,1489,2345,3390,17365,890,345,25,11,,44803,22,2539,47364,87547,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_VI//06_Acta_de_computo_distrital_MR.pdf
10,DURANGO,7,SANTIAGO PAPASQUIARO,198,264,265,12764,7863,544,2431,1095,884,22866,959,494,68,19,1000,50987,24,2554,53565,104904,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Santiago_Papasquiaro//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,8,GUADALUPE VICTORIA,153,243,244,6543,11600,2680,4628,1599,2717,21264,675,357,38,38,939,53078,28,3471,56577,113370,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Guadalupe_Victoria//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,9,MAPIMI,182,254,255,5372,12401,2956,1892,2691,1708,24534,619,296,29,34,736,53268,42,3585,56895,105350,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Mapimi//Acta_de_computo_distrital_MR.pdf
10,DURANGO,10,GOMEZ PALACIO,52,120,121,1575,9793,374,1120,1434,1827,19570,574,181,14,29,486,36977,9,2334,39320,72086,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_X//Acta_de_Computo_Distrital_de_MR_Distrito_X.pdf
10,DURANGO,11,GOMEZ PALACIO,84,183,184,5867,14962,625,1611,3089,7284,22347,949,251,22,19,620,57646,40,2867,60553,104960,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XI//Acta_de_COmputo_Distrital_de_MR.pdf
10,DURANGO,12,GOMEZ PALACIO,75,169,170,5270,13388,532,1450,1813,5289,24124,902,268,19,35,854,53944,26,3027,56997,99722,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XII//Acta_de_Computo_Distrital_de_MR.pdf
10,DURANGO,13,LERDO,65,163,164,5562,17624,437,1955,1639,2362,23179,1469,320,19,43,834,55443,30,2991,58464,98440,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/13//Acta_de_Computo_Distrital_MR.pdf
10,DURANGO,14,CUENCAME,130,209,210,4620,8328,3688,5266,4148,2432,19977,521,204,33,34,807,50058,56,3229,53343,100666,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/14//Acta_de_computo_distrital_MR.pdf
10,DURANGO,15,PUEBLO NUEVO,84,152,152,2226,15466,697,1704,2243,784,18681,498,227,13,34,,42573,71,2502,45146,78519,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Pueblo_Nuevo//Acta_de_Computo_Distrital_de_MR.pdf
