ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,CANATLAN,37,56,56,2297,2651,219,1279,388,672,4814,219,133,8,13,236,12929,8,894,13831,25739,
10,DURANGO,2,CANELAS,12,13,13,352,279,4,63,51,20,789,28,13,0,0,24,1623,0,66,1689,3201,
10,DURANGO,3,CONETO DE COMONFORT,9,11,11,91,242,224,110,75,18,888,23,8,1,3,24,1707,0,136,1843,3435,
10,DURANGO,4,CUENCAME,37,56,57,882,2292,596,1478,374,654,6248,148,51,6,4,184,12917,12,737,13666,26833,
10,DURANGO,5,DURANGO,337,861,867,50720,59546,3552,11849,15639,33616,83401,5658,2044,133,104,375,266637,159,14878,281674,519586,
10,DURANGO,6,GENERAL SIMON BOLIVAR,15,22,22,269,1397,127,521,68,113,1750,35,19,0,5,90,4394,2,253,4649,7680,
10,DURANGO,7,GOMEZ PALACIO,211,472,475,12712,38143,1531,4181,6336,14400,66041,2425,700,55,83,1960,148567,75,8228,156870,276768,
10,DURANGO,8,GUADALUPE VICTORIA,26,55,56,1305,2729,1789,1849,576,1112,5364,185,40,17,13,314,15293,7,938,16238,30924,
10,DURANGO,9,GUANACEVI,19,25,25,424,1517,17,183,137,87,1696,43,43,3,2,44,4196,2,236,4434,7760,
10,DURANGO,10,HIDALGO,7,10,10,72,382,403,44,182,24,628,18,5,1,2,28,1789,0,97,1886,3321,
10,DURANGO,11,INDE,16,17,17,508,486,5,63,119,36,845,43,24,3,3,34,2169,2,217,2388,4477,
10,DURANGO,12,LERDO,82,196,197,5932,20836,557,2390,2333,2576,27912,1572,365,22,50,993,65538,33,3686,69257,117361,
10,DURANGO,13,MAPIMI,24,42,43,975,2146,107,319,403,412,4674,119,46,3,4,124,9332,3,648,9983,19236,
10,DURANGO,14,MEZQUITAL,32,69,69,341,9238,73,938,1253,147,8431,256,93,5,15,,20790,34,1132,21956,35797,
10,DURANGO,15,NAZAS,17,21,21,666,893,401,189,344,93,2509,48,34,10,2,95,5284,6,394,5684,10042,
10,DURANGO,16,NOMBRE DE DIOS,19,31,31,358,706,1031,620,2163,357,2407,60,16,5,10,95,7828,0,547,8375,15701,
10,DURANGO,17,NUEVO IDEAL,29,48,48,1531,1738,153,550,202,355,3606,89,68,6,1,150,8449,5,543,8997,22895,
10,DURANGO,18,OCAMPO,16,17,17,545,842,64,72,135,78,1711,40,26,0,1,43,3557,0,278,3835,7046,
10,DURANGO,19,EL ORO,23,30,30,624,1090,54,140,175,174,2066,64,44,0,2,61,4494,5,280,4779,10366,
10,DURANGO,20,OTAEZ,14,16,16,457,179,13,156,18,8,1046,31,17,2,0,127,2054,3,86,2143,4016,
10,DURANGO,21,PANUCO DE CORONADO,16,25,25,550,1520,87,225,157,222,2238,47,36,1,2,49,5134,4,310,5448,11286,
10,DURANGO,22,PEÑON BLANCO,14,21,21,420,942,151,384,96,201,2062,57,29,4,4,74,4424,4,319,4747,8730,
