CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,10,DURANGO,1,DURANGO,5,DURANGO,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,6,0,0,6,6
1,10,DURANGO,1,DURANGO,5,DURANGO,118,16,16,1205,1137,83,384,331,597,1747,116,47,4,2,0,5653,5,300,5958,11819
1,10,DURANGO,1,DURANGO,5,DURANGO,119,2,2,128,97,4,37,71,33,180,9,4,0,1,0,564,0,57,621,1299
1,10,DURANGO,1,DURANGO,5,DURANGO,120,3,3,99,155,5,51,78,53,244,9,8,0,1,0,703,2,56,761,1608
1,10,DURANGO,1,DURANGO,5,DURANGO,121,2,2,99,66,10,30,33,37,122,3,1,0,0,0,401,0,26,427,860
1,10,DURANGO,1,DURANGO,5,DURANGO,122,2,2,52,85,5,17,48,35,149,6,1,0,0,0,398,0,29,427,798
1,10,DURANGO,1,DURANGO,5,DURANGO,123,3,3,152,164,10,55,83,95,306,13,11,0,0,0,889,0,77,966,2154
1,10,DURANGO,1,DURANGO,5,DURANGO,124,2,2,99,181,6,40,89,44,221,7,3,1,0,0,691,0,51,742,1434
1,10,DURANGO,1,DURANGO,5,DURANGO,125,3,3,230,242,16,48,85,119,264,30,10,1,1,0,1046,0,50,1096,2224
1,10,DURANGO,1,DURANGO,5,DURANGO,126,2,2,103,138,3,27,92,50,193,8,10,0,1,0,625,0,46,671,1316
1,10,DURANGO,1,DURANGO,5,DURANGO,127,2,2,73,228,12,36,73,59,172,9,4,0,0,0,666,0,46,712,1422
1,10,DURANGO,1,DURANGO,5,DURANGO,128,7,7,339,543,27,129,155,210,638,39,26,2,0,0,2108,1,129,2238,4595
1,10,DURANGO,1,DURANGO,5,DURANGO,129,5,5,310,379,20,81,93,166,521,20,12,1,0,0,1603,0,81,1684,3344
1,10,DURANGO,1,DURANGO,5,DURANGO,130,7,7,301,440,20,98,164,170,751,36,21,2,0,0,2003,0,155,2158,5134
1,10,DURANGO,1,DURANGO,5,DURANGO,136,3,3,140,192,12,66,83,83,315,16,9,1,0,0,917,2,86,1005,1956
1,10,DURANGO,1,DURANGO,5,DURANGO,137,4,4,481,383,23,64,72,167,389,62,8,1,0,0,1650,0,85,1735,2766
1,10,DURANGO,1,DURANGO,5,DURANGO,138,4,4,416,340,11,49,55,111,269,46,17,2,2,0,1318,0,63,1381,2144
1,10,DURANGO,1,DURANGO,5,DURANGO,139,2,2,290,226,17,32,37,87,191,27,4,0,0,0,911,0,31,942,1370
1,10,DURANGO,1,DURANGO,5,DURANGO,140,2,2,171,158,6,38,67,61,168,23,7,0,0,0,699,0,49,748,1426
1,10,DURANGO,1,DURANGO,5,DURANGO,141,2,2,256,170,7,30,48,73,164,26,7,1,1,0,783,0,35,818,1336
1,10,DURANGO,1,DURANGO,5,DURANGO,142,2,2,445,270,8,27,25,65,130,34,14,0,0,0,1018,0,24,1042,1497
1,10,DURANGO,1,DURANGO,5,DURANGO,152,2,2,427,253,9,26,22,66,128,40,3,0,0,0,974,1,19,994,1465
1,10,DURANGO,1,DURANGO,5,DURANGO,153,1,1,100,106,6,24,25,46,104,13,4,0,1,0,429,0,22,451,689
1,10,DURANGO,1,DURANGO,5,DURANGO,154,2,2,157,152,11,41,43,70,188,13,8,0,0,0,683,0,60,743,1374
1,10,DURANGO,1,DURANGO,5,DURANGO,155,3,3,241,246,11,57,80,135,257,29,10,0,1,0,1067,2,47,1116,1964
1,10,DURANGO,1,DURANGO,5,DURANGO,156,2,2,123,158,19,32,55,38,192,19,12,0,0,0,648,2,64,714,1349
1,10,DURANGO,1,DURANGO,5,DURANGO,157,3,3,202,171,13,60,67,105,282,23,8,0,0,0,931,0,53,984,1672
1,10,DURANGO,1,DURANGO,5,DURANGO,158,2,2,112,86,5,26,33,37,139,5,1,2,0,0,446,0,24,470,779
1,10,DURANGO,1,DURANGO,5,DURANGO,159,2,2,114,119,5,37,33,58,193,11,6,0,0,0,576,0,53,629,1147
1,10,DURANGO,1,DURANGO,5,DURANGO,160,2,2,108,66,5,22,26,33,118,15,2,0,0,0,395,0,28,423,789
1,10,DURANGO,1,DURANGO,5,DURANGO,161,3,3,136,192,8,43,45,64,296,20,7,2,0,0,813,0,59,872,1653
1,10,DURANGO,1,DURANGO,5,DURANGO,171,4,4,176,223,13,71,60,128,335,15,3,2,0,0,1026,0,77,1103,1789
1,10,DURANGO,1,DURANGO,5,DURANGO,172,2,2,152,153,15,37,45,73,169,19,11,1,0,0,675,0,48,723,1193
1,10,DURANGO,1,DURANGO,5,DURANGO,173,2,2,126,106,5,16,38,31,120,11,6,0,0,0,459,0,20,479,727
1,10,DURANGO,1,DURANGO,5,DURANGO,303,5,5,225,386,16,66,64,121,518,28,12,2,0,0,1438,0,104,1542,3224
1,10,DURANGO,1,DURANGO,5,DURANGO,305,2,2,99,106,3,28,22,37,128,6,4,0,0,0,433,1,20,454,782
1,10,DURANGO,1,DURANGO,5,DURANGO,357,2,2,139,110,33,9,10,13,118,7,1,1,0,0,441,0,20,461,812
1,10,DURANGO,1,DURANGO,5,DURANGO,361,3,3,361,141,48,20,27,18,166,9,8,0,0,0,798,0,39,837,1537
1,10,DURANGO,1,DURANGO,5,DURANGO,371,3,3,203,123,29,53,79,71,279,12,4,0,0,0,853,2,75,930,1933
1,10,DURANGO,1,DURANGO,5,DURANGO,372,2,2,99,113,27,21,24,26,152,10,0,0,0,0,472,0,23,495,871
1,10,DURANGO,1,DURANGO,5,DURANGO,1448,1,1,31,23,3,15,11,12,64,5,0,0,0,0,164,0,15,179,386
1,10,DURANGO,1,DURANGO,5,DURANGO,1449,3,3,364,279,13,68,60,143,210,37,1,0,0,0,1175,0,35,1210,2078
1,10,DURANGO,1,DURANGO,5,DURANGO,1450,4,4,519,374,15,67,90,174,385,47,15,2,0,0,1688,0,38,1726,2603
1,10,DURANGO,1,DURANGO,5,DURANGO,1451,4,4,892,478,28,66,55,185,273,61,13,2,1,0,2054,1,51,2106,2929
1,10,DURANGO,2,DURANGO,5,DURANGO,0,0,1,0,1,1,0,0,0,5,0,0,0,0,0,7,0,1,8,8
1,10,DURANGO,2,DURANGO,5,DURANGO,109,7,7,314,434,23,125,125,294,779,43,12,0,2,30,2181,0,109,2290,4862
1,10,DURANGO,2,DURANGO,5,DURANGO,111,12,12,630,875,51,233,287,545,1492,94,21,4,4,47,4283,1,227,4511,8592
1,10,DURANGO,2,DURANGO,5,DURANGO,112,3,3,236,216,11,63,51,139,267,25,8,0,0,5,1021,1,47,1069,1670
1,10,DURANGO,2,DURANGO,5,DURANGO,113,2,2,86,160,9,26,34,63,164,19,10,0,0,7,578,0,26,604,932
1,10,DURANGO,2,DURANGO,5,DURANGO,114,2,2,100,162,16,34,63,79,244,6,5,1,0,6,716,0,32,748,1291
1,10,DURANGO,2,DURANGO,5,DURANGO,115,2,2,128,154,13,29,27,59,159,24,4,0,2,3,602,1,23,626,887
1,10,DURANGO,2,DURANGO,5,DURANGO,116,2,2,118,161,3,18,16,50,123,20,2,0,0,2,513,0,17,530,823
1,10,DURANGO,2,DURANGO,5,DURANGO,117,2,2,116,198,7,28,32,59,201,21,4,0,0,2,668,0,32,700,1139
1,10,DURANGO,2,DURANGO,5,DURANGO,143,2,2,182,177,11,49,25,74,143,21,1,0,0,4,687,0,20,707,999
1,10,DURANGO,2,DURANGO,5,DURANGO,144,2,2,192,193,9,32,28,96,149,13,8,1,0,4,725,0,15,740,1034
1,10,DURANGO,2,DURANGO,5,DURANGO,145,3,3,189,203,11,58,32,111,270,26,9,1,0,9,919,0,45,964,1566
1,10,DURANGO,2,DURANGO,5,DURANGO,146,4,4,419,373,26,120,75,195,414,67,11,0,1,11,1712,0,70,1782,2698
1,10,DURANGO,2,DURANGO,5,DURANGO,147,6,6,435,529,43,138,116,304,557,48,16,0,0,18,2204,0,85,2289,3829
1,10,DURANGO,2,DURANGO,5,DURANGO,149,2,2,159,166,13,41,29,78,175,21,5,0,0,7,694,0,34,728,1068
1,10,DURANGO,2,DURANGO,5,DURANGO,150,2,2,110,128,12,43,85,62,191,16,2,0,0,7,656,0,55,711,1321
1,10,DURANGO,2,DURANGO,5,DURANGO,151,2,2,153,195,10,40,36,78,148,15,6,0,0,4,685,0,42,727,1137
1,10,DURANGO,2,DURANGO,5,DURANGO,174,2,2,88,118,2,25,27,52,105,14,2,0,0,1,434,1,21,456,799
1,10,DURANGO,2,DURANGO,5,DURANGO,175,2,2,91,116,2,23,26,53,133,9,2,0,0,8,463,0,32,495,875
1,10,DURANGO,2,DURANGO,5,DURANGO,176,2,2,82,196,4,19,84,59,175,19,6,1,1,7,653,1,51,705,1461
1,10,DURANGO,2,DURANGO,5,DURANGO,177,2,2,47,85,13,38,63,35,198,10,1,0,1,13,504,0,33,537,1171
1,10,DURANGO,2,DURANGO,5,DURANGO,178,2,2,39,110,4,53,109,54,226,5,1,1,0,6,608,0,45,653,1349
1,10,DURANGO,2,DURANGO,5,DURANGO,179,2,2,38,119,3,19,67,50,195,9,3,1,0,6,510,1,52,563,1098
1,10,DURANGO,2,DURANGO,5,DURANGO,180,2,2,57,117,10,36,78,49,168,6,5,0,0,2,528,0,35,563,1207
1,10,DURANGO,2,DURANGO,5,DURANGO,181,2,2,183,211,17,41,29,115,209,24,9,1,1,6,846,0,38,884,1347
1,10,DURANGO,2,DURANGO,5,DURANGO,304,4,4,368,420,22,105,85,214,483,40,14,0,4,10,1765,1,70,1836,2788
1,10,DURANGO,2,DURANGO,5,DURANGO,1394,2,2,105,157,5,27,55,87,216,9,4,0,0,4,669,0,35,704,1418
1,10,DURANGO,2,DURANGO,5,DURANGO,1395,2,2,72,117,8,26,47,93,266,9,1,1,0,8,648,0,34,682,1330
1,10,DURANGO,2,DURANGO,5,DURANGO,1396,2,2,79,100,3,31,32,77,183,9,2,0,1,4,521,0,25,546,1133
1,10,DURANGO,2,DURANGO,5,DURANGO,1397,2,2,89,109,8,28,40,89,227,9,3,2,0,8,612,0,25,637,1362
1,10,DURANGO,2,DURANGO,5,DURANGO,1398,2,2,100,102,6,34,38,79,174,7,6,0,0,6,552,0,30,582,987
1,10,DURANGO,2,DURANGO,5,DURANGO,1399,2,2,72,81,4,29,22,99,158,7,1,0,0,3,476,0,22,498,933
1,10,DURANGO,2,DURANGO,5,DURANGO,1400,3,3,103,113,17,51,44,113,287,22,2,0,4,7,763,0,28,791,1624
1,10,DURANGO,2,DURANGO,5,DURANGO,1401,2,2,78,84,10,31,36,76,199,15,2,1,0,6,538,0,39,577,1183
1,10,DURANGO,2,DURANGO,5,DURANGO,1402,2,2,78,99,2,23,33,67,196,16,3,0,1,5,523,0,30,553,963
1,10,DURANGO,2,DURANGO,5,DURANGO,1403,2,2,84,108,8,34,40,91,183,8,1,0,0,12,569,0,32,601,1037
1,10,DURANGO,2,DURANGO,5,DURANGO,1404,2,2,110,120,14,44,46,116,201,9,1,0,0,7,668,1,24,693,1274
1,10,DURANGO,2,DURANGO,5,DURANGO,1405,2,2,75,88,5,23,34,47,166,9,2,0,0,2,451,0,25,476,872
1,10,DURANGO,2,DURANGO,5,DURANGO,1406,2,2,84,151,13,34,37,92,210,13,7,0,0,7,648,1,36,685,1242
1,10,DURANGO,2,DURANGO,5,DURANGO,1407,2,2,97,142,12,39,25,83,180,16,5,0,0,2,601,1,35,637,1123
1,10,DURANGO,2,DURANGO,5,DURANGO,1408,2,2,78,82,3,25,29,91,133,2,4,0,0,1,448,0,16,464,827
1,10,DURANGO,2,DURANGO,5,DURANGO,1409,2,2,107,139,7,36,56,92,199,17,3,0,1,6,663,2,26,691,1251
1,10,DURANGO,2,DURANGO,5,DURANGO,1410,2,2,66,98,1,23,26,89,145,10,1,0,0,1,460,0,19,479,887
1,10,DURANGO,2,DURANGO,5,DURANGO,1411,2,2,67,86,15,49,25,60,177,9,2,0,0,2,492,0,22,514,1032
1,10,DURANGO,2,DURANGO,5,DURANGO,1412,3,3,102,128,12,35,53,80,313,13,2,0,0,6,744,0,50,794,1757
1,10,DURANGO,2,DURANGO,5,DURANGO,1413,2,2,80,110,29,32,23,58,213,8,6,1,0,3,563,0,39,602,1024
1,10,DURANGO,2,DURANGO,5,DURANGO,1414,2,2,65,84,11,17,24,67,192,2,2,0,0,2,466,1,15,482,781
1,10,DURANGO,2,DURANGO,5,DURANGO,1415,1,1,34,48,2,16,15,28,81,7,4,0,0,1,236,0,15,251,535
1,10,DURANGO,2,DURANGO,5,DURANGO,1465,3,3,223,239,14,59,49,151,320,22,7,0,0,7,1091,7,40,1138,1946
1,10,DURANGO,2,DURANGO,5,DURANGO,1466,4,4,302,346,27,102,76,196,486,42,15,0,0,14,1606,1,73,1680,2764
1,10,DURANGO,2,DURANGO,5,DURANGO,1467,4,4,214,307,28,76,65,168,438,28,7,0,0,10,1341,1,58,1400,2842
1,10,DURANGO,2,DURANGO,5,DURANGO,1468,5,5,277,355,14,87,76,231,504,27,6,0,0,11,1588,1,61,1650,3041
1,10,DURANGO,2,DURANGO,5,DURANGO,1469,4,4,136,208,15,71,81,128,367,21,6,0,0,5,1038,0,60,1098,2497
1,10,DURANGO,3,DURANGO,5,DURANGO,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,2
1,10,DURANGO,3,DURANGO,5,DURANGO,219,5,5,215,337,19,72,83,231,603,25,5,2,0,0,1592,0,79,1671,3335
1,10,DURANGO,3,DURANGO,5,DURANGO,253,11,11,368,659,32,187,207,364,1152,55,20,0,0,0,3044,1,201,3246,8019
1,10,DURANGO,3,DURANGO,5,DURANGO,278,3,3,79,172,12,35,62,47,206,13,15,2,2,0,645,1,79,725,1627
1,10,DURANGO,3,DURANGO,5,DURANGO,295,2,2,140,197,14,29,40,107,205,13,1,0,0,0,746,0,37,783,1214
1,10,DURANGO,3,DURANGO,5,DURANGO,296,4,4,342,353,19,54,65,158,357,40,14,0,1,0,1403,2,59,1464,2317
1,10,DURANGO,3,DURANGO,5,DURANGO,297,2,2,220,195,11,40,33,106,190,18,13,1,1,0,828,1,21,850,1362
1,10,DURANGO,3,DURANGO,5,DURANGO,298,9,9,633,882,86,153,163,430,964,75,18,0,2,0,3406,4,134,3544,6239
1,10,DURANGO,3,DURANGO,5,DURANGO,354,2,2,37,100,7,19,20,13,156,7,6,0,2,0,367,0,36,403,973
1,10,DURANGO,3,DURANGO,5,DURANGO,355,2,2,43,150,7,24,57,20,181,8,11,0,0,0,501,0,44,545,1069
