ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,DURANGO,43,134,138,11256,10608,1023,2340,2872,4138,12370,44607,21,2571,47199,84253,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/1//Acta_de_computo_distrital_RP.pdf
10,DURANGO,2,DURANGO,52,140,141,8008,10093,985,2705,2756,5615,13975,44137,23,2171,46331,83616,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_II//02_Acta_de_Computo_Distrital_RP.pdf
10,DURANGO,3,DURANGO,37,121,122,5479,8500,780,1792,2460,3401,11331,33743,18,2194,35955,76956,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_III/03_Acta_de_Computo_Distrital_RP.pdf
10,DURANGO,4,DURANGO,69,151,153,7245,12168,954,1887,2980,3608,14386,43228,34,2777,46039,86817,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_IV//04_Acta_de_computo_distrital_RP.pdf
10,DURANGO,5,DURANGO,93,173,176,12577,12028,1033,2012,2387,13785,15228,59050,43,2888,61981,100397,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_V//Acta_de_computo_RP.pdf
10,DURANGO,6,DURANGO,43,142,143,9558,9835,821,1489,2345,3390,17365,44803,22,2539,47364,87547,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Durango/Distrito_VI//06_Acta_de_computo_distrital_RP.pdf
10,DURANGO,7,SANTIAGO PAPASQUIARO,198,264,266,13423,8491,912,2943,1103,891,23446,51209,24,2563,53796,104904,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Santiago_Papasquiaro//Acta_de_Computo_Distrital_de_RP.pdf
10,DURANGO,8,GUADALUPE VICTORIA,153,243,246,7027,12114,2953,5132,1624,2777,21943,53570,28,3506,57104,113370,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Guadalupe_Victoria//Acta_de_Computo_Distrital_de_RP.pdf
10,DURANGO,9,MAPIMI,182,254,257,5774,12829,3197,2270,2701,1727,25030,53528,42,3605,57175,105350,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Mapimi//Acta_de_computo_distrital_RP.pdf
10,DURANGO,10,GOMEZ PALACIO,52,120,121,1863,10091,586,1363,1434,1827,19813,36977,9,2334,39320,72086,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_X//Acta_de_Computo_Distrital_dl_RP_Distrito_X.pdf
10,DURANGO,11,GOMEZ PALACIO,84,183,186,6376,15582,966,1935,3106,7367,22845,58177,40,2902,61119,104960,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XI//Acta_de_COmputo_Distrital_de_RP.pdf
10,DURANGO,12,GOMEZ PALACIO,75,169,171,5776,13961,860,1881,1826,5321,24679,54304,26,3051,57381,99722,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Gomez_Palacio/Distrito_XII//Acta_de_Computo_Distrital_de_RP.pdf
10,DURANGO,13,LERDO,65,163,165,6256,18375,958,2388,1645,2382,23682,55686,30,3014,58730,98440,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/13//Acta_de_Computo_Distrital_RP.pdf
10,DURANGO,14,CUENCAME,130,209,211,4928,8660,3903,5684,4148,2457,20480,50260,56,3243,53559,100666,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/140624/14//Acta_de_computo_distrital_RP.pdf
10,DURANGO,15,PUEBLO NUEVO,84,152,153,2559,15911,901,1731,2279,810,19038,43229,73,2555,45857,78519,https://www.iepcdurango.mx/IEPC_DURANGO/documentos/2024/organizacion/actas/Pueblo_Nuevo//Acta_de_Computo_Distrital_de_RP.pdf
