CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
1,10,DURANGO,1,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,ALEJANDRO MOJICA NARVAEZ,1,,,PAN
1,10,DURANGO,2,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,SUGHEY ADRIANA TORRES RODRIGUEZ,2,,,PRI
1,10,DURANGO,3,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,NOEL FERNANDEZ MATURINO,1,,,PRI
1,10,DURANGO,4,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,CELIA DANIELA SOTO HERNANDEZ,2,,,PRI
1,10,DURANGO,5,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,FERNANDO ROCHA AMARO,1,,,PAN
1,10,DURANGO,6,DURANGO,5,DURANGO,,,DIP_LOC_MR,PAN_PRI_PRD,1,GABRIELA VAZQUEZ CHACON,2,,,PAN
1,10,DURANGO,7,SANTIAGO PAPASQUIARO,33,SANTIAGO PAPASQUIARO,,,DIP_LOC_MR,PVEM_MORENA,1,HECTOR HERRERA NUÑEZ,1,,,PVEM
1,10,DURANGO,8,GUADALUPE VICTORIA,8,GUADALUPE VICTORIA,,,DIP_LOC_MR,PVEM_MORENA,1,SANDRA LILIA AMAYA ROSALES,2,,,PVEM
1,10,DURANGO,9,MAPIMI,13,MAPIMI,,,DIP_LOC_MR,PVEM_MORENA,1,GEORGINA SOLORIO GARCIA,2,,,MORENA
1,10,DURANGO,10,GOMEZ PALACIO,7,GOMEZ PALACIO,,,DIP_LOC_MR,PVEM_MORENA,1,ALBERTO ALEJANDRO MATA VALADEZ,1,,,MORENA
1,10,DURANGO,11,GOMEZ PALACIO,7,GOMEZ PALACIO,,,DIP_LOC_MR,PVEM_MORENA,1,OCTAVIO ULISES ADAME DE LA FUENTE,1,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
1,10,DURANGO,12,GOMEZ PALACIO,7,GOMEZ PALACIO,,,DIP_LOC_MR,PVEM_MORENA,1,NADIA MONSERRAT MILAN RAMIREZ,2,,,MORENA
1,10,DURANGO,13,LERDO,12,LERDO,,,DIP_LOC_MR,PVEM_MORENA,1,FLORA ISELA LEAL MENDEZ,2,,,MORENA
1,10,DURANGO,14,CUENCAME,4,CUENCAME,,,DIP_LOC_MR,PVEM_MORENA,1,JOSE OSBALDO SANTILLAN GOMEZ,1,,,PVEM
1,10,DURANGO,15,PUEBLO NUEVO,24,PUEBLO NUEVO,,,DIP_LOC_MR,PAN_PRI_PRD,1,IVAN SOTO MENDIA,1,CANDIDATURAS INDIGENAS,,PRI
1,10,DURANGO,,,,,,,DIP_LOC_RP,PAN,1,VERONICA GONZALEZ OLGUIN,2,,,PAN
1,10,DURANGO,,,,,,,DIP_LOC_RP,PAN,2,JULIAN CESAR RIVAS NEVAREZ,1,,,PAN
1,10,DURANGO,,,,,,,DIP_LOC_RP,PRI,1,MARIA DEL ROCIO REBOLLO MENDOZA,2,,,PRI
1,10,DURANGO,,,,,,,DIP_LOC_RP,PRI,2,SUSY CAROLINA TORRECILLAS SALAZAR,2,,,PRI
1,10,DURANGO,,,,,,,DIP_LOC_RP,PRI,3,ERNESTO ABEL ALANIS HERRERA,1,,,PRI
1,10,DURANGO,,,,,,,DIP_LOC_RP,MC,1,MARTIN VIVANCO LIRA,1,,,MC
1,10,DURANGO,,,,,,,DIP_LOC_RP,MORENA,1,OTNIEL GARCIA NAVARRO,1,,,MORENA
1,10,DURANGO,,,,,,,DIP_LOC_RP,MORENA,2,BERNABE AGUILAR CARRILLO,1,CANDIDATURAS INDIGENAS,,MORENA
1,10,DURANGO,,,,,,,DIP_LOC_RP,MORENA,3,DELIA LETICIA ENRIQUEZ ARRIAGA,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
1,10,DURANGO,,,,,,,DIP_LOC_RP,MORENA,4,CYNTHIA MONTSERRAT HERNANDEZ QUIÑONES,2,,,MORENA
