ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,398,1031,1032,11626,18373,9765,16204,7814,46631,127512,3314,5401,1220,23744,1846,3155,3603,882,2076,293,187,236,9196,1666,1411,2808,298963,328,11878,311169,600515,
12,GUERRERO,2,AHUACUOTZINGO,27,41,42,,491,6131,1638,2103,1738,367,,,,,,,62,32,,,,,,,,,12562,8,526,13096,19937,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,59,112,10924,415,121,472,,3659,,,,,193,25,,,138,18,1,34,,,,,16112,6,747,16865,26790,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,30,30,,667,2024,208,1445,21,475,129,,,,96,,3547,,,,,,74,44,31,3,8764,0,665,9428,15357,
12,GUERRERO,5,ALPOYECA,5,10,10,10,12,5,1532,48,,549,,,,534,16,8,1039,,0,1,0,0,,,,,3754,0,208,3962,5733,
12,GUERRERO,6,APAXTLA,15,19,19,1399,29,24,34,2115,523,386,,,,,24,,,,,,,,,,,,4534,0,258,4792,7950,
12,GUERRERO,7,ARCELIA,44,61,61,127,11281,135,142,82,253,1541,,,,,,,29,,81,24,4,26,75,16,12,23,13851,0,584,14432,23969,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,15,8,38,44,19,2409,,1960,,,,,6,4,18,,0,1,0,0,,,,,4507,1,117,4625,6902,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,12,5,6,627,12,1459,,984,,,,6,,,19,,,,,,,,,,3118,0,128,3246,4631,
12,GUERRERO,10,ATLIXTAC,22,48,48,51,175,3235,6204,212,126,1385,,,37,,74,,,,9,3,9,9,,,,,11529,0,756,12285,19714,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,99,,7087,417,834,846,486,9512,,,39,2567,192,109,456,581,,,,,,,,,23126,30,1641,24797,46044,
12,GUERRERO,13,AZOYU,17,23,23,350,3113,164,79,63,25,3100,,,184,,21,91,,,70,14,0,20,52,4,19,24,7393,0,302,7695,11033,
