ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PT_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,398,1031,1032,,,,,,46631,,3314,5401,1220,23744,1846,3155,3603,882,42556,166611,298963,328,11878,311169,600515,
12,GUERRERO,2,AHUACUOTZINGO,27,41,42,,491,6131,1638,2103,1738,367,,,,,,,62,32,,,12562,8,526,13096,19937,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,59,,,,121,472,,3659,,,,,193,25,,,11642,,16112,6,747,16865,26790,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,30,30,,667,2024,,,21,,129,,,,96,,3547,,,2280,8764,0,665,9428,15357,
12,GUERRERO,5,ALPOYECA,5,10,10,,,,1532,48,,549,,,,534,16,8,1039,,28,,3754,0,208,3962,5733,
12,GUERRERO,6,APAXTLA,15,19,19,1399,29,24,34,2115,523,386,,,,,24,,,,,,4534,0,258,4792,7950,
12,GUERRERO,7,ARCELIA,44,61,61,,,,,,253,,,,,,,,29,,11675,1891,13848,0,584,14432,23969,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,15,,,,19,2409,,1960,,,,,6,4,18,,91,,4507,1,117,4625,6902,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,12,5,6,627,12,1459,,984,,,,6,,,19,,,,3118,0,128,3246,4631,
12,GUERRERO,10,ATLIXTAC,22,48,48,,,,6204,212,126,1385,,,37,,74,,,,3491,,11529,0,756,12285,19714,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,99,,7087,417,834,846,486,9512,,,39,2567,192,109,456,581,,,23126,30,1641,24797,46044,
12,GUERRERO,13,AZOYU,17,23,23,,,,,,25,,,,184,,21,91,,,3731,3341,7393,0,302,7695,11033,
12,GUERRERO,14,BENITO JUAREZ,15,25,26,,,,387,3717,286,2845,,,,220,,18,,,976,,8449,0,320,8769,12424,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,21,629,46,22,1050,1834,254,465,20,,,17,6,741,1600,,,,6684,1,240,6925,10509,
