ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,398,1031,1032,12558,19330,10668,21506,12417,46631,132688,3314,5401,1220,23744,1846,3155,3603,882,298963,328,11878,311169,600515,
12,GUERRERO,2,AHUACUOTZINGO,27,41,42,,491,6131,1638,2103,1738,367,,,,,,,62,32,12562,8,526,13096,19937,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,59,167,10996,479,121,472,,3659,,,,,193,25,,,16112,6,747,16865,26790,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,30,30,,667,2024,255,1508,21,517,129,,,,96,,3547,,8764,0,665,9428,15357,
12,GUERRERO,5,ALPOYECA,5,10,10,10,13,5,1532,48,,549,,,,534,16,8,1039,,3754,0,208,3962,5733,
12,GUERRERO,6,APAXTLA,15,19,19,1399,29,24,34,2115,523,386,,,,,24,,,,4534,0,258,4792,7950,
12,GUERRERO,7,ARCELIA,44,61,61,168,11333,174,186,121,253,1584,,,,,,,29,,13848,0,584,14432,23969,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,15,8,39,44,19,2409,,1960,,,,,6,4,18,,4507,1,117,4625,6902,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,12,5,6,627,12,1459,,984,,,,6,,,19,,3118,0,128,3246,4631,
12,GUERRERO,10,ATLIXTAC,22,48,48,59,184,3248,6204,212,126,1385,,,37,,74,,,,11529,0,756,12285,19714,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,99,,7087,417,834,846,486,9512,,,39,2567,192,109,456,581,23126,30,1641,24797,46044,
12,GUERRERO,13,AZOYU,17,23,23,380,3154,197,110,91,25,3140,,,184,,21,91,,,7393,0,302,7695,11033,
12,GUERRERO,14,BENITO JUAREZ,15,25,26,397,347,232,387,3717,286,2845,,,,220,,18,,,8449,0,320,8769,12424,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,21,629,46,22,1050,1834,254,465,20,,,17,6,741,1600,,6684,1,240,6925,10509,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,32,32,,19,918,184,24,,3607,,32,,,,,,,4784,13,84,4881,8716,
12,GUERRERO,17,COCULA,23,27,28,142,4342,477,116,165,49,2971,,,,,11,9,,,8282,0,219,8501,12483,
