CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,13,13,189,793,631,141,117,358,1531,16,0,22,34,47,31,42,14,104,8,5,11,80,10,9,21,4214,3,170,4387,9253
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,4,4,45,191,150,30,37,102,418,2,0,8,13,16,18,15,8,22,1,4,1,22,5,6,8,1122,1,44,1167,2557
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1206,3,3,40,164,122,32,48,82,300,0,0,4,7,14,4,8,3,6,0,1,5,13,5,4,4,866,1,39,906,1691
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1209,2,2,14,82,76,37,16,40,239,3,0,2,3,9,3,5,0,9,1,0,2,7,5,2,6,561,0,20,581,1223
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,5,5,62,240,163,56,39,119,546,6,0,3,3,14,12,17,9,27,2,3,5,26,5,7,11,1375,0,68,1443,3045
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,4,4,41,205,199,39,48,83,544,7,0,2,9,16,2,14,5,23,1,0,5,27,4,4,4,1282,0,56,1338,2743
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,4,4,78,266,261,60,36,143,559,5,0,10,3,9,14,21,10,34,3,5,3,29,2,4,6,1561,1,49,1611,2998
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1214,3,3,46,219,112,27,19,94,380,5,0,3,3,1,4,11,6,29,0,0,2,21,12,3,4,1001,4,41,1046,1809
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1215,3,3,45,189,125,20,14,72,259,5,0,6,3,2,2,5,0,30,4,0,2,14,1,5,7,810,1,17,828,1155
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,4,4,74,296,160,35,28,104,411,2,0,6,7,3,2,11,6,22,4,0,4,18,2,2,4,1201,3,23,1227,2156
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1217,3,3,55,175,165,42,34,112,422,6,0,1,7,14,8,20,8,20,2,1,1,22,5,11,10,1141,1,38,1180,2246
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1219,2,2,42,137,109,22,19,69,314,2,0,1,3,11,3,16,4,16,3,0,1,17,2,3,3,797,0,25,822,1422
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1220,2,2,56,179,116,21,11,84,316,3,0,4,5,2,8,5,4,23,1,0,3,10,1,2,2,856,1,25,882,1464
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,4,4,39,239,164,47,40,97,477,4,0,2,8,13,8,23,3,19,0,1,1,20,3,4,8,1220,0,40,1260,2890
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,4,4,55,220,177,51,35,107,438,4,0,1,7,13,3,23,4,41,4,2,8,35,11,3,9,1251,0,60,1311,2742
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1223,2,2,37,129,92,28,13,56,229,4,0,1,4,1,0,8,3,18,1,1,6,22,2,4,4,663,1,26,690,1336
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1224,2,2,25,113,67,19,9,46,157,3,0,2,2,1,2,6,2,8,0,1,0,11,1,1,1,477,0,14,491,857
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1225,3,3,58,145,119,19,10,67,190,0,0,0,2,2,0,4,9,19,1,3,2,7,2,2,4,665,0,20,685,1069
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1226,3,3,49,212,165,19,19,69,343,1,0,7,6,5,0,11,1,18,0,1,2,20,0,2,2,952,0,24,976,1569
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1227,3,3,63,265,175,23,34,91,494,3,0,2,4,6,4,10,12,26,2,1,5,13,3,1,21,1258,1,37,1296,2214
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1230,2,2,64,165,106,25,13,82,257,1,0,1,2,2,4,4,1,19,1,1,0,9,0,3,6,766,1,23,790,1196
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1231,2,2,45,176,87,13,16,56,186,1,0,3,0,0,11,7,4,15,0,1,0,6,0,1,1,629,0,11,640,909
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1232,3,3,51,198,180,32,31,83,393,9,0,2,7,8,7,14,2,24,1,1,1,14,8,3,6,1075,1,29,1105,2120
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1233,2,2,19,56,73,23,12,32,137,1,0,0,4,1,3,17,1,8,0,0,1,3,2,1,4,398,0,17,415,844
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1234,3,3,42,130,116,31,18,98,336,5,0,1,4,5,6,13,2,13,2,1,1,19,5,3,3,854,0,26,880,1737
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1235,3,3,33,146,109,33,24,69,351,3,0,7,4,1,7,14,3,14,0,1,2,13,2,1,1,838,0,28,866,1574
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1236,2,2,31,132,87,14,12,65,226,1,0,0,0,2,1,0,4,20,2,1,1,16,2,0,1,618,2,20,640,1161
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1237,4,4,76,237,252,28,29,114,270,6,0,2,2,4,8,6,2,36,1,0,1,13,1,3,2,1093,2,22,1117,1701
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1238,3,3,86,205,135,11,18,80,303,1,0,3,7,2,5,5,1,23,4,4,2,20,0,4,4,923,2,35,960,1672
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1239,2,2,34,143,104,8,10,66,197,2,0,4,4,2,2,8,0,25,0,0,3,6,0,2,1,621,0,20,641,1059
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1250,2,2,33,161,103,21,17,62,269,3,0,3,3,1,2,1,2,22,2,0,0,21,1,3,4,734,1,22,757,1267
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1251,2,2,82,187,131,23,14,99,280,1,0,1,5,2,2,8,7,23,3,1,2,9,0,1,3,884,0,21,905,1493
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1252,4,4,43,175,180,59,22,104,362,3,0,5,7,16,7,11,2,18,3,2,6,19,5,3,5,1057,0,49,1106,2575
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1253,1,1,11,10,12,2,4,14,21,0,0,1,1,0,1,1,0,6,1,1,0,2,0,0,0,88,0,3,91,256
