ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO,60,181,182,2629,5991,3063,2435,1680,7964,22327,204,394,873,1089,717,811,780,289,639,64,23,71,1084,212,191,296,53826,104,2933,56863,109131,
12,GUERRERO,2,CHILPANCINGO,51,161,162,2071,9109,5668,2291,1348,6119,19484,177,265,282,1711,617,353,503,227,809,81,38,125,913,175,153,272,52791,109,2556,55456,101285,
12,GUERRERO,3,ACAPULCO,69,170,172,4071,4884,1386,4049,2004,4965,25380,203,625,207,1849,323,597,558,149,10341,79,20,30,31433,225,211,380,93969,107,2028,96114,95914,
12,GUERRERO,4,ACAPULCO,79,166,167,2244,3464,1132,2324,1381,4589,26377,215,615,251,1487,421,551,930,357,374,52,15,17,1529,189,186,347,49047,61,1955,51063,91192,
12,GUERRERO,5,ACAPULCO,63,162,163,903,1933,779,3683,1377,4411,24822,763,473,184,1591,361,496,585,212,225,31,14,46,1578,315,250,599,45631,44,2174,47849,96500,
12,GUERRERO,6,ACAPULCO,65,169,170,2069,1908,791,2904,1379,2863,28793,173,709,159,1568,852,480,672,197,237,44,11,9,1943,352,254,520,48887,41,2324,51252,100398,
12,GUERRERO,7,ACAPULCO,38,155,156,1521,2476,647,2249,1785,3980,24632,214,1406,197,1260,338,355,452,0,243,39,14,14,1479,229,232,425,44187,24,1984,46397,96432,
12,GUERRERO,8,ACAPULCO,80,152,154,647,4732,2504,2227,2072,1425,21277,69,424,69,431,328,685,575,115,352,39,21,64,1046,296,220,326,39944,27,1827,41798,85036,
12,GUERRERO,9,ACAPULCO,63,156,158,599,1776,660,9179,1709,1811,20092,163,2343,111,608,256,380,372,0,155,24,4,22,,,,,40264,11,4279,44698,89437,
12,GUERRERO,10,TECPAN DE GALEANA,119,186,187,827,5855,3377,3013,3295,2555,25420,52,297,95,1517,240,192,653,359,269,24,18,58,743,209,144,243,49455,20,2455,51930,92089,
12,GUERRERO,11,PETATLAN,109,190,191,636,6480,2050,2015,1513,1541,31389,42,121,0,298,406,542,134,124,428,56,12,50,,,,,47837,41,3146,51063,93455,
12,GUERRERO,12,ZIHUATANEJO,101,182,183,732,7738,8736,2002,922,1337,24808,57,107,0,312,514,417,94,246,355,47,21,111,708,160,144,240,49808,19,1922,51749,86884,
12,GUERRERO,13,SAN MARCOS,111,176,176,3404,5842,3064,9991,1255,13959,12171,91,141,67,104,430,53,183,77,369,50,47,69,667,252,61,399,52746,4,23313,76053,89215,
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,196,197,615,1258,14471,9772,2909,1547,12235,84,178,45,690,646,275,292,287,167,14,27,79,295,131,65,162,46244,25,2530,48799,86228,
12,GUERRERO,15,CRUZ GRANDE,113,173,174,2425,6048,2687,8633,8708,1426,17326,732,154,1641,1624,197,0,886,0,149,37,22,38,,,,,52733,1,3513,56247,85139,
12,GUERRERO,16,OMETEPEC,80,183,183,508,20420,1444,7471,2448,1037,27036,71,381,0,173,249,168,1149,919,311,52,14,75,425,144,115,169,64779,6,3055,67906,98084,
