ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO,60,181,182,2885,6272,3323,3050,2242,7964,22933,204,394,873,1089,717,811,780,289,53826,104,2933,56863,109131,
12,GUERRERO,2,CHILPANCINGO,51,161,162,2399,9483,6019,2819,1815,6119,20002,177,265,282,1711,617,353,503,227,52791,109,2556,55456,101285,
12,GUERRERO,3,ACAPULCO,69,170,172,4071,4884,1386,4049,2004,4965,25380,213,625,207,1849,323,597,558,149,51260,107,2028,53395,95914,
12,GUERRERO,4,ACAPULCO,79,166,167,2403,3624,1271,3102,2077,4589,27154,215,615,251,1487,421,551,930,357,49047,61,1955,51063,91192,
12,GUERRERO,5,ACAPULCO,63,162,163,1000,2047,884,4666,2185,4411,25773,763,473,184,1591,361,496,585,212,45631,44,2174,47849,96500,
12,GUERRERO,6,ACAPULCO,65,169,170,2176,2014,879,3988,2329,2863,29828,173,709,159,1568,852,480,672,197,48887,41,2324,51252,100398,
12,GUERRERO,7,ACAPULCO,38,155,156,1652,2617,746,3081,2512,4015,25612,214,1412,197,1260,338,355,452,0,44463,24,1984,46397,96432,
12,GUERRERO,8,ACAPULCO,80,152,154,793,4902,2664,2887,2678,1425,21899,69,424,69,431,328,685,575,115,39944,27,1827,41798,85036,
12,GUERRERO,9,ACAPULCO,63,156,158,664,1851,725,9179,1709,1811,20092,163,2343,111,608,256,380,372,0,40264,11,4279,44698,89437,
12,GUERRERO,10,TECPAN DE GALEANA,119,186,187,937,5986,3505,3485,3720,2555,25862,52,297,95,1517,240,192,653,359,49455,20,2455,51930,92089,
12,GUERRERO,11,PETATLAN,109,190,191,812,6676,2224,2015,1513,1541,31389,42,121,0,298,406,542,134,124,47837,41,3146,51063,93455,
12,GUERRERO,12,ZIHUATANEJO,101,182,183,883,7935,8922,2438,1310,1337,25236,57,107,0,312,514,417,94,246,49808,19,1922,51749,86884,
12,GUERRERO,13,SAN MARCOS,111,176,176,3576,6025,3244,10538,1633,13959,12625,91,141,67,104,430,53,183,77,52746,4,23303,76053,89215,
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,196,197,690,1360,14581,10017,3104,1547,12448,84,178,45,690,646,275,292,287,46244,25,2530,48799,86228,
12,GUERRERO,15,CRUZ GRANDE,113,173,174,2503,6136,2767,8633,8708,1426,17326,732,154,1641,1624,197,0,886,0,52733,1,3513,56247,85139,
12,GUERRERO,16,OMETEPEC,80,183,183,644,20588,1592,7769,2718,1037,27321,71,381,0,173,249,168,1149,919,64779,6,3055,67906,98084,
12,GUERRERO,17,COYUCA,157,206,207,730,16932,8606,1148,1768,620,22591,88,0,0,31,189,54,56,0,52813,4,1733,54687,85044,
12,GUERRERO,18,CD. ALTAMIRANO,147,221,222,950,36668,1110,1092,939,837,11527,100,57,0,0,94,38,69,53,53534,18,2010,55562,97921,
12,GUERRERO,19,ZUMPANGO DEL RIO,98,163,163,4262,10834,3144,2123,5377,2360,12829,380,135,31,76,125,811,377,134,42998,17,2289,45304,80172,
12,GUERRERO,20,TELOLOAPAN,172,211,212,3572,5647,12283,1622,2690,2981,13618,200,163,0,0,61,113,319,0,43269,118,2984,46575,80726,
12,GUERRERO,21,TAXCO,126,199,200,6904,6669,1253,8024,2072,10746,14271,1185,974,0,208,258,416,300,474,53754,30,2831,56623,99109,
12,GUERRERO,22,IGUALA,73,180,181,2171,9974,2739,4963,2619,3976,21908,143,156,79,204,436,1051,1416,2821,54656,41,2119,56816,102834,
12,GUERRERO,23,CIUDAD DE HUITZUCO,112,193,195,6293,4894,710,4444,4141,9274,20913,316,0,1721,730,362,543,858,196,55395,34,2583,58168,98342,
12,GUERRERO,24,TIXTLA,120,198,200,1355,7526,19627,4686,2004,2163,15094,93,0,287,149,277,120,502,133,54016,15,3019,56454,98354,
12,GUERRERO,25,CHILAPA,94,196,197,932,24123,1764,3647,1432,1213,17115,99,0,0,141,388,85,323,208,51470,28,4162,55701,105570,
12,GUERRERO,26,OLINALA,116,205,206,488,10966,9284,8614,5275,5389,19577,53,0,149,207,406,547,617,371,61943,23,3467,65475,99532,
12,GUERRERO,27,TLAPA,81,188,188,636,10813,2439,3335,8808,5056,14100,192,148,111,1133,574,3962,7687,156,59150,146,5031,64327,105090,
12,GUERRERO,28,SAN LUIS ACATLAN,86,186,187,1027,1044,4160,6090,17884,5833,13121,2767,223,93,1541,463,564,1724,102,56636,26,3625,60288,94309,
