ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,398,1031,1040,11499,16827,5636,24351,9598,23552,156867,1780,6273,1136,8642,2631,3406,3867,960,1885,274,82,140,8492,1416,1234,2417,292965,300,15418,308683,600515,
12,GUERRERO,2,AHUACUOTZINGO,27,41,42,73,756,4509,1628,1875,1178,1907,5,0,6,19,5,9,62,154,5,4,6,10,29,36,20,16,12312,2,593,12907,19937,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,42,59,59,76,8758,398,218,373,151,5854,6,0,0,7,47,24,14,0,111,16,2,36,112,18,28,25,16274,2,501,16777,26790,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,30,30,32,662,1537,282,1382,65,1272,65,23,3,27,101,10,2953,10,0,3,4,6,73,29,17,9,8565,2,823,9390,15357,
12,GUERRERO,5,ALPOYECA,5,10,10,32,157,25,1151,132,122,1113,10,7,11,215,24,5,628,7,11,1,0,0,20,22,4,14,3711,1,247,3959,5733,
12,GUERRERO,6,APAXTLA,15,19,19,1112,259,415,101,1079,269,1127,9,11,0,0,3,7,9,0,26,11,9,1,41,30,30,8,4557,2,215,4774,7950,
12,GUERRERO,7,ARCELIA,44,61,61,144,9518,148,243,137,222,2720,17,15,0,0,12,7,24,10,79,28,4,37,111,17,17,36,13546,0,600,14146,23969,
12,GUERRERO,8,ATENANGO DEL RIO,10,15,15,38,124,30,78,1890,257,1884,2,0,3,93,9,6,9,6,4,0,0,0,17,14,16,4,4484,1,141,4626,6902,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,12,11,19,472,33,1267,52,1094,23,6,2,5,3,5,25,5,2,1,2,1,6,5,7,2,3048,0,201,3249,4631,
12,GUERRERO,10,ATLIXTAC,22,48,48,93,158,2494,5421,200,283,1885,6,0,60,26,53,13,68,14,91,4,3,7,277,20,10,65,11251,1,821,12073,19714,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,98,98,321,3547,1167,1181,851,724,12359,29,54,69,1183,121,90,258,315,116,15,7,27,313,104,74,106,23031,5,1347,24383,46038,
12,GUERRERO,12,AYUTLA DE LOS LIBRES,43,78,79,394,772,3928,977,464,759,6113,35,88,16,491,354,62,80,112,127,7,18,46,215,77,32,74,15241,6,1007,16254,39828,
12,GUERRERO,13,AZOYU,17,23,23,112,1576,95,239,105,69,3351,27,24,1281,23,8,0,46,0,25,2,3,11,0,0,0,0,6997,0,515,7512,11033,
12,GUERRERO,14,BENITO JUAREZ,15,25,25,308,650,554,370,1874,461,3621,3,10,7,192,11,22,33,9,42,1,2,4,44,22,16,11,8267,4,390,8661,12422,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,21,935,291,41,751,999,643,2013,45,0,12,23,23,201,506,10,28,3,0,0,38,18,15,16,6611,1,287,6899,10509,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,32,32,15,23,910,217,36,87,3752,3,7,0,10,1,6,1,10,5,0,2,2,12,1,1,3,5104,0,92,5196,8716,
12,GUERRERO,17,COCULA,23,27,27,89,2724,235,214,353,190,3887,4,15,0,0,6,10,16,0,86,14,1,20,120,22,25,13,8044,3,347,8394,12482,
12,GUERRERO,18,COPALA,14,21,21,305,681,334,767,864,92,2227,591,55,204,54,13,0,353,0,21,5,1,0,0,0,0,0,6567,0,628,7195,11146,
12,GUERRERO,19,COPALILLO,10,22,22,786,188,45,1976,126,141,1738,6,0,1675,550,95,109,28,11,10,10,7,0,14,14,2,19,7550,0,537,8087,12208,
12,GUERRERO,20,COPANATOYAC,15,28,28,22,2590,1034,211,195,477,3851,13,0,12,20,113,46,88,52,2,4,0,10,28,10,6,25,8809,3,688,9500,14758,
12,GUERRERO,21,COYUCA DE BENITEZ,59,99,100,335,4128,2046,1468,1392,529,13875,20,328,42,162,249,138,280,70,298,34,17,62,602,192,122,184,26573,17,1160,27750,54394,
12,GUERRERO,22,COYUCA DE CATALAN,56,72,72,323,1510,5407,411,326,229,6241,64,0,0,15,10,17,25,0,109,18,17,54,162,32,28,44,15042,2,742,15786,30063,
12,GUERRERO,23,CUAJINICUILAPA,20,29,29,48,892,55,3537,304,170,2261,46,14,10,35,26,0,21,0,10,6,0,1,0,0,0,0,7436,0,420,7856,13462,
12,GUERRERO,24,CUALAC,7,13,13,29,1049,41,231,792,158,1197,5,0,61,6,63,9,291,3,19,5,0,4,33,19,20,8,4043,2,199,4244,5835,
12,GUERRERO,25,CUAUTEPEC,13,22,22,60,1004,196,575,3561,59,3066,23,19,8,21,78,0,27,0,5,1,3,2,0,0,0,0,8708,0,375,9083,12324,
12,GUERRERO,26,CUETZALA DEL PROGRESO,14,14,14,36,1002,363,73,113,47,1879,15,9,0,0,0,43,25,0,54,3,3,16,45,6,13,13,3758,0,145,3903,6306,
12,GUERRERO,27,CUTZAMALA DE PINZON,42,49,49,19,9436,70,41,57,31,267,1,3,0,0,0,1,2,0,2,2,0,6,4,3,1,0,9946,0,79,10025,17440,
12,GUERRERO,28,CHILAPA DE ALVAREZ,85,175,176,711,20214,1490,2236,1225,1160,15026,91,1,0,123,374,78,281,169,380,105,17,144,0,0,0,0,43825,27,3734,47586,93690,
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,111,342,344,4700,15100,8731,4726,3028,14083,41811,381,659,1155,2800,1334,1164,1283,516,1448,145,61,196,1997,387,344,568,106617,213,5489,112319,210416,
12,GUERRERO,30,EDUARDO NERI,29,68,68,777,3773,2621,877,4365,1964,5692,86,83,17,49,53,746,128,94,293,24,25,65,445,198,131,74,22580,14,1195,23789,38955,
