ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,CHILPANCINGO,60,181,186,2975,6488,3416,3171,2337,8230,24245,223,410,893,1114,734,849,810,306,56201,106,3214,59521,109131,
12,GUERRERO,2,CHILPANCINGO,51,161,163,2425,9581,6045,2842,1835,6189,20275,178,268,288,1716,619,363,507,229,53360,111,2610,56081,101285,
12,GUERRERO,3,ACAPULCO,69,170,176,4112,4958,1415,4135,2032,5079,26306,210,632,214,1880,330,604,573,149,52629,108,2177,54914,95914,
12,GUERRERO,4,ACAPULCO,79,166,171,2446,3678,1301,3192,2126,4699,28027,222,644,255,1521,427,559,953,363,50413,64,2059,52536,91192,
12,GUERRERO,5,ACAPULCO,63,162,163,1000,2047,884,4666,2185,4411,25773,763,473,184,1591,361,496,585,212,45631,44,2174,47849,96500,
12,GUERRERO,6,ACAPULCO,65,169,172,2200,2041,889,4062,2358,2961,30462,175,718,163,1593,858,483,677,200,49840,41,2416,52297,100398,
12,GUERRERO,7,ACAPULCO,38,155,158,1656,2628,754,3106,2524,4116,25829,216,1417,198,1267,341,361,457,203,45073,24,2031,47128,96432,
12,GUERRERO,8,ACAPULCO,80,152,155,806,4921,2670,2911,2694,1440,22277,72,428,70,442,328,691,579,118,40447,27,1859,42333,85036,
12,GUERRERO,9,ACAPULCO,63,156,158,664,1851,725,9179,1709,1811,20092,163,2343,111,608,256,380,372,144,40408,11,4279,44698,89437,
12,GUERRERO,10,TECPAN DE GALEANA,119,186,188,939,6027,3537,3543,3751,2614,26203,52,297,98,1519,244,197,662,360,50043,20,2483,52546,92089,
12,GUERRERO,11,PETATLAN,109,190,192,822,6730,2235,2024,1533,1561,31620,43,122,39,299,407,542,135,127,48239,41,3172,51452,93455,
12,GUERRERO,12,ZIHUATANEJO,101,182,187,924,8063,8951,2499,1352,1386,25852,61,107,45,318,517,426,99,251,50851,19,1969,52839,86884,
12,GUERRERO,13,SAN MARCOS,111,176,176,3576,6025,3244,10538,1633,13959,12625,91,141,67,104,430,53,183,77,52746,4,23303,76053,89215,
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,196,198,693,1380,14610,10048,3119,1570,12625,86,180,46,699,649,276,301,287,46569,27,2566,49162,86228,
12,GUERRERO,15,CRUZ GRANDE,113,173,175,2503,6136,2768,8633,8708,1427,17326,732,154,1641,1624,197,183,886,145,53063,1,3526,56590,85139,
12,GUERRERO,16,OMETEPEC,80,183,184,657,20676,1607,7789,2735,1057,27614,71,384,68,178,250,169,1151,924,65330,7,3076,68413,98084,
12,GUERRERO,17,COYUCA,157,206,208,732,16937,8614,1154,1773,626,22629,88,66,13,31,189,54,56,58,53020,4,1738,54762,85044,
12,GUERRERO,18,CD. ALTAMIRANO,147,221,225,965,36736,1114,1105,952,851,11638,101,58,20,49,95,38,69,53,53844,18,2017,55879,97921,
12,GUERRERO,19,ZUMPANGO DEL RIO,98,163,164,4277,10940,3166,2134,5394,2410,12955,383,136,33,78,128,816,379,134,43363,22,2289,45674,80172,
12,GUERRERO,20,TELOLOAPAN,172,211,213,3585,5661,12304,1628,2697,2994,13683,201,163,47,80,61,115,321,81,43621,118,3003,46742,80726,
12,GUERRERO,21,TAXCO,126,199,202,6919,6700,1258,8044,2078,10806,14440,1196,977,107,213,261,418,303,475,54195,30,2855,57080,99109,
12,GUERRERO,22,IGUALA,73,180,185,2217,10126,2776,5036,2651,4056,22449,145,162,80,209,440,1065,1443,2846,55701,42,2245,57988,102834,
12,GUERRERO,23,CIUDAD DE HUITZUCO,112,193,196,6298,4906,710,4453,4145,9311,20984,316,156,1722,732,363,544,859,198,55697,34,2594,58325,98342,
12,GUERRERO,24,TIXTLA,120,198,201,1366,7562,19661,4699,2015,2180,15365,94,214,292,149,279,125,511,135,54647,15,3065,57727,98354,
12,GUERRERO,25,CHILAPA,94,196,200,947,24228,1777,3682,1450,1257,17460,100,207,71,146,391,88,324,210,52338,28,4211,56577,105570,
12,GUERRERO,26,OLINALA,116,205,206,488,10966,9284,8614,5275,5389,19577,53,142,149,207,406,547,617,271,61985,23,3467,65475,99532,
12,GUERRERO,27,TLAPA,81,188,190,657,10873,2452,3380,8881,5127,14469,199,149,116,1150,580,3994,7717,157,59901,148,5084,65133,105090,
12,GUERRERO,28,SAN LUIS ACATLAN,86,186,187,1027,1044,4160,6090,17884,5833,13121,2767,223,93,1541,463,564,1724,102,56636,26,3625,60287,94309,
