CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,PRES_MUN,PT_PVEM_MORENA,1,ABELINA LOPEZ RODRIGUEZ,2,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MC,1,ANGELA RODRIGUEZ IBARRA,2,CANDIDATURAS DE DISCAPACIDAD,,MC
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PAN,1,ARMANDA GARCIA GARCIA,2,,,PAN
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MC,2,ARMANDO AÑORVE RIOS,1,,,MC
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PRD,1,ELIDETH ROCIO REYES GARCIA,2,,,PRD
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,7,ERIC ROMERO MORALES,1,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,SIND_MR,PT_PVEM_MORENA,1,ESTRELLA DE LA PAZ BERNAL,2,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PVEM,1,FELIPE WILLIAMS MANZANAREZ,1,,,PVEM
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,3,GENARO VAZQUEZ FLORES,1,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,4,HILDA SOFIA CORONA MIJANGOS,2,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PES,2,JOSE ANGEL MEJIA ALVAREZ,1,,,PES
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,1,JUAN CARLOS MANRIQUE GARCIA,1,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MC,3,JULY PELAEZ VICTORIANO ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MC
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PVEM,2,MARICRUZ CEBALLOS HERNANDEZ,2,,,PVEM
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,2,MARISOL LUNA TORRES,2,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,6,MARLEN GONZALEZ GOMEZ,2,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,SIND_MR,PT_PVEM_MORENA,1,MIGUEL JAIMES RAMOS,1,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,5,MISAEL SANCHEZ ORTIZ,1,,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PES,1,ORALIA RIVERA VELEZ,2,,,PES
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PT,1,ROBERTO CARLOS ORTEGA GONZALEZ,1,,,PT
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PRI,2,RODOLFO ESCOBAR AVILA,1,,,PRI
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,MORENA,8,SAUDY ISUI MENDOZA VICTORIANO,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
4,12,GUERRERO,4,ACAPULCO,1,ACAPULCO DE JUAREZ,,,REG_RP,PRI,1,VERONICA AGUIRRE GRANDA,2,,,PRI
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,MC,1,ALBERTO FRANCISCO JACINTO,1,CANDIDATURAS INDIGENAS,,MC
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PVEM,1,APOLONIO LUCAS CASTIZO,1,CANDIDATURAS INDIGENAS,,PVEM
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PRI,1,BENEDICT MELCHOR SALAZAR,1,CANDIDATURAS INDIGENAS,,PRI
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PRD,1,DANIEL JIMON GARCIA,1,CANDIDATURAS INDIGENAS,,PRD
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PRD,2,ELENA SEBASTIAN FLORENCIO,2,CANDIDATURAS INDIGENAS,,PRD
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,SIND_MR,PRD,1,JOVITA CAPILLA BARRIOS,2,CANDIDATURAS INDIGENAS,,PRD
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PT,2,MARIA MAGDALENA GODINEZ MARGARO,2,CANDIDATURAS INDIGENAS,,PT
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PRD,4,OLGA ABARCA ROMERO,2,CANDIDATURAS DE DISCAPACIDAD,,PRD
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,REG_RP,PT,4,PATRICIA MEJIA NAVA,2,CANDIDATURAS DE DISCAPACIDAD,,PT
4,12,GUERRERO,26,OLINALA,2,AHUACUOTZINGO,,,PRES_MUN,PRD,1,PEDRO OJEDA REYES,1,CANDIDATURAS INDIGENAS,,PRD
4,12,GUERRERO,17,COYUCA,3,AJUCHITLAN DEL PROGRESO,,,SIND_MR,PAN_PRI_PRD,1,ALMA ROSA VERGARA CHAMU,2,,,PRI
4,12,GUERRERO,17,COYUCA,3,AJUCHITLAN DEL PROGRESO,,,REG_RP,PRI,2,BRENDA LISSET ZAVALETA SERAFIN,2,,,PRI
4,12,GUERRERO,17,COYUCA,3,AJUCHITLAN DEL PROGRESO,,,REG_RP,PRI,1,CARLOS DE JESUS RAMIREZ NUÑEZ,1,,,PRI
4,12,GUERRERO,17,COYUCA,3,AJUCHITLAN DEL PROGRESO,,,REG_RP,MORENA,3,CORNELIA DE LA PAZ SANCHEZ,2,,,MORENA
4,12,GUERRERO,17,COYUCA,3,AJUCHITLAN DEL PROGRESO,,,REG_RP,PRI,3,LEONEL GONZALEZ RAYO,1,CANDIDATURAS DE DISCAPACIDAD,,PRI
