ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND_1,CAND_IND_2,CAND_IND_3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,121,121,12507,12432,284,813,350,427,13887,,,,40700,2,1379,42081,71493,
11,GUANAJUATO,2,ACAMBARO,90,181,182,20194,1602,617,1165,2036,2209,19354,,,,47177,17,2296,49490,99549,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,105,254,255,15196,25520,663,1130,1052,1725,25031,,1884,,72201,20,3165,75386,144253,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,94,10971,834,218,1578,0,3432,8395,,,,25428,24,1478,26930,51751,
11,GUANAJUATO,5,APASEO EL GRANDE,45,127,128,14870,1420,318,8236,566,827,10767,,,,37004,23,1653,38680,75745,
11,GUANAJUATO,6,ATARJEA,5,11,11,1872,9,4,,1369,0,199,,,,3453,0,108,3561,4535,
11,GUANAJUATO,7,CELAYA,253,668,669,68041,9211,2041,11801,4364,20772,106887,,,,223117,167,8655,231939,405800,
11,GUANAJUATO,8,MANUEL DOBLADO,41,69,69,7225,8634,,537,203,226,1697,,,,18522,2,813,19337,33899,
11,GUANAJUATO,9,COMONFORT,43,111,112,11421,1099,325,1779,802,973,14384,,,,30783,5,1404,32192,64628,
11,GUANAJUATO,10,CORONEO,10,19,19,4077,89,,472,,,1160,,,,5798,1,257,6056,9889,
11,GUANAJUATO,11,CORTAZAR,55,134,135,11953,740,447,4294,1542,17800,10236,,,,47012,10,1676,48698,79948,
11,GUANAJUATO,12,CUERAMARO,21,44,44,2492,2683,,190,4514,,3308,,,,13187,2,532,13721,25233,
