ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,121,121,10393,8288,299,2252,1057,2268,15604,194,103,7,13,,,,,40478,2,1682,42162,71493,
11,GUANAJUATO,2,ACAMBARO,90,181,182,19258,3060,555,1436,1247,2497,18348,,,,,681,145,185,86,47498,8,1798,49304,99549,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,105,254,255,21027,19088,0,2621,2212,4448,23404,,,,,1656,160,130,46,74792,35,3016,77843,144253,
11,GUANAJUATO,4,APASEO EL ALTO,44,94,94,9227,1024,200,1491,429,3168,9666,,,,,325,52,119,43,25744,17,1269,27030,51751,
11,GUANAJUATO,5,APASEO EL GRANDE,45,127,128,12237,1203,356,5288,679,1993,14647,,,,,541,92,254,67,37357,29,1426,38812,75745,
11,GUANAJUATO,6,ATARJEA,5,11,11,1661,29,9,44,1006,46,571,,,,,,,,,3366,0,193,3559,4535,
11,GUANAJUATO,7,CELAYA,253,668,670,72971,11325,1948,9884,4332,19566,100423,953,260,37,78,4432,685,995,377,228266,109,5199,233574,405800,
11,GUANAJUATO,8,MANUEL DOBLADO,41,69,69,8333,5207,93,667,295,477,3254,,,,,104,23,41,26,18520,1,716,19237,33899,
11,GUANAJUATO,9,COMONFORT,43,111,112,12042,957,294,1571,1209,1820,12614,,,,,425,188,83,54,31257,49,1091,32397,64628,
11,GUANAJUATO,10,CORONEO,10,19,19,3432,158,45,365,91,230,1403,,,,,38,10,16,9,5797,1,276,6074,9889,
11,GUANAJUATO,11,CORTAZAR,55,134,135,12028,1040,472,3078,1603,12703,15392,232,60,12,11,471,87,136,48,47373,12,1270,48655,79948,
11,GUANAJUATO,12,CUERAMARO,21,44,44,3567,1726,99,292,2279,451,4591,58,23,5,2,,,,,13093,2,609,13704,25233,
11,GUANAJUATO,13,DOCTOR MORA,12,33,33,4421,169,62,312,664,509,6423,,,,,,,,,12560,0,503,13063,20442,
11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,71,206,207,33939,3808,699,2746,1321,4675,15849,846,404,57,17,512,97,151,66,65187,47,2344,67578,124993,
